player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Smith-Rowe, Emile",ENG,"MF,FW",21.0,11.9,10.0,8.0,3.0,7.0,0.0,2.0,10.0,20.0,8.0,132.0,42.0,31.8,29.0,63.0,40.0,10.0,0.0,0.0,10.0,12.0,22.0,6.0,0.0,https://fbref.com/en/players/17695062/matchlogs/2021-2022/defense/Emile-Smith-Rowe-Match-Logs
"Saka, Bukayo",ENG,"FW,MF",20.0,10.6,8.0,5.0,2.0,5.0,1.0,4.0,15.0,26.7,11.0,132.0,33.0,25.0,35.0,51.0,46.0,13.0,0.0,0.0,13.0,8.0,16.0,5.0,0.0,https://fbref.com/en/players/bc7dc64d/matchlogs/2021-2022/defense/Bukayo-Saka-Match-Logs
"White, Ben",ENG,DF,24.0,11.0,13.0,9.0,10.0,2.0,1.0,6.0,11.0,54.5,5.0,64.0,22.0,34.4,39.0,22.0,3.0,14.0,8.0,0.0,6.0,29.0,42.0,44.0,0.0,https://fbref.com/en/players/35e413f1/matchlogs/2021-2022/defense/Ben-White-Match-Logs
"Aubameyang, Pierre-Emerick",GAB,FW,32.0,10.6,12.0,7.0,5.0,5.0,2.0,2.0,6.0,33.3,4.0,186.0,50.0,26.9,22.0,70.0,94.0,16.0,2.0,0.0,14.0,1.0,13.0,3.0,0.0,https://fbref.com/en/players/d5dd5f1f/matchlogs/2021-2022/defense/Pierre-Emerick-Aubameyang-Match-Logs
"Dos Santos, Gabriel",BRA,DF,23.0,10.0,15.0,12.0,12.0,1.0,2.0,6.0,9.0,66.7,3.0,70.0,32.0,45.7,43.0,22.0,5.0,19.0,14.0,0.0,5.0,7.0,22.0,39.0,1.0,https://fbref.com/en/players/67ac5bb8/matchlogs/2021-2022/defense/Gabriel-Dos-Santos-Match-Logs
"Ramsdale, Aaron",ENG,GK,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://fbref.com/en/players/466fb2c5/matchlogs/2021-2022/defense/Aaron-Ramsdale-Match-Logs
"Tomiyasu, Takehiro",JPN,DF,23.0,9.7,19.0,6.0,8.0,6.0,5.0,11.0,14.0,78.6,3.0,107.0,27.0,25.2,39.0,48.0,20.0,23.0,1.0,0.0,22.0,16.0,35.0,35.0,1.0,https://fbref.com/en/players/b3af9be1/matchlogs/2021-2022/defense/Takehiro-Tomiyasu-Match-Logs
"Sambi Lokonga, Albert",BEL,MF,22.0,9.0,19.0,12.0,8.0,10.0,1.0,7.0,12.0,58.3,5.0,108.0,34.0,31.5,36.0,53.0,19.0,15.0,6.0,0.0,9.0,19.0,38.0,10.0,2.0,https://fbref.com/en/players/1b4f1169/matchlogs/2021-2022/defense/Albert-Sambi-Lokonga-Match-Logs
"Partey, Thomas",GHA,MF,28.0,7.9,20.0,16.0,9.0,10.0,1.0,8.0,21.0,38.1,13.0,97.0,30.0,30.9,41.0,49.0,7.0,15.0,1.0,0.0,14.0,11.0,31.0,16.0,1.0,https://fbref.com/en/players/529f49ab/matchlogs/2021-2022/defense/Thomas-Partey-Match-Logs
"Tierney, Kieran",SCO,DF,24.0,7.6,8.0,2.0,6.0,2.0,0.0,4.0,5.0,80.0,1.0,51.0,14.0,27.5,16.0,21.0,14.0,13.0,4.0,0.0,9.0,5.0,13.0,19.0,0.0,https://fbref.com/en/players/fce2302c/matchlogs/2021-2022/defense/Kieran-Tierney-Match-Logs
