name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
Emile Smith-Rowe,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,Y,AM,90.0,48.0,50.0,96.0,748.0,269.0,23.0,24.0,95.8,21.0,21.0,100.0,3.0,4.0,75.0,0.0,0.4,2.0,1.0,5.0,0.0,12.0,
Emile Smith-Rowe,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,AM,90.0,31.0,34.0,91.2,456.0,110.0,16.0,18.0,88.9,12.0,12.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,
Emile Smith-Rowe,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,Y,"LW,LM",90.0,10.0,14.0,71.4,155.0,53.0,6.0,9.0,66.7,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
Emile Smith-Rowe,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,N,AM,29.0,13.0,13.0,100.0,198.0,52.0,7.0,7.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.1,2.0,1.0,2.0,0.0,2.0,
Emile Smith-Rowe,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,CM,60.0,31.0,34.0,91.2,410.0,58.0,22.0,22.0,100.0,7.0,8.0,87.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
Emile Smith-Rowe,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,LW,87.0,20.0,24.0,83.3,381.0,59.0,11.0,12.0,91.7,5.0,7.0,71.4,4.0,5.0,80.0,1.0,0.1,1.0,2.0,1.0,0.0,3.0,
Emile Smith-Rowe,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,"LW,AM",90.0,25.0,28.0,89.3,377.0,62.0,11.0,12.0,91.7,11.0,11.0,100.0,1.0,3.0,33.3,0.0,0.0,2.0,1.0,1.0,0.0,2.0,
Emile Smith-Rowe,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,"CM,LW",90.0,42.0,46.0,91.3,558.0,116.0,29.0,29.0,100.0,9.0,10.0,90.0,1.0,4.0,25.0,0.0,0.0,1.0,5.0,2.0,0.0,3.0,
Emile Smith-Rowe,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,LW,90.0,47.0,54.0,87.0,750.0,201.0,22.0,24.0,91.7,24.0,26.0,92.3,1.0,4.0,25.0,1.0,0.2,4.0,3.0,2.0,0.0,3.0,
Emile Smith-Rowe,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,LM,89.0,21.0,26.0,80.8,365.0,77.0,11.0,11.0,100.0,8.0,11.0,72.7,2.0,4.0,50.0,0.0,0.3,2.0,0.0,0.0,0.0,1.0,
Emile Smith-Rowe,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,LM,85.0,23.0,31.0,74.2,441.0,35.0,9.0,11.0,81.8,10.0,12.0,83.3,4.0,8.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,
Emile Smith-Rowe,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,LM,90.0,18.0,21.0,85.7,287.0,43.0,8.0,9.0,88.9,9.0,9.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
Emile Smith-Rowe,2021-11-27,Sat,13,Home,W 2–0,Arsenal,Newcastle Utd,Y,LM,90.0,47.0,55.0,85.5,738.0,142.0,26.0,29.0,89.7,18.0,20.0,90.0,3.0,5.0,60.0,0.0,0.3,3.0,0.0,2.0,0.0,3.0,
Bukayo Saka,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,N,FW,32.0,18.0,23.0,78.3,246.0,59.0,9.0,11.0,81.8,9.0,9.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,
Bukayo Saka,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,LW,60.0,23.0,30.0,76.7,283.0,54.0,12.0,13.0,92.3,7.0,11.0,63.6,1.0,2.0,50.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,
Bukayo Saka,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,Y,RW,45.0,5.0,7.0,71.4,104.0,39.0,2.0,3.0,66.7,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
Bukayo Saka,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,LW,90.0,26.0,33.0,78.8,362.0,82.0,15.0,18.0,83.3,7.0,10.0,70.0,2.0,3.0,66.7,0.0,0.3,3.0,1.0,2.0,1.0,3.0,
Bukayo Saka,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,LM,90.0,25.0,32.0,78.1,338.0,79.0,14.0,17.0,82.4,9.0,11.0,81.8,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,
Bukayo Saka,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,RW,86.0,28.0,35.0,80.0,375.0,54.0,16.0,18.0,88.9,11.0,12.0,91.7,0.0,0.0,,1.0,0.2,3.0,1.0,1.0,0.0,1.0,
