player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Smith-Rowe, Emile",ENG,"MF,FW",21.0,11.9,376.0,430.0,87.4,5864.0,1277.0,201.0,217.0,92.6,141.0,154.0,91.6,22.0,44.0,50.0,2.0,1.5,0.5,17.0,20.0,16.0,0.0,35.0,https://fbref.com/en/players/17695062/matchlogs/2021-2022/passing/Emile-Smith-Rowe-Match-Logs
"Saka, Bukayo",ENG,"FW,MF",20.0,10.6,295.0,391.0,75.4,4403.0,1069.0,161.0,187.0,86.1,101.0,126.0,80.2,20.0,42.0,47.6,2.0,1.6,0.4,20.0,14.0,14.0,4.0,26.0,https://fbref.com/en/players/bc7dc64d/matchlogs/2021-2022/passing/Bukayo-Saka-Match-Logs
"White, Ben",ENG,DF,24.0,11.0,471.0,542.0,86.9,10307.0,3253.0,124.0,134.0,92.5,260.0,280.0,92.9,83.0,114.0,72.8,0.0,0.1,-0.1,4.0,39.0,1.0,0.0,26.0,https://fbref.com/en/players/35e413f1/matchlogs/2021-2022/passing/Ben-White-Match-Logs
"Aubameyang, Pierre-Emerick",GAB,FW,32.0,10.6,129.0,186.0,69.4,1792.0,321.0,84.0,106.0,79.2,34.0,55.0,61.8,8.0,14.0,57.1,1.0,0.8,0.2,9.0,4.0,10.0,1.0,12.0,https://fbref.com/en/players/d5dd5f1f/matchlogs/2021-2022/passing/Pierre-Emerick-Aubameyang-Match-Logs
"Dos Santos, Gabriel",BRA,DF,23.0,10.0,471.0,523.0,90.1,10046.0,2862.0,134.0,140.0,95.7,257.0,271.0,94.8,74.0,106.0,69.8,0.0,0.1,-0.1,1.0,24.0,0.0,0.0,17.0,https://fbref.com/en/players/67ac5bb8/matchlogs/2021-2022/passing/Gabriel-Dos-Santos-Match-Logs
"Ramsdale, Aaron",ENG,GK,23.0,10.0,231.0,341.0,67.7,6904.0,4391.0,58.0,59.0,98.3,89.0,90.0,98.9,83.0,190.0,43.7,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,https://fbref.com/en/players/466fb2c5/matchlogs/2021-2022/passing/Aaron-Ramsdale-Match-Logs
"Tomiyasu, Takehiro",JPN,DF,23.0,9.7,445.0,553.0,80.5,7898.0,3044.0,211.0,236.0,89.4,180.0,224.0,80.4,48.0,75.0,64.0,1.0,0.5,0.5,6.0,36.0,7.0,4.0,34.0,https://fbref.com/en/players/b3af9be1/matchlogs/2021-2022/passing/Takehiro-Tomiyasu-Match-Logs
"Sambi Lokonga, Albert",BEL,MF,22.0,9.0,475.0,535.0,88.8,8713.0,2058.0,201.0,220.0,91.4,199.0,215.0,92.6,63.0,85.0,74.1,0.0,0.5,-0.5,12.0,45.0,13.0,1.0,41.0,https://fbref.com/en/players/1b4f1169/matchlogs/2021-2022/passing/Albert-Sambi-Lokonga-Match-Logs
"Partey, Thomas",GHA,MF,28.0,7.9,317.0,373.0,85.0,6176.0,1698.0,128.0,146.0,87.7,135.0,153.0,88.2,48.0,63.0,76.2,0.0,0.4,-0.4,6.0,44.0,1.0,0.0,34.0,https://fbref.com/en/players/529f49ab/matchlogs/2021-2022/passing/Thomas-Partey-Match-Logs
"Tierney, Kieran",SCO,DF,24.0,7.6,262.0,351.0,74.6,5015.0,1595.0,112.0,127.0,88.2,121.0,142.0,85.2,27.0,68.0,39.7,0.0,0.8,-0.8,11.0,20.0,11.0,9.0,21.0,https://fbref.com/en/players/fce2302c/matchlogs/2021-2022/passing/Kieran-Tierney-Match-Logs
"Ødegaard, Martin",NOR,MF,22.0,7.3,308.0,365.0,84.4,5549.0,1144.0,145.0,165.0,87.9,119.0,133.0,89.5,35.0,52.0,67.3,0.0,0.5,-0.5,12.0,19.0,8.0,0.0,28.0,https://fbref.com/en/players/79300479/matchlogs/2021-2022/passing/Martin-Odegaard-Match-Logs
"Tavares, Nuno",POR,DF,21.0,5.6,240.0,290.0,82.8,4440.0,1103.0,102.0,115.0,88.7,109.0,122.0,89.3,26.0,42.0,61.9,1.0,0.7,0.3,3.0,11.0,4.0,1.0,11.0,https://fbref.com/en/players/a65c844b/matchlogs/2021-2022/passing/Nuno-Tavares-Match-Logs
"Pépé, Nicolas",CIV,"FW,MF",26.0,5.4,186.0,237.0,78.5,3051.0,752.0,99.0,113.0,87.6,64.0,77.0,83.1,16.0,36.0,44.4,1.0,1.6,-0.6,12.0,7.0,6.0,2.0,10.0,https://fbref.com/en/players/57e3f0c7/matchlogs/2021-2022/passing/Nicolas-Pepe-Match-Logs
"Lacazette, Alexandre",FRA,"MF,FW",30.0,3.9,85.0,124.0,68.5,1255.0,322.0,48.0,65.0,73.8,22.0,35.0,62.9,9.0,16.0,56.3,0.0,0.5,-0.5,7.0,7.0,9.0,0.0,14.0,https://fbref.com/en/players/9dbb75ca/matchlogs/2021-2022/passing/Alexandre-Lacazette-Match-Logs
"Xhaka, Granit",SUI,MF,29.0,3.3,150.0,174.0,86.2,2780.0,850.0,59.0,65.0,90.8,68.0,77.0,88.3,20.0,27.0,74.1,0.0,0.1,-0.1,3.0,21.0,5.0,0.0,20.0,https://fbref.com/en/players/e61b8aee/matchlogs/2021-2022/passing/Granit-Xhaka-Match-Logs
