name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Emile Smith-Rowe,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,Y,AM,90.0,59.0,0.0,5.0,31.0,34.0,5.0,58.0,2.0,3.0,66.7,2.0,0.0,50.0,369.0,209.0,11.0,9.0,3.0,2.0,1.0,56.0,50.0,89.3,5.0,
Emile Smith-Rowe,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,AM,90.0,44.0,0.0,5.0,20.0,25.0,2.0,42.0,4.0,5.0,80.0,4.0,0.0,32.0,216.0,118.0,6.0,3.0,1.0,1.0,1.0,39.0,34.0,87.2,5.0,
Emile Smith-Rowe,2021-08-28,Sat,3,Away,L 0–5,Arsenal,Manchester City,Y,"LW,LM",90.0,23.0,4.0,9.0,13.0,6.0,3.0,22.0,1.0,3.0,33.3,2.0,0.0,19.0,110.0,90.0,2.0,1.0,1.0,1.0,2.0,16.0,12.0,75.0,1.0,
Emile Smith-Rowe,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,N,AM,29.0,16.0,1.0,3.0,5.0,12.0,2.0,16.0,1.0,1.0,100.0,1.0,0.0,12.0,134.0,114.0,5.0,2.0,1.0,0.0,0.0,11.0,10.0,90.9,2.0,
Emile Smith-Rowe,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,CM,60.0,43.0,0.0,5.0,28.0,12.0,2.0,43.0,0.0,0.0,,0.0,0.0,38.0,167.0,120.0,3.0,2.0,0.0,1.0,3.0,39.0,37.0,94.9,3.0,
Emile Smith-Rowe,2021-09-26,Sun,6,Home,W 3–1,Arsenal,Tottenham,Y,LW,87.0,33.0,1.0,3.0,20.0,11.0,3.0,33.0,1.0,1.0,100.0,1.0,0.0,24.0,116.0,68.0,3.0,1.0,1.0,3.0,2.0,32.0,27.0,84.4,2.0,
Emile Smith-Rowe,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,Y,"LW,AM",90.0,39.0,1.0,6.0,19.0,17.0,3.0,39.0,5.0,6.0,83.3,5.0,0.0,29.0,202.0,130.0,8.0,3.0,2.0,1.0,1.0,32.0,23.0,71.9,4.0,
Emile Smith-Rowe,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,"CM,LW",90.0,57.0,0.0,7.0,24.0,29.0,3.0,56.0,1.0,2.0,50.0,1.0,0.0,44.0,193.0,121.0,10.0,1.0,0.0,4.0,2.0,53.0,46.0,86.8,3.0,
Emile Smith-Rowe,2021-10-22,Fri,9,Home,W 3–1,Arsenal,Aston Villa,Y,LW,90.0,63.0,1.0,9.0,33.0,32.0,4.0,60.0,2.0,3.0,66.7,2.0,0.0,50.0,369.0,294.0,15.0,7.0,1.0,1.0,1.0,56.0,50.0,89.3,3.0,
Emile Smith-Rowe,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,Y,LM,89.0,31.0,0.0,5.0,16.0,14.0,1.0,27.0,2.0,2.0,100.0,2.0,0.0,14.0,150.0,132.0,4.0,2.0,0.0,0.0,1.0,20.0,17.0,85.0,1.0,
Emile Smith-Rowe,2021-11-07,Sun,11,Home,W 1–0,Arsenal,Watford,Y,LM,85.0,44.0,1.0,10.0,24.0,14.0,2.0,40.0,1.0,2.0,50.0,1.0,0.0,32.0,170.0,109.0,5.0,2.0,0.0,3.0,3.0,34.0,27.0,79.4,3.0,
Emile Smith-Rowe,2021-11-20,Sat,12,Away,L 0–4,Arsenal,Liverpool,Y,LM,90.0,29.0,1.0,7.0,15.0,9.0,0.0,29.0,0.0,0.0,,0.0,0.0,18.0,86.0,69.0,2.0,1.0,0.0,1.0,2.0,35.0,23.0,65.7,2.0,
