player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Smith-Rowe, Emile",ENG,"MF,FW",21.0,11.9,549.0,11.0,81.0,281.0,248.0,34.0,531.0,22.0,31.0,71.0,23.0,0.0,406.0,2544.0,1706.0,83.0,38.0,10.0,19.0,19.0,475.0,403.0,84.8,38.0,https://fbref.com/en/players/17695062/matchlogs/2021-2022/possession/Emile-Smith-Rowe-Match-Logs
"Saka, Bukayo",ENG,"FW,MF",20.0,10.6,531.0,8.0,69.0,224.0,284.0,54.0,509.0,18.0,32.0,56.3,18.0,1.0,412.0,2451.0,1608.0,86.0,25.0,14.0,29.0,22.0,532.0,398.0,74.8,72.0,https://fbref.com/en/players/bc7dc64d/matchlogs/2021-2022/possession/Bukayo-Saka-Match-Logs
"White, Ben",ENG,DF,24.0,11.0,655.0,90.0,341.0,338.0,24.0,4.0,639.0,2.0,6.0,33.3,2.0,1.0,421.0,2431.0,1372.0,19.0,9.0,1.0,4.0,5.0,434.0,428.0,98.6,0.0,https://fbref.com/en/players/35e413f1/matchlogs/2021-2022/possession/Ben-White-Match-Logs
"Aubameyang, Pierre-Emerick",GAB,FW,32.0,10.6,292.0,5.0,30.0,132.0,148.0,49.0,284.0,2.0,6.0,33.3,3.0,0.0,150.0,925.0,545.0,26.0,11.0,8.0,19.0,5.0,403.0,205.0,50.9,52.0,https://fbref.com/en/players/d5dd5f1f/matchlogs/2021-2022/possession/Pierre-Emerick-Aubameyang-Match-Logs
"Dos Santos, Gabriel",BRA,DF,23.0,10.0,614.0,133.0,356.0,275.0,21.0,10.0,596.0,2.0,2.0,100.0,2.0,0.0,416.0,2307.0,1228.0,33.0,6.0,0.0,1.0,0.0,468.0,454.0,97.0,1.0,https://fbref.com/en/players/67ac5bb8/matchlogs/2021-2022/possession/Gabriel-Dos-Santos-Match-Logs
"Ramsdale, Aaron",ENG,GK,23.0,10.0,371.0,314.0,370.0,2.0,0.0,0.0,278.0,1.0,1.0,100.0,1.0,0.0,181.0,1042.0,643.0,0.0,0.0,0.0,0.0,0.0,157.0,156.0,99.4,0.0,https://fbref.com/en/players/466fb2c5/matchlogs/2021-2022/possession/Aaron-Ramsdale-Match-Logs
"Tomiyasu, Takehiro",JPN,DF,23.0,9.7,679.0,43.0,227.0,328.0,161.0,10.0,583.0,4.0,7.0,57.1,4.0,0.0,338.0,1560.0,978.0,37.0,18.0,0.0,11.0,10.0,384.0,353.0,91.9,17.0,https://fbref.com/en/players/b3af9be1/matchlogs/2021-2022/possession/Takehiro-Tomiyasu-Match-Logs
"Sambi Lokonga, Albert",BEL,MF,22.0,9.0,630.0,26.0,179.0,354.0,134.0,2.0,615.0,3.0,4.0,75.0,3.0,0.0,428.0,2628.0,1488.0,62.0,11.0,0.0,9.0,5.0,470.0,455.0,96.8,9.0,https://fbref.com/en/players/1b4f1169/matchlogs/2021-2022/possession/Albert-Sambi-Lokonga-Match-Logs
"Partey, Thomas",GHA,MF,28.0,7.9,466.0,27.0,144.0,273.0,88.0,8.0,456.0,9.0,12.0,75.0,9.0,1.0,302.0,1571.0,832.0,33.0,11.0,0.0,2.0,5.0,323.0,312.0,96.6,1.0,https://fbref.com/en/players/529f49ab/matchlogs/2021-2022/possession/Thomas-Partey-Match-Logs
"Tierney, Kieran",SCO,DF,24.0,7.6,419.0,29.0,106.0,172.0,170.0,21.0,367.0,2.0,9.0,22.2,4.0,0.0,267.0,1369.0,872.0,35.0,10.0,5.0,3.0,2.0,294.0,268.0,91.2,32.0,https://fbref.com/en/players/fce2302c/matchlogs/2021-2022/possession/Kieran-Tierney-Match-Logs
"Ødegaard, Martin",NOR,MF,22.0,7.3,434.0,6.0,70.0,224.0,171.0,12.0,406.0,3.0,8.0,37.5,3.0,0.0,307.0,1546.0,746.0,43.0,19.0,1.0,13.0,13.0,373.0,327.0,87.7,30.0,https://fbref.com/en/players/79300479/matchlogs/2021-2022/possession/Martin-Odegaard-Match-Logs
"Tavares, Nuno",POR,DF,21.0,5.6,375.0,19.0,114.0,155.0,136.0,27.0,338.0,14.0,23.0,60.9,14.0,0.0,255.0,1395.0,860.0,44.0,15.0,8.0,5.0,5.0,249.0,232.0,93.2,20.0,https://fbref.com/en/players/a65c844b/matchlogs/2021-2022/possession/Nuno-Tavares-Match-Logs
"Pépé, Nicolas",CIV,"FW,MF",26.0,5.4,334.0,10.0,53.0,101.0,198.0,43.0,295.0,11.0,25.0,44.0,11.0,1.0,230.0,1041.0,506.0,31.0,9.0,7.0,23.0,12.0,274.0,217.0,79.2,38.0,https://fbref.com/en/players/57e3f0c7/matchlogs/2021-2022/possession/Nicolas-Pepe-Match-Logs
"Lacazette, Alexandre",FRA,"MF,FW",30.0,3.9,171.0,0.0,22.0,80.0,76.0,23.0,165.0,5.0,9.0,55.6,5.0,0.0,98.0,338.0,208.0,10.0,2.0,0.0,14.0,5.0,181.0,124.0,68.5,29.0,https://fbref.com/en/players/9dbb75ca/matchlogs/2021-2022/possession/Alexandre-Lacazette-Match-Logs
"Xhaka, Granit",SUI,MF,29.0,3.3,201.0,10.0,41.0,122.0,51.0,4.0,192.0,4.0,5.0,80.0,4.0,0.0,139.0,649.0,352.0,14.0,2.0,0.0,0.0,4.0,138.0,133.0,96.4,6.0,https://fbref.com/en/players/e61b8aee/matchlogs/2021-2022/possession/Granit-Xhaka-Match-Logs
"Leno, Bernd",GER,GK,29.0,3.0,99.0,86.0,99.0,0.0,0.0,0.0,70.0,0.0,0.0,,0.0,0.0,50.0,274.0,111.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,100.0,0.0,https://fbref.com/en/players/2628fd2b/matchlogs/2021-2022/possession/Bernd-Leno-Match-Logs
"Maitland-Niles, Ainsley",ENG,MF,24.0,3.0,171.0,9.0,47.0,89.0,41.0,1.0,166.0,2.0,7.0,28.6,2.0,0.0,101.0,422.0,216.0,10.0,1.0,0.0,3.0,5.0,116.0,108.0,93.1,3.0,https://fbref.com/en/players/e3a5814e/matchlogs/2021-2022/possession/Ainsley-Maitland-Niles-Match-Logs
"Soares, Cédric",POR,DF,30.0,2.1,86.0,14.0,31.0,36.0,22.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,42.0,158.0,71.0,3.0,3.0,0.0,0.0,0.0,55.0,44.0,80.0,0.0,https://fbref.com/en/players/839c14e1/matchlogs/2021-2022/possession/Cedric-Soares-Match-Logs
Martinelli,BRA,"FW,MF",20.0,2.1,69.0,3.0,4.0,27.0,44.0,9.0,66.0,2.0,6.0,33.3,3.0,0.0,46.0,329.0,201.0,8.0,5.0,0.0,4.0,3.0,77.0,50.0,64.9,10.0,https://fbref.com/en/players/48a5a5d6/matchlogs/2021-2022/possession/Martinelli-Match-Logs
"Holding, Rob",ENG,"DF,MF",26.0,2.0,83.0,28.0,55.0,30.0,2.0,2.0,82.0,1.0,1.0,100.0,1.0,0.0,38.0,206.0,46.0,0.0,0.0,0.0,1.0,1.0,42.0,40.0,95.2,0.0,https://fbref.com/en/players/d79a8c87/matchlogs/2021-2022/possession/Rob-Holding-Match-Logs
"Marí, Pablo",ESP,DF,28.0,2.0,114.0,15.0,55.0,61.0,7.0,3.0,113.0,1.0,1.0,100.0,1.0,0.0,59.0,353.0,190.0,4.0,1.0,0.0,0.0,0.0,66.0,65.0,98.5,2.0,https://fbref.com/en/players/aa54ec6f/matchlogs/2021-2022/possession/Pablo-Mari-Match-Logs
"Chambers, Calum",ENG,DF,26.0,1.9,122.0,17.0,49.0,61.0,17.0,1.0,108.0,0.0,0.0,,0.0,0.0,71.0,239.0,106.0,4.0,2.0,0.0,1.0,2.0,73.0,71.0,97.3,0.0,https://fbref.com/en/players/dc6f5bdd/matchlogs/2021-2022/possession/Calum-Chambers-Match-Logs
"Kolašinac, Sead",BIH,DF,28.0,1.0,27.0,8.0,19.0,8.0,0.0,0.0,25.0,0.0,0.0,,0.0,0.0,10.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,0.0,https://fbref.com/en/players/3935e52e/matchlogs/2021-2022/possession/Sead-Kolasinac-Match-Logs
"Balogun, Folarin",ENG,FW,20.0,0.8,23.0,1.0,3.0,10.0,12.0,6.0,23.0,0.0,2.0,0.0,0.0,0.0,16.0,50.0,16.0,1.0,0.0,1.0,4.0,2.0,34.0,17.0,50.0,7.0,https://fbref.com/en/players/31822f8c/matchlogs/2021-2022/possession/Folarin-Balogun-Match-Logs
"Elneny, Mohamed",EGY,"MF,FW",29.0,0.7,28.0,4.0,11.0,13.0,4.0,2.0,28.0,0.0,1.0,0.0,0.0,0.0,20.0,114.0,16.0,1.0,0.0,0.0,1.0,0.0,15.0,15.0,100.0,0.0,https://fbref.com/en/players/47a34c4f/matchlogs/2021-2022/possession/Mohamed-Elneny-Match-Logs
"Nelson, Reiss",ENG,FW,21.0,0.2,16.0,0.0,0.0,7.0,10.0,2.0,16.0,0.0,0.0,,0.0,0.0,11.0,44.0,14.0,0.0,0.0,0.0,1.0,0.0,12.0,11.0,91.7,3.0,https://fbref.com/en/players/c5bdb6e3/matchlogs/2021-2022/possession/Reiss-Nelson-Match-Logs
