player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Smith-Rowe, Emile",ENG,"MF,FW",21.0,13.0,12.0,"1,070",11.9,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.34,0.17,0.5,0.34,0.5,2.2,2.2,1.5,3.7,0.19,0.12,0.31,0.19,0.31,https://fbref.com/en/players/17695062/matchlogs/2021-2022/summary/Emile-Smith-Rowe-Match-Logs
"Saka, Bukayo",ENG,"FW,MF",20.0,13.0,12.0,953,10.6,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.19,0.19,0.38,0.19,0.38,2.3,2.3,1.6,4.0,0.22,0.15,0.37,0.22,0.37,https://fbref.com/en/players/bc7dc64d/matchlogs/2021-2022/summary/Bukayo-Saka-Match-Logs
"White, Ben",ENG,DF,24.0,11.0,11.0,990,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/35e413f1/matchlogs/2021-2022/summary/Ben-White-Match-Logs
"Aubameyang, Pierre-Emerick",GAB,FW,32.0,12.0,11.0,953,10.6,4.0,1.0,4.0,0.0,2.0,3.0,0.0,0.38,0.09,0.47,0.38,0.47,5.0,3.4,0.8,4.2,0.48,0.08,0.55,0.32,0.4,https://fbref.com/en/players/d5dd5f1f/matchlogs/2021-2022/summary/Pierre-Emerick-Aubameyang-Match-Logs
"Dos Santos, Gabriel",BRA,DF,23.0,10.0,10.0,900,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,0.5,0.5,0.1,0.5,0.05,0.01,0.05,0.05,0.05,https://fbref.com/en/players/67ac5bb8/matchlogs/2021-2022/summary/Gabriel-Dos-Santos-Match-Logs
"Ramsdale, Aaron",ENG,GK,23.0,10.0,10.0,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/466fb2c5/matchlogs/2021-2022/summary/Aaron-Ramsdale-Match-Logs
"Tomiyasu, Takehiro",JPN,DF,23.0,10.0,10.0,871,9.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.3,0.3,0.5,0.7,0.03,0.05,0.08,0.03,0.08,https://fbref.com/en/players/b3af9be1/matchlogs/2021-2022/summary/Takehiro-Tomiyasu-Match-Logs
"Sambi Lokonga, Albert",BEL,MF,22.0,12.0,9.0,809,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.05,0.06,0.12,0.05,0.12,https://fbref.com/en/players/1b4f1169/matchlogs/2021-2022/summary/Albert-Sambi-Lokonga-Match-Logs
"Partey, Thomas",GHA,MF,28.0,9.0,8.0,710,7.9,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,1.1,1.1,0.4,1.5,0.14,0.05,0.19,0.14,0.19,https://fbref.com/en/players/529f49ab/matchlogs/2021-2022/summary/Thomas-Partey-Match-Logs
"Tierney, Kieran",SCO,DF,24.0,8.0,8.0,682,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,0.04,0.11,0.15,0.04,0.15,https://fbref.com/en/players/fce2302c/matchlogs/2021-2022/summary/Kieran-Tierney-Match-Logs
"Ødegaard, Martin",NOR,MF,22.0,11.0,7.0,660,7.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,0.3,0.3,0.5,0.8,0.05,0.07,0.11,0.05,0.11,https://fbref.com/en/players/79300479/matchlogs/2021-2022/summary/Martin-Odegaard-Match-Logs
