date,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession
2021-08-13,Premier League,1,Fri,Away,L,0.0,2.0,Brentford,1.4,1.3,66.0
2021-08-22,Premier League,2,Sun,Home,L,0.0,2.0,Chelsea,0.3,2.9,35.0
2021-08-28,Premier League,3,Sat,Away,L,0.0,5.0,Manchester City,0.1,3.8,20.0
2021-09-11,Premier League,4,Sat,Home,W,1.0,0.0,Norwich City,2.8,0.6,52.0
2021-09-18,Premier League,5,Sat,Away,W,1.0,0.0,Burnley,1.2,1.3,54.0
2021-09-26,Premier League,6,Sun,Home,W,3.0,1.0,Tottenham,0.8,1.0,46.0
2021-10-02,Premier League,7,Sat,Away,D,0.0,0.0,Brighton,0.5,1.4,41.0
2021-10-18,Premier League,8,Mon,Home,D,2.0,2.0,Crystal Palace,1.4,0.9,55.0
2021-10-22,Premier League,9,Fri,Home,W,3.0,1.0,Aston Villa,2.7,1.4,54.0
2021-10-30,Premier League,10,Sat,Away,W,2.0,0.0,Leicester City,0.9,1.2,36.0
2021-11-07,Premier League,11,Sun,Home,W,1.0,0.0,Watford,1.8,0.6,60.0
2021-11-20,Premier League,12,Sat,Away,L,0.0,4.0,Liverpool,0.4,4.3,37.0
2021-11-27,Premier League,13,Sat,Home,W,2.0,0.0,Newcastle Utd,2.0,0.2,65.0
