player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Mendy, Edouard",SEN,GK,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/players/33887998/matchlogs/2021-2022/defense/Edouard-Mendy-Match-Logs
"Rüdiger, Antonio",GER,DF,28.0,13.0,20.0,14.0,10.0,10.0,0.0,11.0,16.0,68.8,5.0,96.0,34.0,35.4,47.0,40.0,9.0,21.0,3.0,0.0,18.0,13.0,33.0,49.0,0.0,https://fbref.com/en/players/18b896d6/matchlogs/2021-2022/defense/Antonio-Rudiger-Match-Logs
Jorginho,ITA,MF,29.0,10.0,28.0,16.0,16.0,9.0,3.0,8.0,33.0,24.2,25.0,201.0,65.0,32.3,81.0,91.0,29.0,15.0,5.0,0.0,10.0,24.0,52.0,9.0,1.0,https://fbref.com/en/players/45db685d/matchlogs/2021-2022/defense/Jorginho-Match-Logs
"Christensen, Andreas",DEN,DF,25.0,9.0,8.0,7.0,5.0,1.0,2.0,4.0,6.0,66.7,2.0,77.0,30.0,39.0,46.0,28.0,3.0,21.0,6.0,0.0,15.0,32.0,40.0,57.0,0.0,https://fbref.com/en/players/1cb49278/matchlogs/2021-2022/defense/Andreas-Christensen-Match-Logs
"Havertz, Kai",GER,"FW,MF",22.0,8.0,9.0,4.0,2.0,6.0,1.0,2.0,7.0,28.6,5.0,123.0,37.0,30.1,11.0,52.0,60.0,18.0,0.0,0.0,18.0,5.0,14.0,16.0,0.0,https://fbref.com/en/players/fed7cb61/matchlogs/2021-2022/defense/Kai-Havertz-Match-Logs
"Silva, Thiago",BRA,DF,37.0,9.7,15.0,9.0,9.0,5.0,1.0,5.0,10.0,50.0,5.0,57.0,18.0,31.6,34.0,21.0,2.0,19.0,11.0,1.0,8.0,25.0,40.0,52.0,0.0,https://fbref.com/en/players/86e7deaf/matchlogs/2021-2022/defense/Thiago-Silva-Match-Logs
"Alonso, Marcos",ESP,DF,30.0,7.8,17.0,10.0,10.0,4.0,3.0,7.0,14.0,50.0,7.0,97.0,28.0,28.9,44.0,32.0,21.0,17.0,2.0,0.0,15.0,22.0,39.0,22.0,0.0,https://fbref.com/en/players/f4290206/matchlogs/2021-2022/defense/Marcos-Alonso-Match-Logs
"Kovačić, Mateo",CRO,MF,27.0,7.8,28.0,21.0,9.0,15.0,4.0,9.0,16.0,56.3,7.0,184.0,58.0,31.5,43.0,102.0,39.0,9.0,2.0,0.0,7.0,9.0,37.0,8.0,0.0,https://fbref.com/en/players/79c0821a/matchlogs/2021-2022/defense/Mateo-Kovacic-Match-Logs
"Azpilicueta, César",ESP,DF,32.0,7.8,21.0,9.0,12.0,6.0,3.0,7.0,15.0,46.7,8.0,111.0,27.0,24.3,52.0,41.0,18.0,23.0,4.0,0.0,19.0,7.0,28.0,23.0,0.0,https://fbref.com/en/players/53cad200/matchlogs/2021-2022/defense/Cesar-Azpilicueta-Match-Logs
"Chalobah, Trevoh",ENG,DF,22.0,7.7,19.0,11.0,7.0,8.0,4.0,10.0,15.0,66.7,5.0,72.0,28.0,38.9,31.0,36.0,5.0,11.0,6.0,1.0,5.0,13.0,32.0,23.0,0.0,https://fbref.com/en/players/5515376c/matchlogs/2021-2022/defense/Trevoh-Chalobah-Match-Logs
