name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
Edouard Mendy,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,Y,GK,90.0,18.0,20.0,90.0,337.0,149.0,9.0,9.0,100.0,6.0,6.0,100.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,Y,GK,90.0,37.0,43.0,86.0,731.0,308.0,11.0,11.0,100.0,22.0,22.0,100.0,4.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-08-28,Sat,3,Away,D 1–1,Chelsea,Liverpool,Y,GK,90.0,26.0,40.0,65.0,888.0,598.0,4.0,4.0,100.0,11.0,11.0,100.0,10.0,24.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-09-11,Sat,4,Home,W 3–0,Chelsea,Aston Villa,Y,GK,90.0,30.0,36.0,83.3,656.0,381.0,11.0,11.0,100.0,10.0,10.0,100.0,8.0,14.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Mendy,2021-09-25,Sat,6,Home,L 0–1,Chelsea,Manchester City,Y,GK,90.0,28.0,34.0,82.4,748.0,432.0,6.0,6.0,100.0,13.0,13.0,100.0,9.0,15.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-02,Sat,7,Home,W 3–1,Chelsea,Southampton,Y,GK,90.0,27.0,32.0,84.4,693.0,371.0,7.0,7.0,100.0,12.0,13.0,92.3,8.0,11.0,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-16,Sat,8,Away,W 1–0,Chelsea,Brentford,Y,GK,90.0,15.0,25.0,60.0,443.0,274.0,2.0,2.0,100.0,5.0,5.0,100.0,7.0,17.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-23,Sat,9,Home,W 7–0,Chelsea,Norwich City,Y,GK,90.0,23.0,25.0,92.0,469.0,273.0,10.0,10.0,100.0,8.0,8.0,100.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-30,Sat,10,Away,W 3–0,Chelsea,Newcastle Utd,Y,GK,90.0,12.0,13.0,92.3,229.0,131.0,4.0,4.0,100.0,8.0,9.0,88.9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-11-06,Sat,11,Home,D 1–1,Chelsea,Burnley,Y,GK,90.0,25.0,28.0,89.3,530.0,272.0,7.0,7.0,100.0,13.0,13.0,100.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-11-20,Sat,12,Away,W 3–0,Chelsea,Leicester City,Y,GK,90.0,27.0,32.0,84.4,747.0,456.0,4.0,4.0,100.0,13.0,13.0,100.0,9.0,14.0,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Edouard Mendy,2021-11-28,Sun,13,Home,D 1–1,Chelsea,Manchester Utd,Y,GK,90.0,21.0,25.0,84.0,514.0,284.0,3.0,3.0,100.0,13.0,14.0,92.9,5.0,8.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
