player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Mendy, Edouard",SEN,GK,29.0,13.0,310.0,380.0,81.6,7690.0,4385.0,82.0,82.0,100.0,143.0,146.0,97.9,80.0,146.0,54.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/33887998/matchlogs/2021-2022/passing/Edouard-Mendy-Match-Logs
"Rüdiger, Antonio",GER,DF,28.0,13.0,761.0,875.0,87.0,16220.0,5028.0,220.0,235.0,93.6,406.0,442.0,91.9,129.0,184.0,70.1,0.0,0.3,-0.3,7.0,74.0,13.0,2.0,61.0,https://fbref.com/en/players/18b896d6/matchlogs/2021-2022/passing/Antonio-Rudiger-Match-Logs
Jorginho,ITA,MF,29.0,10.0,614.0,695.0,88.3,10772.0,2718.0,282.0,308.0,91.6,265.0,287.0,92.3,56.0,82.0,68.3,1.0,0.9,0.1,9.0,51.0,13.0,0.0,43.0,https://fbref.com/en/players/45db685d/matchlogs/2021-2022/passing/Jorginho-Match-Logs
"Christensen, Andreas",DEN,DF,25.0,9.0,601.0,654.0,91.9,12300.0,3598.0,197.0,210.0,93.8,296.0,318.0,93.1,99.0,116.0,85.3,0.0,0.1,-0.1,3.0,47.0,5.0,0.0,38.0,https://fbref.com/en/players/1cb49278/matchlogs/2021-2022/passing/Andreas-Christensen-Match-Logs
"Havertz, Kai",GER,"FW,MF",22.0,8.0,214.0,269.0,79.6,2873.0,626.0,137.0,153.0,89.5,50.0,72.0,69.4,11.0,15.0,73.3,1.0,0.7,0.3,3.0,15.0,8.0,1.0,21.0,https://fbref.com/en/players/fed7cb61/matchlogs/2021-2022/passing/Kai-Havertz-Match-Logs
"Silva, Thiago",BRA,DF,37.0,9.7,647.0,701.0,92.3,14248.0,5146.0,181.0,186.0,97.3,336.0,353.0,95.2,125.0,150.0,83.3,0.0,0.1,-0.1,4.0,45.0,3.0,0.0,32.0,https://fbref.com/en/players/86e7deaf/matchlogs/2021-2022/passing/Thiago-Silva-Match-Logs
"Alonso, Marcos",ESP,DF,30.0,7.8,319.0,433.0,73.7,5879.0,2181.0,147.0,169.0,87.0,123.0,152.0,80.9,40.0,86.0,46.5,1.0,1.2,-0.2,16.0,25.0,8.0,5.0,29.0,https://fbref.com/en/players/f4290206/matchlogs/2021-2022/passing/Marcos-Alonso-Match-Logs
"Kovačić, Mateo",CRO,MF,27.0,7.8,471.0,524.0,89.9,8739.0,2071.0,214.0,227.0,94.3,192.0,210.0,91.4,59.0,77.0,76.6,5.0,1.8,3.2,12.0,42.0,15.0,0.0,51.0,https://fbref.com/en/players/79c0821a/matchlogs/2021-2022/passing/Mateo-Kovacic-Match-Logs
"Azpilicueta, César",ESP,DF,32.0,7.8,414.0,506.0,81.8,6835.0,2939.0,205.0,227.0,90.3,182.0,212.0,85.8,24.0,49.0,49.0,2.0,1.3,0.7,7.0,20.0,12.0,1.0,40.0,https://fbref.com/en/players/53cad200/matchlogs/2021-2022/passing/Cesar-Azpilicueta-Match-Logs
"Chalobah, Trevoh",ENG,DF,22.0,7.7,440.0,496.0,88.7,8232.0,2600.0,176.0,193.0,91.2,209.0,226.0,92.5,52.0,70.0,74.3,0.0,0.0,0.0,0.0,52.0,3.0,0.0,26.0,https://fbref.com/en/players/5515376c/matchlogs/2021-2022/passing/Trevoh-Chalobah-Match-Logs
"James, Reece",ENG,DF,21.0,7.1,429.0,514.0,83.5,6716.0,1968.0,233.0,248.0,94.0,158.0,189.0,83.6,30.0,49.0,61.2,4.0,2.3,1.7,18.0,14.0,13.0,3.0,30.0,https://fbref.com/en/players/1265a93a/matchlogs/2021-2022/passing/Reece-James-Match-Logs
"Lukaku, Romelu",BEL,FW,28.0,7.2,90.0,121.0,74.4,1159.0,156.0,57.0,71.0,80.3,23.0,32.0,71.9,4.0,6.0,66.7,0.0,1.9,-1.9,11.0,2.0,5.0,0.0,5.0,https://fbref.com/en/players/5eae500a/matchlogs/2021-2022/passing/Romelu-Lukaku-Match-Logs
"Mount, Mason",ENG,"MF,FW",22.0,6.9,236.0,302.0,78.1,3427.0,1025.0,126.0,143.0,88.1,77.0,97.0,79.4,15.0,35.0,42.9,3.0,2.8,0.2,14.0,15.0,16.0,3.0,29.0,https://fbref.com/en/players/9674002f/matchlogs/2021-2022/passing/Mason-Mount-Match-Logs
"Hudson-Odoi, Callum",ENG,"FW,MF",21.0,6.1,187.0,229.0,81.7,2858.0,668.0,105.0,118.0,89.0,63.0,77.0,81.8,11.0,20.0,55.0,0.0,1.8,-1.8,16.0,5.0,11.0,1.0,22.0,https://fbref.com/en/players/15f3ec41/matchlogs/2021-2022/passing/Callum-Hudson-Odoi-Match-Logs
"Chilwell, Ben",ENG,DF,24.0,6.0,265.0,343.0,77.3,4206.0,1154.0,134.0,146.0,91.8,109.0,131.0,83.2,16.0,47.0,34.0,1.0,0.9,0.1,10.0,7.0,6.0,1.0,13.0,https://fbref.com/en/players/d2424d1b/matchlogs/2021-2022/passing/Ben-Chilwell-Match-Logs
"Kanté, N'Golo",FRA,MF,30.0,5.5,269.0,319.0,84.3,4363.0,1278.0,142.0,156.0,91.0,107.0,125.0,85.6,17.0,26.0,65.4,0.0,0.5,-0.5,4.0,20.0,6.0,0.0,35.0,https://fbref.com/en/players/b9fbae28/matchlogs/2021-2022/passing/NGolo-Kante-Match-Logs
"Werner, Timo",GER,FW,25.0,5.2,81.0,119.0,68.1,1088.0,173.0,51.0,62.0,82.3,27.0,37.0,73.0,1.0,5.0,20.0,1.0,0.2,0.8,2.0,5.0,4.0,0.0,7.0,https://fbref.com/en/players/49fe9070/matchlogs/2021-2022/passing/Timo-Werner-Match-Logs
"Loftus-Cheek, Ruben",ENG,MF,25.0,5.0,256.0,289.0,88.6,4308.0,995.0,119.0,132.0,90.2,113.0,126.0,89.7,19.0,23.0,82.6,2.0,0.7,1.3,3.0,23.0,5.0,0.0,24.0,https://fbref.com/en/players/e97fd090/matchlogs/2021-2022/passing/Ruben-Loftus-Cheek-Match-Logs
"Ziyech, Hakim",MAR,"MF,FW",28.0,3.7,119.0,163.0,73.0,1942.0,613.0,64.0,76.0,84.2,42.0,56.0,75.0,8.0,21.0,38.1,1.0,1.1,-0.1,9.0,10.0,6.0,2.0,18.0,https://fbref.com/en/players/6622454d/matchlogs/2021-2022/passing/Hakim-Ziyech-Match-Logs
"Pulisic, Christian",USA,"MF,DF",23.0,2.4,61.0,81.0,75.3,888.0,232.0,41.0,46.0,89.1,16.0,23.0,69.6,3.0,5.0,60.0,0.0,0.3,-0.3,3.0,3.0,3.0,0.0,6.0,https://fbref.com/en/players/1bf33a9a/matchlogs/2021-2022/passing/Christian-Pulisic-Match-Logs
"Ñíguez, Saúl",ESP,MF,27.0,1.0,45.0,56.0,80.4,802.0,103.0,23.0,26.0,88.5,15.0,19.0,78.9,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/players/c14bc029/matchlogs/2021-2022/passing/Saul-Niguez-Match-Logs
"Barkley, Ross",ENG,MF,27.0,1.4,73.0,89.0,82.0,1239.0,236.0,43.0,48.0,89.6,20.0,25.0,80.0,10.0,12.0,83.3,0.0,0.5,-0.5,6.0,5.0,5.0,0.0,8.0,https://fbref.com/en/players/3a24769f/matchlogs/2021-2022/passing/Ross-Barkley-Match-Logs
"Arrizabalaga, Kepa",ESP,GK,27.0,1.0,28.0,30.0,93.3,730.0,379.0,4.0,4.0,100.0,15.0,15.0,100.0,8.0,10.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/28d596a0/matchlogs/2021-2022/passing/Kepa-Arrizabalaga-Match-Logs
"Sarr, Malang",FRA,DF,22.0,1.0,58.0,65.0,89.2,977.0,222.0,23.0,23.0,100.0,30.0,30.0,100.0,3.0,9.0,33.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,https://fbref.com/en/players/4315f30d/matchlogs/2021-2022/passing/Malang-Sarr-Match-Logs
"Palmieri, Emerson",ITA,DF,27.0,0.1,1.0,2.0,50.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e0bc6fdc/matchlogs/2021-2022/passing/Emerson-Palmieri-Match-Logs
