name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Edouard Mendy,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,Y,GK,90.0,20.0,19.0,20.0,0.0,0.0,0.0,15.0,0.0,0.0,,0.0,0.0,10.0,43.0,17.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,
Edouard Mendy,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,Y,GK,90.0,46.0,40.0,46.0,0.0,0.0,0.0,38.0,0.0,0.0,,0.0,0.0,30.0,86.0,24.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,100.0,0.0,
Edouard Mendy,2021-08-28,Sat,3,Away,D 1–1,Chelsea,Liverpool,Y,GK,90.0,47.0,41.0,47.0,0.0,0.0,0.0,29.0,0.0,0.0,,0.0,0.0,9.0,60.0,37.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
Edouard Mendy,2021-09-11,Sat,4,Home,W 3–0,Chelsea,Aston Villa,Y,GK,90.0,42.0,41.0,42.0,0.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,17.0,56.0,19.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,
Edouard Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Mendy,2021-09-25,Sat,6,Home,L 0–1,Chelsea,Manchester City,Y,GK,90.0,38.0,35.0,38.0,0.0,0.0,0.0,25.0,0.0,0.0,,0.0,0.0,16.0,92.0,45.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,
Edouard Mendy,2021-10-02,Sat,7,Home,W 3–1,Chelsea,Southampton,Y,GK,90.0,32.0,30.0,32.0,0.0,0.0,0.0,26.0,0.0,0.0,,0.0,0.0,21.0,65.0,34.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,100.0,0.0,
Edouard Mendy,2021-10-16,Sat,8,Away,W 1–0,Chelsea,Brentford,Y,GK,90.0,31.0,29.0,31.0,0.0,0.0,0.0,28.0,0.0,0.0,,0.0,0.0,17.0,58.0,28.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,
Edouard Mendy,2021-10-23,Sat,9,Home,W 7–0,Chelsea,Norwich City,Y,GK,90.0,26.0,23.0,25.0,1.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,10.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,93.8,0.0,
Edouard Mendy,2021-10-30,Sat,10,Away,W 3–0,Chelsea,Newcastle Utd,Y,GK,90.0,14.0,12.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.0,6.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,
Edouard Mendy,2021-11-06,Sat,11,Home,D 1–1,Chelsea,Burnley,Y,GK,90.0,28.0,25.0,28.0,1.0,0.0,0.0,21.0,0.0,0.0,,0.0,0.0,18.0,77.0,27.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,0.0,
Edouard Mendy,2021-11-20,Sat,12,Away,W 3–0,Chelsea,Leicester City,Y,GK,90.0,34.0,31.0,34.0,0.0,0.0,0.0,28.0,0.0,0.0,,0.0,0.0,16.0,64.0,23.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,
Edouard Mendy,2021-11-28,Sun,13,Home,D 1–1,Chelsea,Manchester Utd,Y,GK,90.0,25.0,24.0,25.0,0.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,19.0,44.0,20.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,
Edouard Mendy,2021-12-01,Wed,14,Away,W 2–1,Chelsea,Watford,Y,GK,90.0,32.0,29.0,32.0,0.0,0.0,0.0,25.0,0.0,0.0,,0.0,0.0,8.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,
Antonio Rüdiger,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,Y,CB,90.0,94.0,2.0,23.0,76.0,2.0,0.0,94.0,0.0,0.0,,0.0,0.0,77.0,325.0,194.0,6.0,2.0,0.0,0.0,0.0,83.0,81.0,97.6,0.0,
Antonio Rüdiger,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,Y,CB,90.0,71.0,9.0,43.0,28.0,7.0,1.0,70.0,0.0,0.0,,0.0,0.0,50.0,199.0,108.0,2.0,1.0,0.0,0.0,0.0,60.0,59.0,98.3,0.0,
Antonio Rüdiger,2021-08-28,Sat,3,Away,D 1–1,Chelsea,Liverpool,Y,CB,90.0,44.0,13.0,34.0,11.0,0.0,0.0,44.0,0.0,0.0,,0.0,0.0,17.0,108.0,27.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,95.5,0.0,
Antonio Rüdiger,2021-09-11,Sat,4,Home,W 3–0,Chelsea,Aston Villa,Y,CB,90.0,54.0,10.0,32.0,21.0,5.0,1.0,52.0,0.0,0.0,,0.0,0.0,26.0,172.0,122.0,3.0,2.0,0.0,0.0,1.0,36.0,35.0,97.2,2.0,
Antonio Rüdiger,2021-09-19,Sun,5,Away,W 3–0,Chelsea,Tottenham,Y,CB,90.0,61.0,6.0,25.0,30.0,8.0,2.0,60.0,0.0,0.0,,0.0,0.0,41.0,98.0,21.0,1.0,0.0,0.0,0.0,1.0,49.0,48.0,98.0,1.0,
Antonio Rüdiger,2021-09-25,Sat,6,Home,L 0–1,Chelsea,Manchester City,Y,CB,90.0,59.0,14.0,35.0,23.0,4.0,0.0,56.0,1.0,1.0,100.0,1.0,0.0,37.0,149.0,82.0,5.0,2.0,0.0,0.0,0.0,43.0,41.0,95.3,0.0,
Antonio Rüdiger,2021-10-02,Sat,7,Home,W 3–1,Chelsea,Southampton,Y,CB,90.0,88.0,8.0,48.0,43.0,7.0,1.0,87.0,1.0,1.0,100.0,1.0,0.0,60.0,367.0,235.0,8.0,4.0,0.0,0.0,0.0,73.0,73.0,100.0,0.0,
Antonio Rüdiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Rüdiger,2021-10-23,Sat,9,Home,W 7–0,Chelsea,Norwich City,Y,CB,90.0,72.0,1.0,23.0,42.0,13.0,4.0,71.0,1.0,1.0,100.0,1.0,0.0,56.0,370.0,249.0,7.0,3.0,0.0,1.0,0.0,60.0,60.0,100.0,0.0,
Antonio Rüdiger,2021-10-30,Sat,10,Away,W 3–0,Chelsea,Newcastle Utd,Y,CB,90.0,130.0,6.0,28.0,68.0,45.0,1.0,129.0,0.0,1.0,0.0,0.0,0.0,107.0,487.0,302.0,15.0,5.0,0.0,0.0,0.0,121.0,120.0,99.2,3.0,
Antonio Rüdiger,2021-11-06,Sat,11,Home,D 1–1,Chelsea,Burnley,Y,CB,90.0,96.0,1.0,30.0,53.0,20.0,7.0,94.0,0.0,0.0,,0.0,0.0,70.0,331.0,241.0,11.0,2.0,1.0,1.0,3.0,75.0,75.0,100.0,1.0,
Antonio Rüdiger,2021-11-20,Sat,12,Away,W 3–0,Chelsea,Leicester City,Y,CB,90.0,77.0,2.0,32.0,48.0,4.0,1.0,72.0,0.0,0.0,,0.0,0.0,55.0,213.0,105.0,3.0,3.0,0.0,0.0,2.0,54.0,52.0,96.3,0.0,
