player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Mendy, Edouard",SEN,GK,29.0,13.0,415.0,379.0,414.0,2.0,0.0,0.0,322.0,0.0,0.0,,0.0,0.0,197.0,738.0,295.0,0.0,0.0,0.0,0.0,0.0,212.0,211.0,99.5,0.0,https://fbref.com/en/players/33887998/matchlogs/2021-2022/possession/Edouard-Mendy-Match-Logs
"Rüdiger, Antonio",GER,DF,28.0,13.0,1008.0,97.0,439.0,515.0,133.0,21.0,985.0,4.0,5.0,80.0,4.0,0.0,692.0,3299.0,1984.0,70.0,29.0,1.0,2.0,8.0,783.0,769.0,98.2,7.0,https://fbref.com/en/players/18b896d6/matchlogs/2021-2022/possession/Antonio-Rudiger-Match-Logs
Jorginho,ITA,MF,29.0,10.0,797.0,30.0,197.0,475.0,176.0,7.0,784.0,5.0,5.0,100.0,5.0,1.0,535.0,1969.0,905.0,29.0,15.0,0.0,6.0,14.0,618.0,599.0,96.9,16.0,https://fbref.com/en/players/45db685d/matchlogs/2021-2022/possession/Jorginho-Match-Logs
"Christensen, Andreas",DEN,DF,25.0,9.0,762.0,106.0,381.0,369.0,48.0,3.0,743.0,2.0,2.0,100.0,2.0,0.0,486.0,2085.0,1135.0,34.0,9.0,0.0,0.0,0.0,526.0,518.0,98.5,1.0,https://fbref.com/en/players/1cb49278/matchlogs/2021-2022/possession/Andreas-Christensen-Match-Logs
"Havertz, Kai",GER,"FW,MF",22.0,8.0,392.0,20.0,52.0,188.0,177.0,46.0,387.0,7.0,16.0,43.8,7.0,1.0,269.0,1504.0,786.0,43.0,9.0,11.0,24.0,13.0,454.0,295.0,65.0,63.0,https://fbref.com/en/players/fed7cb61/matchlogs/2021-2022/possession/Kai-Havertz-Match-Logs
"Silva, Thiago",BRA,DF,37.0,9.7,820.0,120.0,421.0,429.0,30.0,11.0,800.0,2.0,2.0,100.0,2.0,0.0,519.0,2853.0,1719.0,48.0,8.0,0.0,4.0,1.0,571.0,566.0,99.1,1.0,https://fbref.com/en/players/86e7deaf/matchlogs/2021-2022/possession/Thiago-Silva-Match-Logs
"Alonso, Marcos",ESP,DF,30.0,7.8,549.0,30.0,167.0,189.0,209.0,20.0,448.0,4.0,13.0,30.8,5.0,0.0,295.0,1460.0,825.0,43.0,6.0,3.0,9.0,10.0,344.0,298.0,86.6,28.0,https://fbref.com/en/players/f4290206/matchlogs/2021-2022/possession/Marcos-Alonso-Match-Logs
"Kovačić, Mateo",CRO,MF,27.0,7.8,613.0,16.0,126.0,385.0,163.0,10.0,599.0,13.0,18.0,72.2,14.0,0.0,456.0,2565.0,1365.0,60.0,29.0,3.0,4.0,16.0,495.0,475.0,96.0,12.0,https://fbref.com/en/players/79c0821a/matchlogs/2021-2022/possession/Mateo-Kovacic-Match-Logs
"Azpilicueta, César",ESP,DF,32.0,7.8,589.0,52.0,211.0,229.0,171.0,18.0,526.0,6.0,7.0,85.7,6.0,0.0,328.0,1136.0,612.0,34.0,9.0,0.0,6.0,3.0,424.0,391.0,92.2,22.0,https://fbref.com/en/players/53cad200/matchlogs/2021-2022/possession/Cesar-Azpilicueta-Match-Logs
"Chalobah, Trevoh",ENG,DF,22.0,7.7,570.0,32.0,225.0,316.0,65.0,4.0,556.0,6.0,6.0,100.0,6.0,0.0,395.0,1824.0,954.0,34.0,10.0,0.0,1.0,4.0,420.0,409.0,97.4,1.0,https://fbref.com/en/players/5515376c/matchlogs/2021-2022/possession/Trevoh-Chalobah-Match-Logs
"James, Reece",ENG,DF,21.0,7.1,591.0,11.0,119.0,242.0,269.0,36.0,501.0,9.0,14.0,64.3,9.0,0.0,395.0,1703.0,946.0,48.0,19.0,7.0,7.0,8.0,423.0,395.0,93.4,43.0,https://fbref.com/en/players/1265a93a/matchlogs/2021-2022/possession/Reece-James-Match-Logs
"Lukaku, Romelu",BEL,FW,28.0,7.2,203.0,10.0,16.0,95.0,107.0,42.0,194.0,10.0,15.0,66.7,11.0,0.0,128.0,518.0,303.0,20.0,5.0,9.0,19.0,13.0,315.0,143.0,45.4,59.0,https://fbref.com/en/players/5eae500a/matchlogs/2021-2022/possession/Romelu-Lukaku-Match-Logs
"Mount, Mason",ENG,"MF,FW",22.0,6.9,391.0,6.0,51.0,148.0,215.0,29.0,368.0,7.0,16.0,43.8,8.0,0.0,276.0,1296.0,716.0,35.0,13.0,8.0,14.0,16.0,364.0,293.0,80.5,49.0,https://fbref.com/en/players/9674002f/matchlogs/2021-2022/possession/Mason-Mount-Match-Logs
"Hudson-Odoi, Callum",ENG,"FW,MF",21.0,6.1,291.0,4.0,25.0,104.0,190.0,37.0,280.0,16.0,22.0,72.7,16.0,0.0,237.0,1675.0,1126.0,65.0,19.0,19.0,12.0,11.0,298.0,221.0,74.2,48.0,https://fbref.com/en/players/15f3ec41/matchlogs/2021-2022/possession/Callum-Hudson-Odoi-Match-Logs
"Chilwell, Ben",ENG,DF,24.0,6.0,422.0,9.0,93.0,144.0,203.0,28.0,348.0,2.0,5.0,40.0,3.0,0.0,240.0,1082.0,514.0,23.0,4.0,5.0,11.0,3.0,295.0,256.0,86.8,30.0,https://fbref.com/en/players/d2424d1b/matchlogs/2021-2022/possession/Ben-Chilwell-Match-Logs
"Kanté, N'Golo",FRA,MF,30.0,5.5,384.0,8.0,86.0,188.0,138.0,10.0,383.0,10.0,14.0,71.4,10.0,0.0,273.0,1436.0,799.0,37.0,13.0,3.0,8.0,11.0,317.0,288.0,90.9,24.0,https://fbref.com/en/players/b9fbae28/matchlogs/2021-2022/possession/NGolo-Kante-Match-Logs
"Werner, Timo",GER,FW,25.0,5.2,184.0,1.0,11.0,72.0,117.0,46.0,179.0,4.0,13.0,30.8,5.0,0.0,143.0,862.0,515.0,24.0,6.0,10.0,14.0,7.0,247.0,140.0,56.7,46.0,https://fbref.com/en/players/49fe9070/matchlogs/2021-2022/possession/Timo-Werner-Match-Logs
"Loftus-Cheek, Ruben",ENG,MF,25.0,5.0,370.0,11.0,83.0,231.0,82.0,8.0,369.0,16.0,25.0,64.0,17.0,2.0,266.0,1352.0,853.0,39.0,12.0,1.0,6.0,14.0,283.0,262.0,92.6,17.0,https://fbref.com/en/players/e97fd090/matchlogs/2021-2022/possession/Ruben-Loftus-Cheek-Match-Logs
"Ziyech, Hakim",MAR,"MF,FW",28.0,3.7,235.0,4.0,15.0,98.0,128.0,25.0,229.0,10.0,15.0,66.7,10.0,2.0,180.0,776.0,370.0,23.0,6.0,4.0,9.0,10.0,211.0,170.0,80.6,38.0,https://fbref.com/en/players/6622454d/matchlogs/2021-2022/possession/Hakim-Ziyech-Match-Logs
"Pulisic, Christian",USA,"MF,DF",23.0,2.4,119.0,1.0,14.0,49.0,64.0,16.0,116.0,4.0,9.0,44.4,5.0,0.0,93.0,520.0,246.0,16.0,2.0,2.0,9.0,4.0,123.0,91.0,74.0,17.0,https://fbref.com/en/players/1bf33a9a/matchlogs/2021-2022/possession/Christian-Pulisic-Match-Logs
"Ñíguez, Saúl",ESP,MF,27.0,1.0,72.0,2.0,19.0,45.0,10.0,1.0,65.0,0.0,1.0,0.0,0.0,0.0,26.0,84.0,30.0,1.0,0.0,0.0,2.0,4.0,48.0,43.0,89.6,1.0,https://fbref.com/en/players/c14bc029/matchlogs/2021-2022/possession/Saul-Niguez-Match-Logs
"Barkley, Ross",ENG,MF,27.0,1.4,107.0,0.0,7.0,42.0,69.0,7.0,102.0,4.0,4.0,100.0,4.0,0.0,79.0,624.0,350.0,15.0,7.0,1.0,1.0,5.0,97.0,88.0,90.7,15.0,https://fbref.com/en/players/3a24769f/matchlogs/2021-2022/possession/Ross-Barkley-Match-Logs
"Arrizabalaga, Kepa",ESP,GK,27.0,1.0,31.0,26.0,31.0,0.0,0.0,0.0,27.0,0.0,0.0,,0.0,0.0,20.0,65.0,29.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,https://fbref.com/en/players/28d596a0/matchlogs/2021-2022/possession/Kepa-Arrizabalaga-Match-Logs
"Sarr, Malang",FRA,DF,22.0,1.0,84.0,11.0,44.0,37.0,6.0,0.0,80.0,0.0,0.0,,0.0,0.0,47.0,166.0,83.0,3.0,1.0,0.0,0.0,0.0,47.0,47.0,100.0,0.0,https://fbref.com/en/players/4315f30d/matchlogs/2021-2022/possession/Malang-Sarr-Match-Logs
"Palmieri, Emerson",ITA,DF,27.0,0.1,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,https://fbref.com/en/players/e0bc6fdc/matchlogs/2021-2022/possession/Emerson-Palmieri-Match-Logs
