name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,bench_explain
Edouard Mendy,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,90.0,0.0,10.0,0.0,0.0,0.0,
Edouard Mendy,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,86.0,0.0,30.0,0.0,0.0,0.0,
Edouard Mendy,2021-08-28,Sat,3,Away,D 1–1,Chelsea,Liverpool,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,65.0,0.0,9.0,0.0,0.0,0.0,
Edouard Mendy,2021-09-11,Sat,4,Home,W 3–0,Chelsea,Aston Villa,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,36.0,83.3,0.0,17.0,0.0,0.0,0.0,
Edouard Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Mendy,2021-09-25,Sat,6,Home,L 0–1,Chelsea,Manchester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,82.4,0.0,16.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-02,Sat,7,Home,W 3–1,Chelsea,Southampton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,84.4,0.0,21.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-16,Sat,8,Away,W 1–0,Chelsea,Brentford,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,60.0,0.0,17.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-23,Sat,9,Home,W 7–0,Chelsea,Norwich City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,92.0,0.0,10.0,0.0,0.0,0.0,
Edouard Mendy,2021-10-30,Sat,10,Away,W 3–0,Chelsea,Newcastle Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,0.0,6.0,0.0,0.0,0.0,
Edouard Mendy,2021-11-06,Sat,11,Home,D 1–1,Chelsea,Burnley,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,89.3,0.0,18.0,0.0,0.0,0.0,
Edouard Mendy,2021-11-20,Sat,12,Away,W 3–0,Chelsea,Leicester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,32.0,84.4,0.0,16.0,0.0,0.0,0.0,
Edouard Mendy,2021-11-28,Sun,13,Home,D 1–1,Chelsea,Manchester Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,84.0,0.0,19.0,0.0,0.0,0.0,
Edouard Mendy,2021-12-01,Wed,14,Away,W 2–1,Chelsea,Watford,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,77.8,0.0,8.0,0.0,0.0,0.0,
Antonio Rüdiger,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,77.0,84.0,91.7,5.0,77.0,6.0,0.0,0.0,
Antonio Rüdiger,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,66.0,84.8,3.0,50.0,2.0,0.0,0.0,
Antonio Rüdiger,2021-08-28,Sat,3,Away,D 1–1,Chelsea,Liverpool,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,30.0,63.3,2.0,17.0,0.0,0.0,0.0,
Antonio Rüdiger,2021-09-11,Sat,4,Home,W 3–0,Chelsea,Aston Villa,Y,CB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,54.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,38.0,43.0,88.4,2.0,26.0,3.0,0.0,0.0,
Antonio Rüdiger,2021-09-19,Sun,5,Away,W 3–0,Chelsea,Tottenham,Y,CB,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,61.0,5.0,1.0,1.0,0.0,0.2,0.2,0.1,4.0,1.0,48.0,53.0,90.6,3.0,41.0,1.0,0.0,0.0,
Antonio Rüdiger,2021-09-25,Sat,6,Home,L 0–1,Chelsea,Manchester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,11.0,2.0,2.0,3.0,0.0,0.0,0.1,3.0,0.0,44.0,50.0,88.0,3.0,37.0,5.0,1.0,1.0,
Antonio Rüdiger,2021-10-02,Sat,7,Home,W 3–1,Chelsea,Southampton,Y,CB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,88.0,4.0,1.0,0.0,3.0,0.1,0.1,0.0,0.0,0.0,72.0,80.0,90.0,5.0,60.0,8.0,1.0,1.0,
Antonio Rüdiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Rüdiger,2021-10-23,Sat,9,Home,W 7–0,Chelsea,Norwich City,Y,CB,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,72.0,7.0,1.0,1.0,2.0,0.3,0.3,0.0,4.0,2.0,61.0,63.0,96.8,4.0,56.0,7.0,1.0,1.0,
Antonio Rüdiger,2021-10-30,Sat,10,Away,W 3–0,Chelsea,Newcastle Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,130.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,113.0,125.0,90.4,16.0,107.0,15.0,0.0,1.0,
Antonio Rüdiger,2021-11-06,Sat,11,Home,D 1–1,Chelsea,Burnley,Y,CB,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,96.0,3.0,0.0,0.0,0.0,0.3,0.3,0.1,4.0,0.0,72.0,84.0,85.7,7.0,70.0,11.0,0.0,0.0,
Antonio Rüdiger,2021-11-20,Sat,12,Away,W 3–0,Chelsea,Leicester City,Y,CB,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,9.0,5.0,2.0,1.0,0.1,0.1,0.1,2.0,0.0,53.0,64.0,82.8,3.0,55.0,3.0,0.0,0.0,
Antonio Rüdiger,2021-11-28,Sun,13,Home,D 1–1,Chelsea,Manchester Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,86.0,3.0,2.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,67.0,77.0,87.0,4.0,69.0,8.0,0.0,0.0,
Antonio Rüdiger,2021-12-01,Wed,14,Away,W 2–1,Chelsea,Watford,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,14.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,56.0,73.2,4.0,27.0,1.0,1.0,1.0,
Jorginho,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,32.0,6.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,81.0,88.0,92.0,8.0,58.0,3.0,0.0,0.0,
Jorginho,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,28.0,4.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,56.0,66.0,84.8,3.0,54.0,3.0,0.0,0.0,
Jorginho,2021-08-28,Sat,3,Away,D 1–1,Chelsea,Liverpool,Y,DM,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,14.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,27.0,33.0,81.8,0.0,26.0,0.0,0.0,0.0,
Jorginho,2021-09-11,Sat,4,Home,W 3–0,Chelsea,Aston Villa,N,DM,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,12.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,30.0,33.0,90.9,2.0,26.0,1.0,1.0,1.0,
Jorginho,2021-09-19,Sun,5,Away,W 3–0,Chelsea,Tottenham,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,68.0,88.2,3.0,54.0,3.0,2.0,2.0,
