player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Mendy, Edouard",SEN,GK,29.0,13.0,13.0,"1,170",13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/33887998/matchlogs/2021-2022/summary/Edouard-Mendy-Match-Logs
"Rüdiger, Antonio",GER,DF,28.0,13.0,13.0,"1,170",13.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,1.4,1.4,0.3,1.7,0.11,0.02,0.13,0.11,0.13,https://fbref.com/en/players/18b896d6/matchlogs/2021-2022/summary/Antonio-Rudiger-Match-Logs
Jorginho,ITA,MF,29.0,12.0,10.0,903,10.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.2,0.1,0.3,0.0,0.1,1.6,0.1,0.9,1.0,0.16,0.09,0.25,0.01,0.1,https://fbref.com/en/players/45db685d/matchlogs/2021-2022/summary/Jorginho-Match-Logs
"Christensen, Andreas",DEN,DF,25.0,9.0,9.0,810,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.03,0.01,0.05,0.03,0.05,https://fbref.com/en/players/1cb49278/matchlogs/2021-2022/summary/Andreas-Christensen-Match-Logs
"Havertz, Kai",GER,"FW,MF",22.0,12.0,9.0,721,8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.25,0.12,0.37,0.25,0.37,2.1,2.1,0.7,2.8,0.27,0.09,0.35,0.27,0.35,https://fbref.com/en/players/fed7cb61/matchlogs/2021-2022/summary/Kai-Havertz-Match-Logs
"Silva, Thiago",BRA,DF,37.0,11.0,8.0,872,9.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/86e7deaf/matchlogs/2021-2022/summary/Thiago-Silva-Match-Logs
"Alonso, Marcos",ESP,DF,30.0,8.0,8.0,702,7.8,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.13,0.13,0.26,0.13,0.26,0.9,0.9,1.2,2.1,0.11,0.16,0.27,0.11,0.27,https://fbref.com/en/players/f4290206/matchlogs/2021-2022/summary/Marcos-Alonso-Match-Logs
"Kovačić, Mateo",CRO,MF,27.0,9.0,8.0,702,7.8,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.13,0.64,0.77,0.13,0.77,1.1,1.1,1.8,2.8,0.14,0.22,0.36,0.14,0.36,https://fbref.com/en/players/79c0821a/matchlogs/2021-2022/summary/Mateo-Kovacic-Match-Logs
"Azpilicueta, César",ESP,DF,32.0,9.0,8.0,699,7.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,0.2,0.2,1.3,1.5,0.02,0.17,0.19,0.02,0.19,https://fbref.com/en/players/53cad200/matchlogs/2021-2022/summary/Cesar-Azpilicueta-Match-Logs
"Chalobah, Trevoh",ENG,DF,22.0,9.0,8.0,693,7.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,0.5,0.5,0.0,0.5,0.07,0.0,0.07,0.07,0.07,https://fbref.com/en/players/5515376c/matchlogs/2021-2022/summary/Trevoh-Chalobah-Match-Logs
