player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Schmeichel, Kasper",DEN,GK,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/53af52f3/matchlogs/2021-2022/defense/Kasper-Schmeichel-Match-Logs
"Söyüncü, Çağlar",TUR,DF,25.0,13.7,23.0,14.0,16.0,7.0,0.0,11.0,20.0,55.0,9.0,125.0,41.0,32.8,67.0,55.0,3.0,30.0,11.0,0.0,19.0,26.0,49.0,66.0,1.0,https://fbref.com/en/players/21166ff4/matchlogs/2021-2022/defense/Caglar-Soyuncu-Match-Logs
"Vardy, Jamie",ENG,FW,34.0,13.4,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,173.0,44.0,25.4,10.0,67.0,96.0,8.0,1.0,0.0,7.0,4.0,6.0,9.0,0.0,https://fbref.com/en/players/45963054/matchlogs/2021-2022/defense/Jamie-Vardy-Match-Logs
"Tielemans, Youri",BEL,MF,24.0,10.8,18.0,13.0,7.0,9.0,2.0,9.0,26.0,34.6,17.0,157.0,48.0,30.6,48.0,76.0,33.0,23.0,9.0,0.0,14.0,12.0,30.0,18.0,1.0,https://fbref.com/en/players/56f7a928/matchlogs/2021-2022/defense/Youri-Tielemans-Match-Logs
"Barnes, Harvey",ENG,"FW,MF",23.0,9.6,8.0,4.0,1.0,5.0,2.0,1.0,7.0,14.3,6.0,107.0,34.0,31.8,27.0,44.0,36.0,11.0,1.0,0.0,10.0,3.0,11.0,3.0,0.0,https://fbref.com/en/players/3ea50f67/matchlogs/2021-2022/defense/Harvey-Barnes-Match-Logs
"Ndidi, Wilfred",NGA,MF,24.0,10.0,45.0,32.0,26.0,18.0,1.0,14.0,33.0,42.4,19.0,266.0,84.0,31.6,105.0,134.0,27.0,14.0,1.0,0.0,13.0,22.0,67.0,28.0,0.0,https://fbref.com/en/players/6b47c5db/matchlogs/2021-2022/defense/Wilfred-Ndidi-Match-Logs
"Maddison, James",ENG,"MF,FW",25.0,9.2,13.0,7.0,1.0,8.0,4.0,3.0,11.0,27.3,8.0,159.0,37.0,23.3,41.0,80.0,38.0,8.0,0.0,0.0,8.0,8.0,21.0,1.0,0.0,https://fbref.com/en/players/ee38d9c5/matchlogs/2021-2022/defense/James-Maddison-Match-Logs
"Castagne, Timothy",BEL,DF,25.0,10.6,32.0,10.0,12.0,16.0,4.0,14.0,25.0,56.0,11.0,175.0,49.0,28.0,76.0,81.0,18.0,24.0,4.0,0.0,20.0,19.0,51.0,28.0,2.0,https://fbref.com/en/players/197640fd/matchlogs/2021-2022/defense/Timothy-Castagne-Match-Logs
"Soumaré, Boubakary",FRA,MF,22.0,8.6,20.0,11.0,8.0,9.0,3.0,6.0,11.0,54.5,5.0,185.0,49.0,26.5,63.0,95.0,27.0,9.0,1.0,0.0,8.0,13.0,33.0,11.0,0.0,https://fbref.com/en/players/ae59b359/matchlogs/2021-2022/defense/Boubakary-Soumare-Match-Logs
"Pereira, Ricardo",POR,DF,28.0,6.6,26.0,13.0,13.0,10.0,3.0,13.0,28.0,46.4,15.0,127.0,36.0,28.3,48.0,57.0,22.0,20.0,3.0,0.0,17.0,14.0,40.0,20.0,0.0,https://fbref.com/en/players/75a72a99/matchlogs/2021-2022/defense/Ricardo-Pereira-Match-Logs
"Evans, Jonny",NIR,DF,33.0,7.3,13.0,6.0,9.0,3.0,1.0,7.0,12.0,58.3,5.0,53.0,20.0,37.7,34.0,16.0,3.0,14.0,8.0,0.0,6.0,19.0,32.0,23.0,0.0,https://fbref.com/en/players/f8fcd2a5/matchlogs/2021-2022/defense/Jonny-Evans-Match-Logs
"Amartey, Daniel",GHA,DF,26.0,6.7,6.0,3.0,3.0,3.0,0.0,4.0,10.0,40.0,6.0,45.0,15.0,33.3,23.0,20.0,2.0,11.0,5.0,0.0,6.0,8.0,14.0,25.0,1.0,https://fbref.com/en/players/1a4ef233/matchlogs/2021-2022/defense/Daniel-Amartey-Match-Logs
"Thomas, Luke",ENG,DF,20.0,6.0,10.0,5.0,8.0,1.0,1.0,4.0,10.0,40.0,6.0,74.0,21.0,28.4,38.0,26.0,10.0,9.0,3.0,0.0,6.0,11.0,21.0,16.0,0.0,https://fbref.com/en/players/fc027d02/matchlogs/2021-2022/defense/Luke-Thomas-Match-Logs
"Lookman, Ademola",ENG,"FW,MF",24.0,5.8,15.0,10.0,5.0,7.0,3.0,5.0,8.0,62.5,3.0,114.0,34.0,29.8,26.0,56.0,32.0,10.0,1.0,0.0,9.0,6.0,21.0,2.0,0.0,https://fbref.com/en/players/7c104bb7/matchlogs/2021-2022/defense/Ademola-Lookman-Match-Logs
"Iheanacho, Kelechi",NGA,"FW,MF",25.0,4.9,8.0,5.0,1.0,6.0,1.0,3.0,6.0,50.0,3.0,100.0,30.0,30.0,5.0,50.0,45.0,4.0,0.0,0.0,4.0,3.0,11.0,4.0,0.0,https://fbref.com/en/players/c92e1a31/matchlogs/2021-2022/defense/Kelechi-Iheanacho-Match-Logs
"Vestergaard, Jannik",DEN,DF,29.0,4.3,12.0,9.0,11.0,1.0,0.0,6.0,13.0,46.2,7.0,42.0,19.0,45.2,31.0,11.0,0.0,12.0,8.0,0.0,4.0,13.0,25.0,32.0,1.0,https://fbref.com/en/players/1900032e/matchlogs/2021-2022/defense/Jannik-Vestergaard-Match-Logs
"Bertrand, Ryan",ENG,DF,32.0,3.7,9.0,4.0,1.0,7.0,1.0,4.0,5.0,80.0,1.0,75.0,25.0,33.3,40.0,24.0,11.0,11.0,3.0,0.0,8.0,3.0,12.0,7.0,0.0,https://fbref.com/en/players/01226327/matchlogs/2021-2022/defense/Ryan-Bertrand-Match-Logs
"Albrighton, Marc",ENG,"FW,MF",32.0,3.3,11.0,3.0,6.0,3.0,2.0,1.0,8.0,12.5,7.0,102.0,22.0,21.6,32.0,54.0,16.0,7.0,1.0,0.0,6.0,7.0,18.0,1.0,0.0,https://fbref.com/en/players/b827d5b3/matchlogs/2021-2022/defense/Marc-Albrighton-Match-Logs
"Pérez, Ayoze",ESP,"FW,MF",28.0,1.8,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,38.0,12.0,31.6,8.0,23.0,7.0,3.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,https://fbref.com/en/players/819aa8e7/matchlogs/2021-2022/defense/Ayoze-Perez-Match-Logs
"Choudhury, Hamza",ENG,MF,24.0,0.7,4.0,1.0,0.0,4.0,0.0,2.0,2.0,100.0,0.0,16.0,2.0,12.5,0.0,13.0,3.0,1.0,0.0,0.0,1.0,6.0,10.0,2.0,0.0,https://fbref.com/en/players/7d2d3329/matchlogs/2021-2022/defense/Hamza-Choudhury-Match-Logs
"Daka, Patson",ZAM,"FW,MF",23.0,1.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,17.0,4.0,23.5,1.0,10.0,6.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,https://fbref.com/en/players/ca45605e/matchlogs/2021-2022/defense/Patson-Daka-Match-Logs
"Dewsbury Hall, Kiernan",ENG,MF,23.0,0.9,2.0,1.0,0.0,0.0,2.0,1.0,3.0,33.3,2.0,29.0,9.0,31.0,11.0,13.0,5.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,https://fbref.com/en/players/5c74c0f5/matchlogs/2021-2022/defense/Kiernan-Dewsbury-Hall-Match-Logs
