name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,shots_on_target_against,goals_against_gk,saves,save_pct,clean_sheets,psxg_gk,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
Kasper Schmeichel,2021-08-14,Sat,1,Home,W 1–0,Leicester City,Wolves,Y*,GK,90.0,3.0,0.0,3.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,6.0,12.0,50.0,31.0,7.0,29.0,32.9,8.0,37.5,32.6,8.0,2.0,25.0,1.0,16.0
Kasper Schmeichel,2021-08-23,Mon,2,Away,L 1–4,Leicester City,West Ham,Y*,GK,90.0,7.0,4.0,3.0,42.9,0.0,3.4,0.0,0.0,0.0,0.0,5.0,11.0,45.5,25.0,1.0,36.0,37.2,11.0,18.2,28.3,15.0,1.0,6.7,1.0,14.7
Kasper Schmeichel,2021-08-28,Sat,3,Away,W 2–1,Leicester City,Norwich City,Y*,GK,90.0,3.0,1.0,3.0,100.0,0.0,1.1,1.0,1.0,0.0,0.0,5.0,17.0,29.4,27.0,6.0,44.4,39.4,9.0,55.6,49.6,7.0,0.0,0.0,0.0,14.7
Kasper Schmeichel,2021-09-11,Sat,4,Home,L 0–1,Leicester City,Manchester City,Y*,GK,90.0,8.0,1.0,7.0,87.5,0.0,1.3,0.0,0.0,0.0,0.0,11.0,23.0,47.8,42.0,9.0,45.2,37.3,10.0,40.0,38.4,12.0,0.0,0.0,0.0,5.7
Kasper Schmeichel,2021-09-19,Sun,5,Away,L 1–2,Leicester City,Brighton,Y*,GK,90.0,3.0,2.0,2.0,66.7,0.0,1.1,1.0,1.0,0.0,0.0,2.0,8.0,25.0,16.0,2.0,50.0,37.3,6.0,0.0,16.5,8.0,0.0,0.0,1.0,15.5
Kasper Schmeichel,2021-09-25,Sat,6,Home,D 2–2,Leicester City,Burnley,Y*,GK,90.0,3.0,2.0,2.0,33.3,0.0,0.4,0.0,0.0,0.0,0.0,7.0,15.0,46.7,29.0,8.0,37.9,36.7,7.0,57.1,34.6,5.0,0.0,0.0,2.0,18.0
Kasper Schmeichel,2021-10-03,Sun,7,Away,D 2–2,Leicester City,Crystal Palace,Y*,GK,90.0,4.0,2.0,2.0,50.0,0.0,0.8,0.0,0.0,0.0,0.0,11.0,32.0,34.4,29.0,0.0,82.8,51.3,11.0,72.7,58.7,13.0,1.0,7.7,0.0,10.0
Kasper Schmeichel,2021-10-16,Sat,8,Home,W 4–2,Leicester City,Manchester Utd,Y*,GK,90.0,6.0,2.0,4.0,66.7,0.0,0.7,0.0,0.0,0.0,0.0,10.0,23.0,43.5,38.0,5.0,50.0,38.3,11.0,36.4,37.5,9.0,2.0,22.2,1.0,11.8
Kasper Schmeichel,2021-10-24,Sun,9,Away,W 2–1,Leicester City,Brentford,Y*,GK,90.0,5.0,1.0,4.0,80.0,0.0,1.1,0.0,0.0,0.0,0.0,6.0,26.0,23.1,31.0,4.0,64.5,48.5,12.0,50.0,45.3,12.0,1.0,8.3,0.0,10.8
Kasper Schmeichel,2021-10-30,Sat,10,Home,L 0–2,Leicester City,Arsenal,Y*,GK,90.0,5.0,2.0,3.0,60.0,0.0,1.9,0.0,0.0,0.0,0.0,4.0,10.0,40.0,36.0,6.0,25.0,33.8,6.0,16.7,30.3,5.0,1.0,20.0,0.0,15.0
Kasper Schmeichel,2021-11-07,Sun,11,Away,D 1–1,Leicester City,Leeds United,Y*,GK,90.0,5.0,1.0,4.0,80.0,0.0,1.1,0.0,0.0,0.0,0.0,6.0,18.0,33.3,30.0,6.0,30.0,36.2,14.0,64.3,44.0,9.0,1.0,11.1,0.0,11.3
Kasper Schmeichel,2021-11-20,Sat,12,Home,L 0–3,Leicester City,Chelsea,Y*,GK,90.0,7.0,3.0,4.0,57.1,0.0,2.9,0.0,0.0,0.0,0.0,9.0,20.0,45.0,33.0,7.0,42.4,42.5,7.0,85.7,50.3,4.0,0.0,0.0,1.0,14.1
Kasper Schmeichel,2021-11-28,Sun,13,Home,W 4–2,Leicester City,Watford,Y*,GK,90.0,4.0,2.0,3.0,75.0,0.0,2.1,1.0,1.0,0.0,0.0,5.0,24.0,20.8,30.0,3.0,63.3,46.0,11.0,45.5,44.5,9.0,1.0,11.1,0.0,8.6
Kasper Schmeichel,2021-12-01,Wed,14,Away,D 2–2,Leicester City,Southampton,Y*,GK,90.0,7.0,2.0,5.0,71.4,0.0,1.7,0.0,0.0,0.0,0.0,12.0,25.0,48.0,43.0,3.0,46.5,41.1,6.0,83.3,55.3,9.0,0.0,0.0,0.0,9.8
