player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Schmeichel, Kasper",DEN,GK,35.0,14.0,397.0,569.0,69.8,12099.0,6548.0,42.0,42.0,100.0,194.0,196.0,99.0,159.0,329.0,48.3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,https://fbref.com/en/players/53af52f3/matchlogs/2021-2022/passing/Kasper-Schmeichel-Match-Logs
"Söyüncü, Çağlar",TUR,DF,25.0,13.7,705.0,824.0,85.6,14149.0,4465.0,217.0,234.0,92.7,402.0,429.0,93.7,80.0,144.0,55.6,0.0,0.1,-0.1,1.0,24.0,0.0,0.0,23.0,https://fbref.com/en/players/21166ff4/matchlogs/2021-2022/passing/Caglar-Soyuncu-Match-Logs
"Vardy, Jamie",ENG,FW,34.0,13.4,131.0,180.0,72.8,2141.0,454.0,64.0,83.0,77.1,54.0,71.0,76.1,8.0,13.0,61.5,1.0,1.1,-0.1,15.0,10.0,13.0,2.0,18.0,https://fbref.com/en/players/45963054/matchlogs/2021-2022/passing/Jamie-Vardy-Match-Logs
"Tielemans, Youri",BEL,MF,24.0,10.8,533.0,664.0,80.3,10232.0,3025.0,217.0,253.0,85.8,242.0,273.0,88.6,69.0,127.0,54.3,2.0,2.9,-0.9,22.0,62.0,14.0,1.0,81.0,https://fbref.com/en/players/56f7a928/matchlogs/2021-2022/passing/Youri-Tielemans-Match-Logs
"Barnes, Harvey",ENG,"FW,MF",23.0,9.6,205.0,282.0,72.7,2828.0,818.0,125.0,146.0,85.6,61.0,88.0,69.3,8.0,22.0,36.4,1.0,0.4,0.6,10.0,11.0,7.0,2.0,28.0,https://fbref.com/en/players/3ea50f67/matchlogs/2021-2022/passing/Harvey-Barnes-Match-Logs
"Ndidi, Wilfred",NGA,MF,24.0,10.0,431.0,525.0,82.1,7132.0,1642.0,214.0,250.0,85.6,179.0,201.0,89.1,28.0,47.0,59.6,0.0,0.0,0.0,0.0,22.0,2.0,0.0,31.0,https://fbref.com/en/players/6b47c5db/matchlogs/2021-2022/passing/Wilfred-Ndidi-Match-Logs
"Maddison, James",ENG,"MF,FW",25.0,9.2,225.0,316.0,71.2,4228.0,1420.0,96.0,123.0,78.0,88.0,102.0,86.3,34.0,74.0,45.9,2.0,1.6,0.4,14.0,28.0,14.0,2.0,35.0,https://fbref.com/en/players/ee38d9c5/matchlogs/2021-2022/passing/James-Maddison-Match-Logs
"Castagne, Timothy",BEL,DF,25.0,10.6,427.0,542.0,78.8,7283.0,2522.0,217.0,256.0,84.8,164.0,203.0,80.8,39.0,63.0,61.9,0.0,0.3,-0.3,5.0,20.0,7.0,1.0,32.0,https://fbref.com/en/players/197640fd/matchlogs/2021-2022/passing/Timothy-Castagne-Match-Logs
"Soumaré, Boubakary",FRA,MF,22.0,8.6,315.0,382.0,82.5,5667.0,1349.0,127.0,155.0,81.9,143.0,159.0,89.9,34.0,54.0,63.0,1.0,0.2,0.8,4.0,22.0,4.0,0.0,26.0,https://fbref.com/en/players/ae59b359/matchlogs/2021-2022/passing/Boubakary-Soumare-Match-Logs
"Pereira, Ricardo",POR,DF,28.0,6.6,274.0,350.0,78.3,4471.0,1539.0,145.0,167.0,86.8,109.0,131.0,83.2,18.0,38.0,47.4,2.0,1.1,0.9,6.0,8.0,11.0,2.0,26.0,https://fbref.com/en/players/75a72a99/matchlogs/2021-2022/passing/Ricardo-Pereira-Match-Logs
