player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Schmeichel, Kasper",DEN,GK,35.0,14.0,601.0,535.0,595.0,7.0,0.0,0.0,406.0,0.0,0.0,,0.0,0.0,267.0,1128.0,525.0,0.0,0.0,0.0,0.0,0.0,265.0,262.0,98.9,0.0,https://fbref.com/en/players/53af52f3/matchlogs/2021-2022/possession/Kasper-Schmeichel-Match-Logs
"Söyüncü, Çağlar",TUR,DF,25.0,13.7,979.0,148.0,583.0,431.0,28.0,7.0,956.0,3.0,4.0,75.0,3.0,0.0,615.0,3198.0,1469.0,26.0,7.0,0.0,3.0,3.0,669.0,654.0,97.8,1.0,https://fbref.com/en/players/21166ff4/matchlogs/2021-2022/possession/Caglar-Soyuncu-Match-Logs
"Vardy, Jamie",ENG,FW,34.0,13.4,269.0,10.0,19.0,117.0,154.0,67.0,244.0,8.0,13.0,61.5,9.0,0.0,148.0,988.0,614.0,34.0,10.0,15.0,13.0,7.0,457.0,186.0,40.7,79.0,https://fbref.com/en/players/45963054/matchlogs/2021-2022/possession/Jamie-Vardy-Match-Logs
"Tielemans, Youri",BEL,MF,24.0,10.8,791.0,41.0,185.0,451.0,204.0,19.0,741.0,7.0,9.0,77.8,7.0,0.0,531.0,2020.0,1239.0,53.0,20.0,4.0,11.0,12.0,623.0,568.0,91.2,32.0,https://fbref.com/en/players/56f7a928/matchlogs/2021-2022/possession/Youri-Tielemans-Match-Logs
"Barnes, Harvey",ENG,"FW,MF",23.0,9.6,418.0,7.0,44.0,197.0,227.0,51.0,417.0,11.0,34.0,32.4,14.0,1.0,330.0,2153.0,1432.0,77.0,27.0,19.0,25.0,26.0,452.0,338.0,74.8,71.0,https://fbref.com/en/players/3ea50f67/matchlogs/2021-2022/possession/Harvey-Barnes-Match-Logs
"Ndidi, Wilfred",NGA,MF,24.0,10.0,662.0,38.0,223.0,380.0,86.0,9.0,654.0,4.0,6.0,66.7,4.0,0.0,388.0,1821.0,773.0,27.0,5.0,0.0,10.0,8.0,412.0,390.0,94.7,8.0,https://fbref.com/en/players/6b47c5db/matchlogs/2021-2022/possession/Wilfred-Ndidi-Match-Logs
"Maddison, James",ENG,"MF,FW",25.0,9.2,415.0,7.0,53.0,222.0,167.0,31.0,372.0,9.0,19.0,47.4,10.0,1.0,299.0,1591.0,859.0,49.0,14.0,4.0,14.0,11.0,381.0,298.0,78.2,51.0,https://fbref.com/en/players/ee38d9c5/matchlogs/2021-2022/possession/James-Maddison-Match-Logs
"Castagne, Timothy",BEL,DF,25.0,10.6,672.0,38.0,250.0,310.0,144.0,10.0,583.0,11.0,13.0,84.6,11.0,0.0,353.0,1392.0,679.0,30.0,9.0,1.0,10.0,12.0,432.0,368.0,85.2,26.0,https://fbref.com/en/players/197640fd/matchlogs/2021-2022/possession/Timothy-Castagne-Match-Logs
"Soumaré, Boubakary",FRA,MF,22.0,8.6,484.0,19.0,120.0,288.0,101.0,5.0,482.0,6.0,11.0,54.5,7.0,1.0,326.0,1538.0,626.0,30.0,5.0,1.0,13.0,14.0,383.0,344.0,89.8,16.0,https://fbref.com/en/players/ae59b359/matchlogs/2021-2022/possession/Boubakary-Soumare-Match-Logs
"Pereira, Ricardo",POR,DF,28.0,6.6,441.0,26.0,133.0,222.0,101.0,13.0,385.0,6.0,11.0,54.5,6.0,2.0,265.0,900.0,547.0,28.0,4.0,3.0,5.0,3.0,283.0,247.0,87.3,9.0,https://fbref.com/en/players/75a72a99/matchlogs/2021-2022/possession/Ricardo-Pereira-Match-Logs
