player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
"Schmeichel, Kasper",DEN,GK,35.0,14.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/53af52f3/matchlogs/2021-2022/summary/Kasper-Schmeichel-Match-Logs
"Söyüncü, Çağlar",TUR,DF,25.0,13.7,1.0,5.0,1.0,20.0,0.36,0.07,0.2,1.0,11.7,0.0,0.0,0.0,1.2,1.2,0.25,-0.2,-0.2,https://fbref.com/en/players/21166ff4/matchlogs/2021-2022/summary/Caglar-Soyuncu-Match-Logs
"Vardy, Jamie",ENG,FW,34.0,13.4,9.0,34.0,15.0,44.1,2.54,1.12,0.26,0.6,11.9,0.0,0.0,0.0,6.0,6.0,0.18,3.0,3.0,https://fbref.com/en/players/45963054/matchlogs/2021-2022/summary/Jamie-Vardy-Match-Logs
"Tielemans, Youri",BEL,MF,24.0,10.8,3.0,26.0,8.0,30.8,2.4,0.74,0.12,0.38,23.2,0.0,0.0,0.0,1.8,1.8,0.07,1.2,1.2,https://fbref.com/en/players/56f7a928/matchlogs/2021-2022/summary/Youri-Tielemans-Match-Logs
"Barnes, Harvey",ENG,"FW,MF",23.0,9.6,1.0,24.0,10.0,41.7,2.5,1.04,0.04,0.1,15.7,0.0,0.0,0.0,2.0,2.0,0.08,-1.0,-1.0,https://fbref.com/en/players/3ea50f67/matchlogs/2021-2022/summary/Harvey-Barnes-Match-Logs
"Ndidi, Wilfred",NGA,MF,24.0,10.0,0.0,10.0,1.0,10.0,1.0,0.1,0.0,0.0,18.3,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,https://fbref.com/en/players/6b47c5db/matchlogs/2021-2022/summary/Wilfred-Ndidi-Match-Logs
"Maddison, James",ENG,"MF,FW",25.0,9.2,3.0,23.0,11.0,47.8,2.5,1.2,0.13,0.27,20.3,3.0,0.0,0.0,2.5,2.5,0.11,0.5,0.5,https://fbref.com/en/players/ee38d9c5/matchlogs/2021-2022/summary/James-Maddison-Match-Logs
"Castagne, Timothy",BEL,DF,25.0,10.6,0.0,1.0,0.0,0.0,0.09,0.0,0.0,,16.6,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,https://fbref.com/en/players/197640fd/matchlogs/2021-2022/summary/Timothy-Castagne-Match-Logs
"Soumaré, Boubakary",FRA,MF,22.0,8.6,0.0,4.0,2.0,50.0,0.47,0.23,0.0,0.0,18.4,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,https://fbref.com/en/players/ae59b359/matchlogs/2021-2022/summary/Boubakary-Soumare-Match-Logs
"Pereira, Ricardo",POR,DF,28.0,6.6,0.0,3.0,0.0,0.0,0.45,0.0,0.0,,15.4,0.0,0.0,0.0,0.3,0.3,0.11,-0.3,-0.3,https://fbref.com/en/players/75a72a99/matchlogs/2021-2022/summary/Ricardo-Pereira-Match-Logs
"Evans, Jonny",NIR,DF,33.0,7.3,1.0,3.0,2.0,66.7,0.41,0.27,0.33,0.5,5.7,0.0,0.0,0.0,0.7,0.7,0.24,0.3,0.3,https://fbref.com/en/players/f8fcd2a5/matchlogs/2021-2022/summary/Jonny-Evans-Match-Logs
"Amartey, Daniel",GHA,DF,26.0,6.7,0.0,1.0,1.0,100.0,0.15,0.15,0.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,https://fbref.com/en/players/1a4ef233/matchlogs/2021-2022/summary/Daniel-Amartey-Match-Logs
"Thomas, Luke",ENG,DF,20.0,6.0,0.0,1.0,0.0,0.0,0.17,0.0,0.0,,16.1,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,https://fbref.com/en/players/fc027d02/matchlogs/2021-2022/summary/Luke-Thomas-Match-Logs
"Lookman, Ademola",ENG,"FW,MF",24.0,5.8,1.0,10.0,4.0,40.0,1.72,0.69,0.1,0.25,14.0,0.0,0.0,0.0,1.9,1.9,0.19,-0.9,-0.9,https://fbref.com/en/players/7c104bb7/matchlogs/2021-2022/summary/Ademola-Lookman-Match-Logs
"Iheanacho, Kelechi",NGA,"FW,MF",25.0,4.9,1.0,11.0,3.0,27.3,2.24,0.61,0.09,0.33,18.6,0.0,0.0,0.0,1.3,1.3,0.12,-0.3,-0.3,https://fbref.com/en/players/c92e1a31/matchlogs/2021-2022/summary/Kelechi-Iheanacho-Match-Logs
"Vestergaard, Jannik",DEN,DF,29.0,4.3,0.0,1.0,0.0,0.0,0.23,0.0,0.0,,4.1,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,https://fbref.com/en/players/1900032e/matchlogs/2021-2022/summary/Jannik-Vestergaard-Match-Logs
"Bertrand, Ryan",ENG,DF,32.0,3.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/01226327/matchlogs/2021-2022/summary/Ryan-Bertrand-Match-Logs
"Albrighton, Marc",ENG,"FW,MF",32.0,3.3,1.0,1.0,1.0,100.0,0.3,0.3,1.0,1.0,17.2,0.0,0.0,0.0,0.0,0.0,0.04,1.0,1.0,https://fbref.com/en/players/b827d5b3/matchlogs/2021-2022/summary/Marc-Albrighton-Match-Logs
"Pérez, Ayoze",ESP,"FW,MF",28.0,1.8,0.0,4.0,3.0,75.0,2.24,1.68,0.0,0.0,14.1,0.0,0.0,0.0,0.9,0.9,0.24,-0.9,-0.9,https://fbref.com/en/players/819aa8e7/matchlogs/2021-2022/summary/Ayoze-Perez-Match-Logs
"Choudhury, Hamza",ENG,MF,24.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/7d2d3329/matchlogs/2021-2022/summary/Hamza-Choudhury-Match-Logs
"Daka, Patson",ZAM,"FW,MF",23.0,1.4,1.0,6.0,4.0,66.7,4.39,2.93,0.17,0.25,12.3,0.0,0.0,0.0,0.9,0.9,0.15,0.1,0.1,https://fbref.com/en/players/ca45605e/matchlogs/2021-2022/summary/Patson-Daka-Match-Logs
"Dewsbury Hall, Kiernan",ENG,MF,23.0,0.9,0.0,2.0,0.0,0.0,2.17,0.0,0.0,,20.9,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,https://fbref.com/en/players/5c74c0f5/matchlogs/2021-2022/summary/Kiernan-Dewsbury-Hall-Match-Logs
