player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Schmeichel, Kasper",DEN,GK,35.0,14.0,14.0,"1,260",14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/53af52f3/matchlogs/2021-2022/summary/Kasper-Schmeichel-Match-Logs
"Söyüncü, Çağlar",TUR,DF,25.0,14.0,14.0,"1,237",13.7,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,1.2,1.2,0.1,1.3,0.09,0.0,0.09,0.09,0.09,https://fbref.com/en/players/21166ff4/matchlogs/2021-2022/summary/Caglar-Soyuncu-Match-Logs
"Vardy, Jamie",ENG,FW,34.0,14.0,14.0,"1,205",13.4,9.0,1.0,9.0,0.0,0.0,2.0,0.0,0.67,0.07,0.75,0.67,0.75,6.0,6.0,1.1,7.2,0.45,0.08,0.53,0.45,0.53,https://fbref.com/en/players/45963054/matchlogs/2021-2022/summary/Jamie-Vardy-Match-Logs
"Tielemans, Youri",BEL,MF,24.0,11.0,11.0,976,10.8,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.28,0.18,0.46,0.28,0.46,1.8,1.8,2.9,4.7,0.16,0.27,0.43,0.16,0.43,https://fbref.com/en/players/56f7a928/matchlogs/2021-2022/summary/Youri-Tielemans-Match-Logs
"Barnes, Harvey",ENG,"FW,MF",23.0,12.0,11.0,865,9.6,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.21,0.1,0.21,2.0,2.0,0.4,2.5,0.21,0.05,0.26,0.21,0.26,https://fbref.com/en/players/3ea50f67/matchlogs/2021-2022/summary/Harvey-Barnes-Match-Logs
"Ndidi, Wilfred",NGA,MF,24.0,10.0,10.0,900,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.07,0.0,0.07,0.07,0.07,https://fbref.com/en/players/6b47c5db/matchlogs/2021-2022/summary/Wilfred-Ndidi-Match-Logs
"Maddison, James",ENG,"MF,FW",25.0,14.0,10.0,827,9.2,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.33,0.22,0.54,0.33,0.54,2.5,2.5,1.6,4.0,0.27,0.17,0.44,0.27,0.44,https://fbref.com/en/players/ee38d9c5/matchlogs/2021-2022/summary/James-Maddison-Match-Logs
"Castagne, Timothy",BEL,DF,25.0,12.0,9.0,958,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,https://fbref.com/en/players/197640fd/matchlogs/2021-2022/summary/Timothy-Castagne-Match-Logs
"Soumaré, Boubakary",FRA,MF,22.0,12.0,9.0,774,8.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/ae59b359/matchlogs/2021-2022/summary/Boubakary-Soumare-Match-Logs
"Pereira, Ricardo",POR,DF,28.0,8.0,8.0,595,6.6,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.0,0.3,0.3,0.3,1.1,1.4,0.05,0.17,0.22,0.05,0.22,https://fbref.com/en/players/75a72a99/matchlogs/2021-2022/summary/Ricardo-Pereira-Match-Logs
"Evans, Jonny",NIR,DF,33.0,8.0,7.0,657,7.3,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.14,0.14,0.27,0.14,0.27,0.7,0.7,0.3,1.1,0.1,0.04,0.14,0.1,0.14,https://fbref.com/en/players/f8fcd2a5/matchlogs/2021-2022/summary/Jonny-Evans-Match-Logs
"Amartey, Daniel",GHA,DF,26.0,8.0,7.0,606,6.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,https://fbref.com/en/players/1a4ef233/matchlogs/2021-2022/summary/Daniel-Amartey-Match-Logs
"Thomas, Luke",ENG,DF,20.0,6.0,6.0,540,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.1,0.1,0.4,0.5,0.01,0.06,0.08,0.01,0.08,https://fbref.com/en/players/fc027d02/matchlogs/2021-2022/summary/Luke-Thomas-Match-Logs
