date,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession
2021-08-14,Premier League,1,Sat,Home,W,1.0,0.0,Wolves,0.8,1.1,57.0
2021-08-23,Premier League,2,Mon,Away,L,1.0,4.0,West Ham,0.8,2.5,47.0
2021-08-28,Premier League,3,Sat,Away,W,2.0,1.0,Norwich City,1.3,1.6,55.0
2021-09-11,Premier League,4,Sat,Home,L,0.0,1.0,Manchester City,0.8,2.9,39.0
2021-09-19,Premier League,5,Sun,Away,L,1.0,2.0,Brighton,1.7,1.4,63.0
2021-09-25,Premier League,6,Sat,Home,D,2.0,2.0,Burnley,2.6,0.7,66.0
2021-10-03,Premier League,7,Sun,Away,D,2.0,2.0,Crystal Palace,1.7,1.3,40.0
2021-10-16,Premier League,8,Sat,Home,W,4.0,2.0,Manchester Utd,3.1,1.4,49.0
2021-10-24,Premier League,9,Sun,Away,W,2.0,1.0,Brentford,1.5,1.2,45.0
2021-10-30,Premier League,10,Sat,Home,L,0.0,2.0,Arsenal,1.2,0.9,64.0
2021-11-07,Premier League,11,Sun,Away,D,1.0,1.0,Leeds United,1.1,1.2,43.0
2021-11-20,Premier League,12,Sat,Home,L,0.0,3.0,Chelsea,0.4,2.4,40.0
2021-11-28,Premier League,13,Sun,Home,W,4.0,2.0,Watford,2.2,2.7,56.0
2021-12-01,Premier League,14,Wed,Away,D,2.0,2.0,Southampton,1.5,1.6,56.0
