name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,bench_explain
Virgil van Dijk,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,
Virgil van Dijk,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,
Virgil van Dijk,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,CB,90.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,5.0,2.0,40.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,4.0,0.0,
Virgil van Dijk,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y*,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Virgil van Dijk,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,
Virgil van Dijk,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,CB,90.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,5.0,2.0,40.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,0.0,
Virgil van Dijk,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,
Virgil van Dijk,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,
Virgil van Dijk,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,
Virgil van Dijk,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,
Virgil van Dijk,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,CB,90.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,3.0,50.0,4.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,
Virgil van Dijk,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y*,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,
Virgil van Dijk,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,CB,90.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,
Virgil van Dijk,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,CB,90.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,2.0,66.7,0.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,
Mohamed Salah,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0,5.0,20.8,2.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,4.0,44.4,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,1.0,16.7,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Mohamed Salah,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RW,90.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,13.0,4.0,30.8,3.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,
Mohamed Salah,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,RW,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,15.0,2.0,13.3,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Mohamed Salah,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"RW,FW",90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,11.1,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,RW,90.0,3.0,1.0,2.0,0.0,1.0,2.0,4.0,50.0,2.0,33.0,12.0,36.4,9.0,7.0,17.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,
Mohamed Salah,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,6.0,46.2,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,"RW,FW",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18.0,8.0,44.4,1.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Mohamed Salah,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,2.0,18.2,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,3.0,30.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,4.0,23.5,2.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Mohamed Salah,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RW,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,13.0,3.0,23.1,2.0,3.0,8.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,
Sadio Mané,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,LW,90.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,19.0,5.0,26.3,4.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,
Sadio Mané,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,LW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,1.0,12.5,3.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,LW,90.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,,0.0,13.0,6.0,46.2,2.0,5.0,6.0,2.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,
Sadio Mané,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,LW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,2.0,25.0,1.0,4.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,"LW,FW",90.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,10.0,4.0,40.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
Sadio Mané,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"LW,LM",90.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,33.3,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,
Sadio Mané,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,LW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18.0,5.0,27.8,3.0,7.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
Sadio Mané,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,LW,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,50.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,
Sadio Mané,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,N,FW,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
