player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Dijk, Virgil",NED,DF,30.0,14.0,10.0,7.0,5.0,5.0,0.0,5.0,6.0,83.3,1.0,43.0,14.0,32.6,21.0,19.0,3.0,16.0,11.0,0.0,5.0,18.0,28.0,67.0,0.0,https://fbref.com/en/players/e06683ca/matchlogs/2021-2022/defense/Virgil-van-Dijk-Match-Logs
"Salah, Mohamed",EGY,FW,29.0,14.0,7.0,3.0,3.0,2.0,2.0,2.0,8.0,25.0,6.0,199.0,55.0,27.6,34.0,55.0,110.0,3.0,0.0,0.0,3.0,4.0,11.0,2.0,0.0,https://fbref.com/en/players/e342ad68/matchlogs/2021-2022/defense/Mohamed-Salah-Match-Logs
"Mané, Sadio",SEN,FW,29.0,13.2,12.0,4.0,1.0,6.0,5.0,0.0,7.0,0.0,7.0,160.0,48.0,30.0,22.0,69.0,69.0,15.0,0.0,0.0,15.0,6.0,18.0,6.0,0.0,https://fbref.com/en/players/c691bfe2/matchlogs/2021-2022/defense/Sadio-Mane-Match-Logs
Alisson,BRA,GK,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://fbref.com/en/players/7a2e46a8/matchlogs/2021-2022/defense/Alisson-Match-Logs
"Alexander-Arnold, Trent",ENG,DF,23.0,11.7,18.0,13.0,6.0,9.0,3.0,11.0,25.0,44.0,14.0,107.0,40.0,37.4,40.0,34.0,33.0,13.0,2.0,0.0,11.0,32.0,50.0,22.0,0.0,https://fbref.com/en/players/cd1acf9d/matchlogs/2021-2022/defense/Trent-Alexander-Arnold-Match-Logs
"Henderson, Jordan",ENG,MF,31.0,10.9,16.0,12.0,2.0,11.0,3.0,7.0,16.0,43.8,9.0,180.0,57.0,31.7,45.0,104.0,31.0,12.0,0.0,0.0,12.0,18.0,34.0,8.0,0.0,https://fbref.com/en/players/935e6b8f/matchlogs/2021-2022/defense/Jordan-Henderson-Match-Logs
"Jota, Diogo",POR,FW,24.0,10.2,13.0,6.0,5.0,5.0,3.0,4.0,16.0,25.0,12.0,202.0,48.0,23.8,42.0,83.0,77.0,8.0,3.0,0.0,5.0,6.0,19.0,4.0,0.0,https://fbref.com/en/players/178ae8f8/matchlogs/2021-2022/defense/Diogo-Jota-Match-Logs
"Matip, Joël",CMR,DF,30.0,10.0,8.0,7.0,3.0,5.0,0.0,3.0,7.0,42.9,4.0,67.0,29.0,43.3,38.0,24.0,5.0,15.0,8.0,1.0,7.0,15.0,23.0,45.0,0.0,https://fbref.com/en/players/b217ef29/matchlogs/2021-2022/defense/Joel-Matip-Match-Logs
"Robertson, Andrew",SCO,DF,27.0,9.6,13.0,6.0,3.0,6.0,4.0,5.0,10.0,50.0,5.0,107.0,27.0,25.2,22.0,49.0,36.0,17.0,3.0,1.0,14.0,20.0,33.0,26.0,0.0,https://fbref.com/en/players/2e4f5f03/matchlogs/2021-2022/defense/Andrew-Robertson-Match-Logs
Fabinho,BRA,MF,28.0,9.2,17.0,9.0,4.0,11.0,2.0,4.0,19.0,21.1,15.0,155.0,43.0,27.7,53.0,78.0,24.0,16.0,4.0,0.0,12.0,20.0,37.0,17.0,0.0,https://fbref.com/en/players/7f3b388c/matchlogs/2021-2022/defense/Fabinho-Match-Logs
"Alcántara, Thiago",ESP,MF,30.0,4.6,16.0,12.0,6.0,8.0,2.0,3.0,7.0,42.9,4.0,65.0,25.0,38.5,20.0,34.0,11.0,5.0,1.0,0.0,4.0,6.0,22.0,3.0,0.0,https://fbref.com/en/players/77e84962/matchlogs/2021-2022/defense/Thiago-Alcantara-Match-Logs
"Milner, James",ENG,"MF,DF",35.0,4.5,15.0,9.0,7.0,5.0,3.0,8.0,19.0,42.1,11.0,68.0,29.0,42.6,13.0,37.0,18.0,9.0,2.0,0.0,7.0,10.0,25.0,12.0,0.0,https://fbref.com/en/players/2f90f6b8/matchlogs/2021-2022/defense/James-Milner-Match-Logs
