name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,sca,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,bench_explain
Virgil van Dijk,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,CB,90.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y*,CB,90.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y*,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RW,90.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RW,90.0,6.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RW,90.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RW,90.0,9.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,RW,90.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Mohamed Salah,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"RW,FW",90.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,RW,90.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,
Mohamed Salah,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RW,90.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,
Mohamed Salah,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RW,90.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Mohamed Salah,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,"RW,FW",90.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RW,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RW,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RW,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Mohamed Salah,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RW,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,LW,90.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Sadio Mané,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,LW,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,LW,90.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Sadio Mané,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,LW,90.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,"LW,FW",90.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"LW,LM",90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,LW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,LW,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,N,FW,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,"LW,RW",90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,LW,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,LW,90.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Sadio Mané,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,LW,90.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Sadio Mané,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,LW,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alisson,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RB,90.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RB,90.0,10.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RB,90.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RB,90.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,RB,90.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RB,64.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RB,90.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,RB,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RB,90.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RB,90.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RB,90.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
Trent Alexander-Arnold,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RB,90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y*,DM,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y*,CM,73.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,N,CM,28.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y*,CM,87.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y*,"CM,DM",90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y*,CM,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y*,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y*,DM,90.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Jordan Henderson,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y*,DM,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
