player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,matches
"Dijk, Virgil",NED,DF,30.0,14.0,9.0,0.64,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e06683ca/matchlogs/2021-2022/gca/Virgil-van-Dijk-Match-Logs
"Salah, Mohamed",EGY,FW,29.0,14.0,57.0,4.07,41.0,0.0,8.0,7.0,1.0,0.0,17.0,1.21,10.0,0.0,5.0,2.0,0.0,0.0,https://fbref.com/en/players/e342ad68/matchlogs/2021-2022/gca/Mohamed-Salah-Match-Logs
"Mané, Sadio",SEN,FW,29.0,13.2,38.0,2.89,30.0,0.0,0.0,6.0,2.0,0.0,7.0,0.53,4.0,0.0,0.0,3.0,0.0,0.0,https://fbref.com/en/players/c691bfe2/matchlogs/2021-2022/gca/Sadio-Mane-Match-Logs
Alisson,BRA,GK,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7a2e46a8/matchlogs/2021-2022/gca/Alisson-Match-Logs
"Alexander-Arnold, Trent",ENG,DF,23.0,11.7,60.0,5.12,35.0,22.0,1.0,2.0,0.0,0.0,9.0,0.77,6.0,3.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/cd1acf9d/matchlogs/2021-2022/gca/Trent-Alexander-Arnold-Match-Logs
"Henderson, Jordan",ENG,MF,31.0,10.9,36.0,3.3,32.0,2.0,2.0,0.0,0.0,0.0,5.0,0.46,5.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/935e6b8f/matchlogs/2021-2022/gca/Jordan-Henderson-Match-Logs
"Jota, Diogo",POR,FW,24.0,10.2,42.0,4.1,28.0,0.0,9.0,0.0,4.0,1.0,5.0,0.49,2.0,0.0,3.0,0.0,0.0,0.0,https://fbref.com/en/players/178ae8f8/matchlogs/2021-2022/gca/Diogo-Jota-Match-Logs
"Matip, Joël",CMR,DF,30.0,10.0,12.0,1.2,9.0,0.0,0.0,2.0,1.0,0.0,3.0,0.3,2.0,0.0,0.0,0.0,1.0,0.0,https://fbref.com/en/players/b217ef29/matchlogs/2021-2022/gca/Joel-Matip-Match-Logs
"Robertson, Andrew",SCO,DF,27.0,9.6,31.0,3.21,23.0,4.0,1.0,0.0,2.0,1.0,5.0,0.52,5.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2e4f5f03/matchlogs/2021-2022/gca/Andrew-Robertson-Match-Logs
Fabinho,BRA,MF,28.0,9.2,13.0,1.41,9.0,0.0,0.0,2.0,2.0,0.0,2.0,0.22,1.0,0.0,0.0,1.0,0.0,0.0,https://fbref.com/en/players/7f3b388c/matchlogs/2021-2022/gca/Fabinho-Match-Logs
"Alcántara, Thiago",ESP,MF,30.0,4.6,18.0,3.9,15.0,0.0,0.0,2.0,0.0,1.0,2.0,0.43,2.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/77e84962/matchlogs/2021-2022/gca/Thiago-Alcantara-Match-Logs
