player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Dijk, Virgil",NED,DF,30.0,14.0,909.0,986.0,92.2,20336.0,6604.0,239.0,247.0,96.8,497.0,509.0,97.6,164.0,219.0,74.9,1.0,0.1,0.9,3.0,64.0,1.0,0.0,37.0,https://fbref.com/en/players/e06683ca/matchlogs/2021-2022/passing/Virgil-van-Dijk-Match-Logs
"Salah, Mohamed",EGY,FW,29.0,14.0,390.0,492.0,79.3,5479.0,1631.0,248.0,285.0,87.0,118.0,144.0,81.9,15.0,36.0,41.7,8.0,5.8,2.2,27.0,13.0,28.0,3.0,60.0,https://fbref.com/en/players/e342ad68/matchlogs/2021-2022/passing/Mohamed-Salah-Match-Logs
"Mané, Sadio",SEN,FW,29.0,13.2,307.0,431.0,71.2,4658.0,950.0,185.0,220.0,84.1,87.0,138.0,63.0,26.0,40.0,65.0,1.0,2.1,-1.1,12.0,21.0,19.0,2.0,34.0,https://fbref.com/en/players/c691bfe2/matchlogs/2021-2022/passing/Sadio-Mane-Match-Logs
Alisson,BRA,GK,29.0,13.0,449.0,505.0,88.9,11694.0,6273.0,82.0,82.0,100.0,254.0,256.0,99.2,112.0,166.0,67.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,https://fbref.com/en/players/7a2e46a8/matchlogs/2021-2022/passing/Alisson-Match-Logs
"Alexander-Arnold, Trent",ENG,DF,23.0,11.7,780.0,1011.0,77.2,16554.0,6559.0,310.0,345.0,89.9,298.0,353.0,84.4,163.0,288.0,56.6,7.0,5.3,1.7,37.0,74.0,27.0,6.0,97.0,https://fbref.com/en/players/cd1acf9d/matchlogs/2021-2022/passing/Trent-Alexander-Arnold-Match-Logs
"Henderson, Jordan",ENG,MF,31.0,10.9,747.0,875.0,85.4,14619.0,3543.0,289.0,315.0,91.7,337.0,384.0,87.8,111.0,150.0,74.0,3.0,2.2,0.8,21.0,74.0,20.0,5.0,67.0,https://fbref.com/en/players/935e6b8f/matchlogs/2021-2022/passing/Jordan-Henderson-Match-Logs
"Jota, Diogo",POR,FW,24.0,10.2,226.0,293.0,77.1,3640.0,982.0,112.0,138.0,81.2,90.0,111.0,81.1,16.0,25.0,64.0,1.0,3.1,-2.1,20.0,22.0,11.0,2.0,28.0,https://fbref.com/en/players/178ae8f8/matchlogs/2021-2022/passing/Diogo-Jota-Match-Logs
"Matip, Joël",CMR,DF,30.0,10.0,649.0,709.0,91.5,14254.0,4085.0,154.0,165.0,93.3,374.0,394.0,94.9,120.0,144.0,83.3,0.0,0.1,-0.1,2.0,51.0,1.0,0.0,46.0,https://fbref.com/en/players/b217ef29/matchlogs/2021-2022/passing/Joel-Matip-Match-Logs
"Robertson, Andrew",SCO,DF,27.0,9.6,604.0,750.0,80.5,10520.0,3775.0,292.0,321.0,91.0,259.0,305.0,84.9,50.0,103.0,48.5,4.0,2.5,1.5,19.0,43.0,12.0,4.0,60.0,https://fbref.com/en/players/2e4f5f03/matchlogs/2021-2022/passing/Andrew-Robertson-Match-Logs
Fabinho,BRA,MF,28.0,9.2,483.0,544.0,88.8,9012.0,2071.0,191.0,202.0,94.6,218.0,239.0,91.2,62.0,81.0,76.5,1.0,0.5,0.5,5.0,54.0,4.0,0.0,38.0,https://fbref.com/en/players/7f3b388c/matchlogs/2021-2022/passing/Fabinho-Match-Logs
