name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Virgil van Dijk,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,CB,90.0,92.0,7.0,40.0,55.0,2.0,2.0,91.0,0.0,0.0,,0.0,0.0,66.0,237.0,129.0,4.0,0.0,0.0,0.0,0.0,77.0,75.0,97.4,0.0,
Virgil van Dijk,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,CB,90.0,57.0,9.0,44.0,11.0,4.0,4.0,53.0,0.0,0.0,,0.0,0.0,29.0,128.0,45.0,1.0,0.0,0.0,0.0,0.0,34.0,33.0,97.1,0.0,
Virgil van Dijk,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,CB,90.0,87.0,8.0,29.0,57.0,6.0,2.0,86.0,0.0,0.0,,0.0,0.0,49.0,225.0,115.0,5.0,2.0,0.0,0.0,0.0,53.0,52.0,98.1,0.0,
Virgil van Dijk,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y*,CB,90.0,63.0,7.0,34.0,30.0,3.0,2.0,62.0,0.0,0.0,,0.0,0.0,39.0,233.0,152.0,3.0,0.0,0.0,0.0,0.0,51.0,51.0,100.0,0.0,
Virgil van Dijk,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,CB,90.0,70.0,12.0,39.0,29.0,4.0,4.0,68.0,0.0,0.0,,0.0,0.0,31.0,162.0,100.0,3.0,0.0,0.0,1.0,0.0,50.0,50.0,100.0,2.0,
Virgil van Dijk,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,CB,90.0,59.0,7.0,19.0,40.0,1.0,1.0,57.0,0.0,0.0,,0.0,0.0,32.0,79.0,32.0,2.0,0.0,0.0,0.0,0.0,39.0,36.0,92.3,0.0,
Virgil van Dijk,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,CB,90.0,87.0,15.0,53.0,38.0,1.0,1.0,86.0,0.0,0.0,,0.0,0.0,53.0,262.0,156.0,2.0,0.0,0.0,0.0,1.0,73.0,73.0,100.0,0.0,
Virgil van Dijk,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,CB,90.0,100.0,11.0,45.0,61.0,2.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,69.0,283.0,177.0,5.0,1.0,0.0,0.0,0.0,78.0,74.0,94.9,0.0,
Virgil van Dijk,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,CB,90.0,74.0,8.0,29.0,46.0,0.0,0.0,71.0,0.0,0.0,,0.0,0.0,46.0,147.0,49.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,100.0,0.0,
Virgil van Dijk,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,CB,90.0,85.0,7.0,43.0,46.0,1.0,0.0,83.0,0.0,0.0,,0.0,0.0,57.0,169.0,100.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,100.0,0.0,
Virgil van Dijk,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,CB,90.0,79.0,11.0,30.0,51.0,1.0,1.0,75.0,0.0,0.0,,0.0,0.0,52.0,267.0,175.0,5.0,0.0,0.0,1.0,0.0,57.0,55.0,96.5,0.0,
Virgil van Dijk,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y*,CB,90.0,112.0,21.0,67.0,48.0,2.0,2.0,105.0,0.0,0.0,,0.0,0.0,83.0,272.0,105.0,1.0,0.0,0.0,0.0,0.0,88.0,88.0,100.0,0.0,
Virgil van Dijk,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,CB,90.0,78.0,14.0,52.0,26.0,2.0,1.0,73.0,0.0,0.0,,0.0,0.0,37.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,45.0,44.0,97.8,0.0,
Virgil van Dijk,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,CB,90.0,75.0,11.0,48.0,27.0,2.0,0.0,69.0,0.0,0.0,,0.0,0.0,40.0,164.0,59.0,1.0,0.0,0.0,0.0,0.0,47.0,44.0,93.6,0.0,
Mohamed Salah,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,RW,90.0,36.0,0.0,1.0,10.0,25.0,14.0,35.0,3.0,5.0,60.0,4.0,0.0,26.0,71.0,48.0,7.0,0.0,1.0,4.0,1.0,47.0,26.0,55.3,8.0,
Mohamed Salah,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,RW,90.0,43.0,0.0,2.0,7.0,34.0,11.0,43.0,3.0,6.0,50.0,3.0,1.0,33.0,149.0,116.0,7.0,0.0,4.0,3.0,0.0,56.0,34.0,60.7,13.0,
Mohamed Salah,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,RW,90.0,54.0,0.0,1.0,9.0,48.0,7.0,53.0,2.0,2.0,100.0,2.0,0.0,46.0,187.0,97.0,8.0,2.0,1.0,2.0,5.0,72.0,46.0,63.9,13.0,
Mohamed Salah,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y,RW,90.0,49.0,0.0,4.0,21.0,27.0,8.0,49.0,0.0,4.0,0.0,0.0,0.0,35.0,195.0,134.0,5.0,1.0,3.0,3.0,0.0,48.0,35.0,72.9,7.0,
Mohamed Salah,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,RW,90.0,61.0,1.0,4.0,18.0,44.0,9.0,60.0,1.0,5.0,20.0,1.0,0.0,45.0,132.0,61.0,5.0,1.0,0.0,3.0,6.0,64.0,50.0,78.1,8.0,
Mohamed Salah,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"RW,FW",90.0,46.0,0.0,1.0,15.0,36.0,8.0,44.0,2.0,2.0,100.0,2.0,0.0,40.0,169.0,62.0,3.0,0.0,1.0,3.0,2.0,64.0,39.0,60.9,12.0,
Mohamed Salah,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,RW,90.0,42.0,1.0,7.0,10.0,28.0,5.0,41.0,4.0,6.0,66.7,5.0,0.0,28.0,190.0,142.0,7.0,3.0,0.0,6.0,2.0,52.0,31.0,59.6,7.0,
Mohamed Salah,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RW,90.0,63.0,0.0,0.0,31.0,38.0,10.0,63.0,4.0,6.0,66.7,5.0,0.0,55.0,201.0,112.0,10.0,2.0,5.0,2.0,4.0,85.0,61.0,71.8,23.0,
Mohamed Salah,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RW,90.0,59.0,0.0,2.0,35.0,25.0,6.0,59.0,0.0,1.0,0.0,0.0,0.0,26.0,158.0,108.0,7.0,2.0,2.0,0.0,1.0,72.0,55.0,76.4,7.0,
Mohamed Salah,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,"RW,FW",90.0,38.0,0.0,4.0,14.0,20.0,9.0,38.0,2.0,3.0,66.7,2.0,0.0,29.0,151.0,124.0,7.0,0.0,6.0,3.0,1.0,56.0,33.0,58.9,12.0,
Mohamed Salah,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RW,90.0,44.0,0.0,0.0,15.0,31.0,10.0,44.0,2.0,6.0,33.3,3.0,0.0,31.0,130.0,62.0,5.0,0.0,1.0,2.0,1.0,57.0,35.0,61.4,11.0,
Mohamed Salah,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RW,90.0,47.0,0.0,1.0,15.0,34.0,14.0,47.0,1.0,4.0,25.0,1.0,0.0,39.0,167.0,119.0,7.0,2.0,2.0,2.0,5.0,63.0,42.0,66.7,10.0,
Mohamed Salah,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RW,90.0,47.0,0.0,2.0,21.0,28.0,12.0,47.0,1.0,4.0,25.0,1.0,0.0,40.0,183.0,149.0,9.0,2.0,5.0,3.0,1.0,65.0,40.0,61.5,12.0,
Mohamed Salah,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RW,90.0,53.0,0.0,1.0,23.0,34.0,8.0,53.0,0.0,3.0,0.0,1.0,0.0,32.0,185.0,141.0,9.0,4.0,2.0,1.0,1.0,75.0,45.0,60.0,14.0,
Sadio Mané,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,LW,90.0,44.0,1.0,2.0,18.0,26.0,9.0,44.0,1.0,2.0,50.0,1.0,0.0,32.0,183.0,91.0,7.0,1.0,2.0,5.0,0.0,55.0,39.0,70.9,9.0,
Sadio Mané,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,LW,90.0,39.0,0.0,4.0,18.0,21.0,11.0,38.0,1.0,3.0,33.3,1.0,0.0,21.0,149.0,88.0,4.0,2.0,2.0,1.0,2.0,44.0,30.0,68.2,13.0,
