player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Dijk, Virgil",NED,DF,30.0,14.0,1118.0,148.0,572.0,565.0,31.0,20.0,1076.0,0.0,1.0,0.0,0.0,0.0,683.0,2681.0,1419.0,32.0,3.0,0.0,2.0,1.0,813.0,796.0,97.9,2.0,https://fbref.com/en/players/e06683ca/matchlogs/2021-2022/possession/Virgil-van-Dijk-Match-Logs
"Salah, Mohamed",EGY,FW,29.0,14.0,682.0,2.0,30.0,244.0,452.0,131.0,676.0,25.0,57.0,43.9,30.0,1.0,505.0,2268.0,1475.0,96.0,19.0,33.0,37.0,30.0,876.0,572.0,65.3,157.0,https://fbref.com/en/players/e342ad68/matchlogs/2021-2022/possession/Mohamed-Salah-Match-Logs
"Mané, Sadio",SEN,FW,29.0,13.2,630.0,9.0,54.0,270.0,353.0,103.0,625.0,20.0,39.0,51.3,20.0,2.0,474.0,2749.0,1463.0,86.0,22.0,24.0,43.0,27.0,765.0,511.0,66.8,148.0,https://fbref.com/en/players/c691bfe2/matchlogs/2021-2022/possession/Sadio-Mane-Match-Logs
Alisson,BRA,GK,29.0,13.0,552.0,442.0,547.0,5.0,0.0,0.0,464.0,1.0,1.0,100.0,1.0,0.0,318.0,1098.0,600.0,0.0,0.0,0.0,0.0,0.0,304.0,303.0,99.7,0.0,https://fbref.com/en/players/7a2e46a8/matchlogs/2021-2022/possession/Alisson-Match-Logs
"Alexander-Arnold, Trent",ENG,DF,23.0,11.7,1126.0,28.0,245.0,544.0,383.0,29.0,929.0,9.0,16.0,56.3,9.0,0.0,649.0,2454.0,1373.0,63.0,23.0,5.0,6.0,8.0,755.0,712.0,94.3,40.0,https://fbref.com/en/players/cd1acf9d/matchlogs/2021-2022/possession/Trent-Alexander-Arnold-Match-Logs
"Henderson, Jordan",ENG,MF,31.0,10.9,959.0,18.0,133.0,624.0,261.0,19.0,928.0,7.0,13.0,53.8,7.0,2.0,642.0,2886.0,1287.0,48.0,22.0,3.0,7.0,6.0,797.0,741.0,93.0,42.0,https://fbref.com/en/players/935e6b8f/matchlogs/2021-2022/possession/Jordan-Henderson-Match-Logs
"Jota, Diogo",POR,FW,24.0,10.2,432.0,10.0,42.0,202.0,212.0,62.0,429.0,17.0,29.0,58.6,19.0,2.0,301.0,1416.0,950.0,47.0,15.0,6.0,24.0,21.0,514.0,331.0,64.4,77.0,https://fbref.com/en/players/178ae8f8/matchlogs/2021-2022/possession/Diogo-Jota-Match-Logs
"Matip, Joël",CMR,DF,30.0,10.0,805.0,96.0,350.0,477.0,46.0,15.0,792.0,2.0,2.0,100.0,2.0,0.0,518.0,3145.0,2035.0,75.0,20.0,1.0,3.0,0.0,607.0,592.0,97.5,3.0,https://fbref.com/en/players/b217ef29/matchlogs/2021-2022/possession/Joel-Matip-Match-Logs
"Robertson, Andrew",SCO,DF,27.0,9.6,837.0,36.0,188.0,405.0,291.0,29.0,729.0,5.0,10.0,50.0,5.0,1.0,521.0,2391.0,1503.0,67.0,23.0,5.0,4.0,8.0,624.0,564.0,90.4,36.0,https://fbref.com/en/players/2e4f5f03/matchlogs/2021-2022/possession/Andrew-Robertson-Match-Logs
Fabinho,BRA,MF,28.0,9.2,637.0,23.0,142.0,412.0,112.0,8.0,629.0,3.0,4.0,75.0,3.0,0.0,408.0,1823.0,837.0,43.0,8.0,2.0,10.0,5.0,444.0,435.0,98.0,10.0,https://fbref.com/en/players/7f3b388c/matchlogs/2021-2022/possession/Fabinho-Match-Logs
"Alcántara, Thiago",ESP,MF,30.0,4.6,419.0,13.0,95.0,264.0,85.0,9.0,413.0,0.0,1.0,0.0,0.0,0.0,300.0,1361.0,732.0,40.0,10.0,4.0,4.0,1.0,320.0,306.0,95.6,9.0,https://fbref.com/en/players/77e84962/matchlogs/2021-2022/possession/Thiago-Alcantara-Match-Logs
"Milner, James",ENG,"MF,DF",35.0,4.5,394.0,23.0,106.0,187.0,115.0,6.0,357.0,2.0,3.0,66.7,2.0,0.0,230.0,889.0,481.0,20.0,7.0,0.0,2.0,2.0,273.0,251.0,91.9,12.0,https://fbref.com/en/players/2f90f6b8/matchlogs/2021-2022/possession/James-Milner-Match-Logs
"Keïta, Naby",GUI,MF,26.0,4.0,261.0,4.0,38.0,172.0,66.0,10.0,257.0,1.0,2.0,50.0,1.0,0.0,176.0,956.0,607.0,26.0,6.0,5.0,3.0,3.0,209.0,186.0,89.0,13.0,https://fbref.com/en/players/f25c8e3a/matchlogs/2021-2022/possession/Naby-Keita-Match-Logs
"Tsimikas, Kostas",GRE,DF,25.0,4.3,308.0,18.0,81.0,124.0,125.0,11.0,257.0,2.0,6.0,33.3,2.0,1.0,180.0,921.0,472.0,29.0,13.0,2.0,2.0,6.0,190.0,171.0,90.0,25.0,https://fbref.com/en/players/f315ca93/matchlogs/2021-2022/possession/Kostas-Tsimikas-Match-Logs
"Firmino, Roberto",BRA,FW,30.0,4.1,233.0,1.0,16.0,121.0,113.0,26.0,225.0,5.0,13.0,38.5,6.0,1.0,158.0,641.0,328.0,23.0,9.0,2.0,7.0,11.0,249.0,176.0,70.7,49.0,https://fbref.com/en/players/4c370d81/matchlogs/2021-2022/possession/Roberto-Firmino-Match-Logs
"Konaté, Ibrahima",FRA,DF,22.0,4.0,269.0,29.0,128.0,147.0,5.0,2.0,265.0,0.0,0.0,,0.0,0.0,161.0,621.0,354.0,6.0,0.0,0.0,2.0,0.0,179.0,173.0,96.6,2.0,https://fbref.com/en/players/5ed9b537/matchlogs/2021-2022/possession/Ibrahima-Konate-Match-Logs
"Oxlade-Chamberlain, Alex",ENG,MF,28.0,4.2,264.0,5.0,32.0,148.0,112.0,10.0,262.0,7.0,10.0,70.0,9.0,0.0,196.0,1187.0,717.0,37.0,21.0,4.0,3.0,10.0,221.0,196.0,88.7,13.0,https://fbref.com/en/players/38c7feef/matchlogs/2021-2022/possession/Alex-Oxlade-Chamberlain-Match-Logs
"Jones, Curtis",ENG,MF,20.0,3.6,258.0,4.0,38.0,173.0,65.0,7.0,256.0,2.0,2.0,100.0,2.0,0.0,195.0,1020.0,502.0,30.0,8.0,2.0,5.0,9.0,231.0,216.0,93.5,12.0,https://fbref.com/en/players/4fb9c88f/matchlogs/2021-2022/possession/Curtis-Jones-Match-Logs
"Elliott, Harvey",ENG,MF,18.0,2.8,223.0,1.0,18.0,108.0,113.0,17.0,216.0,2.0,7.0,28.6,2.0,0.0,164.0,742.0,429.0,25.0,10.0,2.0,5.0,1.0,183.0,169.0,92.3,18.0,https://fbref.com/en/players/c8387671/matchlogs/2021-2022/possession/Harvey-Elliott-Match-Logs
