name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,bench_explain
Virgil van Dijk,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,79.0,85.0,92.9,5.0,66.0,4.0,0.0,0.0,
Virgil van Dijk,2021-08-21,Sat,2,Home,W 2–0,Liverpool,Burnley,Y,CB,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,57.0,6.0,0.0,1.0,1.0,0.5,0.5,0.0,2.0,0.0,34.0,40.0,85.0,1.0,29.0,1.0,0.0,0.0,
Virgil van Dijk,2021-08-28,Sat,3,Home,D 1–1,Liverpool,Chelsea,Y,CB,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,87.0,5.0,3.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,68.0,73.0,93.2,4.0,49.0,5.0,0.0,0.0,
Virgil van Dijk,2021-09-12,Sun,4,Away,W 3–0,Liverpool,Leeds United,Y*,CB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.0,4.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,52.0,56.0,92.9,4.0,39.0,3.0,0.0,0.0,
Virgil van Dijk,2021-09-18,Sat,5,Home,W 3–0,Liverpool,Crystal Palace,Y,CB,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,2.0,0.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,53.0,57.0,93.0,3.0,31.0,3.0,0.0,0.0,
Virgil van Dijk,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,45.0,93.3,3.0,32.0,2.0,0.0,0.0,
Virgil van Dijk,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,81.0,90.1,2.0,53.0,2.0,0.0,0.0,
Virgil van Dijk,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,94.0,93.6,6.0,69.0,5.0,0.0,1.0,
Virgil van Dijk,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,68.0,97.1,0.0,46.0,0.0,0.0,0.0,
Virgil van Dijk,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,74.0,79.0,93.7,1.0,57.0,0.0,0.0,0.0,
Virgil van Dijk,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,CB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,65.0,70.0,92.9,4.0,52.0,5.0,0.0,0.0,
Virgil van Dijk,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y*,CB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,112.0,2.0,0.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,92.0,104.0,88.5,1.0,83.0,1.0,0.0,0.0,
