player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
"Dijk, Virgil",NED,DF,30.0,14.0,1.0,16.0,2.0,12.5,1.14,0.14,0.06,0.5,13.0,1.0,0.0,0.0,1.3,1.3,0.08,-0.3,-0.3,https://fbref.com/en/players/e06683ca/matchlogs/2021-2022/summary/Virgil-van-Dijk-Match-Logs
"Salah, Mohamed",EGY,FW,29.0,14.0,13.0,56.0,25.0,44.6,4.0,1.79,0.21,0.48,14.9,1.0,1.0,1.0,8.6,7.9,0.14,4.4,4.1,https://fbref.com/en/players/e342ad68/matchlogs/2021-2022/summary/Mohamed-Salah-Match-Logs
"Mané, Sadio",SEN,FW,29.0,13.2,7.0,46.0,16.0,34.8,3.5,1.22,0.15,0.44,12.5,0.0,0.0,0.0,7.8,7.8,0.17,-0.8,-0.8,https://fbref.com/en/players/c691bfe2/matchlogs/2021-2022/summary/Sadio-Mane-Match-Logs
Alisson,BRA,GK,29.0,13.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://fbref.com/en/players/7a2e46a8/matchlogs/2021-2022/summary/Alisson-Match-Logs
"Alexander-Arnold, Trent",ENG,DF,23.0,11.7,1.0,21.0,7.0,33.3,1.79,0.6,0.05,0.14,22.5,3.0,0.0,0.0,1.3,1.3,0.06,-0.3,-0.3,https://fbref.com/en/players/cd1acf9d/matchlogs/2021-2022/summary/Trent-Alexander-Arnold-Match-Logs
"Henderson, Jordan",ENG,MF,31.0,10.9,2.0,13.0,4.0,30.8,1.19,0.37,0.15,0.5,23.9,0.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,https://fbref.com/en/players/935e6b8f/matchlogs/2021-2022/summary/Jordan-Henderson-Match-Logs
"Jota, Diogo",POR,FW,24.0,10.2,8.0,33.0,14.0,42.4,3.22,1.37,0.24,0.57,10.8,0.0,0.0,0.0,7.6,7.6,0.23,0.4,0.4,https://fbref.com/en/players/178ae8f8/matchlogs/2021-2022/summary/Diogo-Jota-Match-Logs
"Matip, Joël",CMR,DF,30.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,,7.6,0.0,0.0,0.0,1.0,1.0,0.1,-1.0,-1.0,https://fbref.com/en/players/b217ef29/matchlogs/2021-2022/summary/Joel-Matip-Match-Logs
"Robertson, Andrew",SCO,DF,27.0,9.6,0.0,2.0,1.0,50.0,0.21,0.1,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,https://fbref.com/en/players/2e4f5f03/matchlogs/2021-2022/summary/Andrew-Robertson-Match-Logs
Fabinho,BRA,MF,28.0,9.2,1.0,8.0,2.0,25.0,0.87,0.22,0.13,0.5,16.3,0.0,0.0,0.0,0.8,0.8,0.1,0.2,0.2,https://fbref.com/en/players/7f3b388c/matchlogs/2021-2022/summary/Fabinho-Match-Logs
"Alcántara, Thiago",ESP,MF,30.0,4.6,1.0,11.0,4.0,36.4,2.39,0.87,0.09,0.25,17.8,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,https://fbref.com/en/players/77e84962/matchlogs/2021-2022/summary/Thiago-Alcantara-Match-Logs
"Milner, James",ENG,"MF,DF",35.0,4.5,0.0,3.0,0.0,0.0,0.67,0.0,0.0,,19.4,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,https://fbref.com/en/players/2f90f6b8/matchlogs/2021-2022/summary/James-Milner-Match-Logs
