player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Dijk, Virgil",NED,DF,30.0,14.0,14.0,"1,260",14.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.14,0.07,0.14,1.3,1.3,0.1,1.3,0.09,0.01,0.1,0.09,0.1,https://fbref.com/en/players/e06683ca/matchlogs/2021-2022/summary/Virgil-van-Dijk-Match-Logs
"Salah, Mohamed",EGY,FW,29.0,14.0,14.0,"1,260",14.0,13.0,8.0,12.0,1.0,1.0,1.0,0.0,0.93,0.57,1.5,0.86,1.43,8.6,7.9,5.8,13.7,0.62,0.41,1.03,0.56,0.98,https://fbref.com/en/players/e342ad68/matchlogs/2021-2022/summary/Mohamed-Salah-Match-Logs
"Mané, Sadio",SEN,FW,29.0,14.0,13.0,"1,184",13.2,7.0,1.0,7.0,0.0,0.0,1.0,0.0,0.53,0.08,0.61,0.53,0.61,7.8,7.8,2.1,9.9,0.59,0.16,0.75,0.59,0.75,https://fbref.com/en/players/c691bfe2/matchlogs/2021-2022/summary/Sadio-Mane-Match-Logs
Alisson,BRA,GK,29.0,13.0,13.0,"1,170",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7a2e46a8/matchlogs/2021-2022/summary/Alisson-Match-Logs
"Alexander-Arnold, Trent",ENG,DF,23.0,12.0,12.0,"1,054",11.7,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.09,0.6,0.68,0.09,0.68,1.3,1.3,5.3,6.6,0.11,0.45,0.56,0.11,0.56,https://fbref.com/en/players/cd1acf9d/matchlogs/2021-2022/summary/Trent-Alexander-Arnold-Match-Logs
"Henderson, Jordan",ENG,MF,31.0,13.0,11.0,981,10.9,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.18,0.28,0.46,0.18,0.46,0.8,0.8,2.2,3.0,0.08,0.2,0.28,0.08,0.28,https://fbref.com/en/players/935e6b8f/matchlogs/2021-2022/summary/Jordan-Henderson-Match-Logs
"Jota, Diogo",POR,FW,24.0,13.0,11.0,921,10.2,8.0,1.0,8.0,0.0,0.0,1.0,0.0,0.78,0.1,0.88,0.78,0.88,7.6,7.6,3.1,10.6,0.74,0.3,1.04,0.74,1.04,https://fbref.com/en/players/178ae8f8/matchlogs/2021-2022/summary/Diogo-Jota-Match-Logs
"Matip, Joël",CMR,DF,30.0,10.0,10.0,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,0.1,0.01,0.11,0.1,0.11,https://fbref.com/en/players/b217ef29/matchlogs/2021-2022/summary/Joel-Matip-Match-Logs
"Robertson, Andrew",SCO,DF,27.0,10.0,10.0,868,9.6,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.41,0.41,0.0,0.41,0.1,0.1,2.5,2.6,0.01,0.26,0.27,0.01,0.27,https://fbref.com/en/players/2e4f5f03/matchlogs/2021-2022/summary/Andrew-Robertson-Match-Logs
Fabinho,BRA,MF,28.0,10.0,9.0,829,9.2,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.11,0.11,0.22,0.11,0.22,0.8,0.8,0.5,1.3,0.09,0.05,0.14,0.09,0.14,https://fbref.com/en/players/7f3b388c/matchlogs/2021-2022/summary/Fabinho-Match-Logs
"Alcántara, Thiago",ESP,MF,30.0,8.0,5.0,415,4.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.22,0.22,0.43,0.22,0.43,0.8,0.8,0.8,1.5,0.17,0.16,0.33,0.17,0.33,https://fbref.com/en/players/77e84962/matchlogs/2021-2022/summary/Thiago-Alcantara-Match-Logs
"Milner, James",ENG,"MF,DF",35.0,7.0,5.0,405,4.5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.22,0.22,0.0,0.22,0.1,0.1,1.3,1.4,0.03,0.28,0.31,0.03,0.31,https://fbref.com/en/players/2f90f6b8/matchlogs/2021-2022/summary/James-Milner-Match-Logs
"Keïta, Naby",GUI,MF,26.0,7.0,5.0,362,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,0.5,0.75,0.8,0.8,0.8,1.7,0.21,0.21,0.42,0.21,0.42,https://fbref.com/en/players/f25c8e3a/matchlogs/2021-2022/summary/Naby-Keita-Match-Logs
"Tsimikas, Kostas",GRE,DF,25.0,6.0,4.0,391,4.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23,0.23,0.0,0.23,0.1,0.1,1.2,1.3,0.03,0.27,0.31,0.03,0.31,https://fbref.com/en/players/f315ca93/matchlogs/2021-2022/summary/Kostas-Tsimikas-Match-Logs
"Firmino, Roberto",BRA,FW,30.0,8.0,4.0,371,4.1,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.97,0.24,1.21,0.97,1.21,3.9,3.9,0.8,4.7,0.96,0.19,1.15,0.96,1.15,https://fbref.com/en/players/4c370d81/matchlogs/2021-2022/summary/Roberto-Firmino-Match-Logs
"Konaté, Ibrahima",FRA,DF,22.0,4.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.03,0.03,0.0,0.03,https://fbref.com/en/players/5ed9b537/matchlogs/2021-2022/summary/Ibrahima-Konate-Match-Logs
"Oxlade-Chamberlain, Alex",ENG,MF,28.0,9.0,3.0,377,4.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,0.4,0.4,0.4,0.8,0.1,0.09,0.19,0.1,0.19,https://fbref.com/en/players/38c7feef/matchlogs/2021-2022/summary/Alex-Oxlade-Chamberlain-Match-Logs
"Jones, Curtis",ENG,MF,20.0,5.0,3.0,322,3.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28,0.28,0.56,0.28,0.56,0.4,0.4,0.2,0.6,0.12,0.04,0.17,0.12,0.17,https://fbref.com/en/players/4fb9c88f/matchlogs/2021-2022/summary/Curtis-Jones-Match-Logs
"Elliott, Harvey",ENG,MF,18.0,4.0,3.0,250,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,0.25,0.11,0.36,0.25,0.36,https://fbref.com/en/players/c8387671/matchlogs/2021-2022/summary/Harvey-Elliott-Match-Logs
"Kelleher, Caoimhín",IRL,GK,23.0,1.0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/62d7ef38/matchlogs/2021-2022/summary/Caoimhin-Kelleher-Match-Logs
"Minamino, Takumi",JPN,"FW,MF",26.0,5.0,0.0,43,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.09,0.0,2.09,2.09,2.09,0.8,0.8,0.0,0.8,1.68,0.0,1.68,1.68,1.68,https://fbref.com/en/players/f833a830/matchlogs/2021-2022/summary/Takumi-Minamino-Match-Logs
"Origi, Divock",BEL,FW,26.0,2.0,0.0,18,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.2,0.2,0.0,0.2,0.88,0.0,0.88,0.88,0.88,https://fbref.com/en/players/43a166b4/matchlogs/2021-2022/summary/Divock-Origi-Match-Logs
"Gomez, Joe",ENG,DF,24.0,2.0,0.0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7a11550b/matchlogs/2021-2022/summary/Joe-Gomez-Match-Logs
"Williams, Neco",WAL,DF,20.0,1.0,0.0,8,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,11.25,0.0,11.25,0.0,0.0,0.6,0.6,0.0,6.5,6.5,0.0,6.5,https://fbref.com/en/players/dd323728/matchlogs/2021-2022/summary/Neco-Williams-Match-Logs
"Morton, Tyler",ENG,MF,19.0,1.0,0.0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2bc28bb9/matchlogs/2021-2022/summary/Tyler-Morton-Match-Logs
Adrián,ESP,GK,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/f76e6b4e/matchlogs/2021-2022/summary/Adrian-Match-Logs
"Beck, Owen",WAL,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/a011a1e9/matchlogs/2021-2022/summary/Owen-Beck-Match-Logs
"Bradley, Conor",NIR,DF,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/bbd67769/matchlogs/2021-2022/summary/Conor-Bradley-Match-Logs
"Gordon, Kaide",ENG,FW,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/19a9cb70/matchlogs/2021-2022/summary/Kaide-Gordon-Match-Logs
"Phillips, Nathaniel",ENG,DF,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/515ebe8d/matchlogs/2021-2022/summary/Nathaniel-Phillips-Match-Logs
"Woodburn, Ben",WAL,"FW,MF",22.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/8aadeaef/matchlogs/2021-2022/summary/Ben-Woodburn-Match-Logs
