name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,bench_explain
João Cancelo,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,RB,90.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,5.0,2.0,0.0,
João Cancelo,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,LB,90.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,11.0,1.0,9.1,1.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,
João Cancelo,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,"RB,LB",90.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,50.0,1.0,11.0,5.0,45.5,3.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,
João Cancelo,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,LB,90.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,3.0,27.3,5.0,0.0,6.0,1.0,0.0,0.0,1.0,5.0,8.0,1.0,0.0,
João Cancelo,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,LB,90.0,4.0,3.0,2.0,2.0,0.0,2.0,3.0,66.7,1.0,10.0,3.0,30.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,2.0,0.0,
João Cancelo,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,LB,90.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,11.0,3.0,27.3,4.0,2.0,5.0,4.0,0.0,0.0,4.0,1.0,2.0,5.0,0.0,
João Cancelo,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,LB,90.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,13.0,5.0,38.5,8.0,4.0,1.0,4.0,0.0,0.0,4.0,5.0,7.0,2.0,0.0,
João Cancelo,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,Y,RB,90.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,14.0,2.0,14.3,6.0,5.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,
João Cancelo,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,LB,90.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,4.0,2.0,50.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,
João Cancelo,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,"LB,WB",77.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,66.7,1.0,12.0,5.0,41.7,2.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,
