player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Cancelo, João",POR,DF,27.0,13.9,32.0,19.0,14.0,11.0,7.0,16.0,34.0,47.1,18.0,142.0,45.0,31.7,48.0,54.0,40.0,21.0,2.0,0.0,19.0,35.0,67.0,26.0,0.0,https://fbref.com/en/players/bd6351cd/matchlogs/2021-2022/defense/Joao-Cancelo-Match-Logs
Ederson,BRA,GK,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/players/3bb7b8b4/matchlogs/2021-2022/defense/Ederson-Match-Logs
"Silva, Bernardo",POR,MF,27.0,12.4,23.0,15.0,10.0,8.0,5.0,11.0,29.0,37.9,18.0,252.0,68.0,27.0,56.0,115.0,81.0,18.0,0.0,0.0,18.0,14.0,37.0,13.0,0.0,https://fbref.com/en/players/3eb22ec9/matchlogs/2021-2022/defense/Bernardo-Silva-Match-Logs
"Dias, Rúben",POR,DF,24.0,12.2,23.0,18.0,10.0,10.0,3.0,6.0,12.0,50.0,6.0,75.0,35.0,46.7,33.0,37.0,5.0,17.0,11.0,0.0,6.0,21.0,44.0,36.0,1.0,https://fbref.com/en/players/31c69ef1/matchlogs/2021-2022/defense/Ruben-Dias-Match-Logs
Rodri,ESP,MF,25.0,12.0,28.0,21.0,11.0,14.0,3.0,17.0,24.0,70.8,7.0,158.0,61.0,38.6,43.0,87.0,28.0,18.0,3.0,1.0,15.0,13.0,41.0,23.0,0.0,https://fbref.com/en/players/6434f10d/matchlogs/2021-2022/defense/Rodri-Match-Logs
"Walker, Kyle",ENG,DF,31.0,10.5,13.0,10.0,9.0,3.0,1.0,7.0,15.0,46.7,8.0,89.0,30.0,33.7,29.0,48.0,12.0,10.0,4.0,0.0,6.0,11.0,24.0,11.0,0.0,https://fbref.com/en/players/86dd77d1/matchlogs/2021-2022/defense/Kyle-Walker-Match-Logs
"Jesus, Gabriel",BRA,FW,24.0,10.5,11.0,6.0,3.0,3.0,5.0,2.0,14.0,14.3,12.0,173.0,38.0,22.0,24.0,79.0,70.0,16.0,1.0,0.0,15.0,8.0,19.0,2.0,0.0,https://fbref.com/en/players/b66315ae/matchlogs/2021-2022/defense/Gabriel-Jesus-Match-Logs
"Laporte, Aymeric",ESP,DF,27.0,9.1,6.0,2.0,5.0,1.0,0.0,4.0,8.0,50.0,4.0,49.0,19.0,38.8,35.0,12.0,2.0,5.0,2.0,0.0,3.0,11.0,17.0,33.0,1.0,https://fbref.com/en/players/119b9a8e/matchlogs/2021-2022/defense/Aymeric-Laporte-Match-Logs
"Gündoğan, İlkay",GER,MF,31.0,8.6,10.0,4.0,3.0,7.0,0.0,4.0,12.0,33.3,8.0,85.0,23.0,27.1,28.0,36.0,21.0,8.0,2.0,1.0,6.0,7.0,17.0,6.0,0.0,https://fbref.com/en/players/819b3158/matchlogs/2021-2022/defense/Ilkay-Gundogan-Match-Logs
"Grealish, Jack",ENG,"FW,MF",26.0,8.2,8.0,5.0,2.0,5.0,1.0,2.0,5.0,40.0,3.0,101.0,35.0,34.7,13.0,41.0,47.0,5.0,1.0,0.0,4.0,4.0,12.0,0.0,0.0,https://fbref.com/en/players/b0b4fd3e/matchlogs/2021-2022/defense/Jack-Grealish-Match-Logs
