name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,sca,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,bench_explain
João Cancelo,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,RB,90.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,LB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,"RB,LB",90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,LB,90.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
João Cancelo,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,LB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,LB,90.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
João Cancelo,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,LB,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,Y,RB,90.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,LB,90.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,"LB,WB",77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,Y,LB,90.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
João Cancelo,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,Y,LB,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
