name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,shots_on_target_against,goals_against_gk,saves,save_pct,clean_sheets,psxg_gk,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk,bench_explain
Ederson,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.6,0.0,0.0,0.0,0.0,4.0,6.0,66.7,16.0,6.0,31.3,34.9,6.0,16.7,35.2,3.0,0.0,0.0,2.0,21.4,
Ederson,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,GK,90.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,10.0,3.0,30.0,27.6,2.0,0.0,29.5,4.0,0.0,0.0,2.0,17.6,
Ederson,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,GK,90.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,33.0,2.0,18.2,27.2,4.0,25.0,38.3,2.0,0.0,0.0,1.0,16.5,
Ederson,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,2.0,4.0,50.0,18.0,7.0,22.2,31.2,6.0,0.0,25.7,6.0,0.0,0.0,1.0,14.0,
Ederson,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,4.0,4.0,100.0,34.0,8.0,8.8,21.6,5.0,20.0,25.0,5.0,0.0,0.0,1.0,18.2,
Ederson,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,GK,90.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,40.0,28.0,4.0,28.6,37.2,3.0,66.7,58.0,9.0,1.0,11.1,1.0,16.4,
Ederson,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,GK,90.0,3.0,2.0,1.0,33.3,0.0,1.3,0.0,0.0,0.0,0.0,5.0,12.0,41.7,34.0,12.0,35.3,34.1,2.0,0.0,17.5,7.0,1.0,14.3,2.0,14.6,
Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,GK,90.0,4.0,1.0,4.0,100.0,0.0,1.1,1.0,1.0,0.0,0.0,6.0,12.0,50.0,29.0,6.0,27.6,32.2,8.0,50.0,41.8,9.0,2.0,22.2,2.0,18.6,
Ederson,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,GK,90.0,3.0,2.0,1.0,33.3,0.0,1.3,0.0,0.0,0.0,0.0,5.0,8.0,62.5,26.0,2.0,23.1,28.5,4.0,50.0,35.8,2.0,0.0,0.0,1.0,18.0,
Ederson,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,Y,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,20.0,0.0,15.0,24.7,4.0,0.0,23.0,4.0,0.0,0.0,0.0,,
Ederson,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,Y,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,22.0,7.0,4.5,21.0,0.0,,,5.0,1.0,20.0,1.0,24.3,
Ederson,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,Y,GK,90.0,4.0,1.0,3.0,75.0,0.0,0.3,0.0,0.0,0.0,0.0,4.0,7.0,57.1,38.0,6.0,15.8,26.5,2.0,50.0,45.5,9.0,1.0,11.1,0.0,10.0,
Ederson,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.6,0.0,0.0,0.0,0.0,6.0,9.0,66.7,16.0,0.0,43.8,40.1,4.0,50.0,37.0,10.0,0.0,0.0,1.0,16.0,
Zack Steffen,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Steffen,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,4.0,9.0,44.4,31.0,6.0,22.6,26.0,7.0,28.6,25.3,7.0,0.0,0.0,2.0,17.5,
Zack Steffen,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Zack Steffen,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
