name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
João Cancelo,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,RB,90.0,61.0,72.0,84.7,1178.0,482.0,25.0,27.0,92.6,28.0,33.0,84.8,8.0,12.0,66.7,0.0,0.6,3.0,8.0,3.0,0.0,9.0,
João Cancelo,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,LB,90.0,70.0,82.0,85.4,1218.0,434.0,33.0,34.0,97.1,29.0,32.0,90.6,7.0,12.0,58.3,0.0,0.0,0.0,12.0,4.0,0.0,8.0,
João Cancelo,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,"RB,LB",90.0,96.0,112.0,85.7,1544.0,376.0,47.0,49.0,95.9,43.0,50.0,86.0,6.0,12.0,50.0,0.0,0.0,0.0,6.0,2.0,1.0,7.0,
João Cancelo,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,LB,90.0,58.0,70.0,82.9,1057.0,332.0,26.0,28.0,92.9,26.0,31.0,83.9,6.0,10.0,60.0,0.0,0.1,1.0,9.0,3.0,1.0,8.0,
João Cancelo,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,LB,90.0,66.0,81.0,81.5,1229.0,451.0,29.0,33.0,87.9,32.0,36.0,88.9,5.0,11.0,45.5,0.0,0.0,0.0,8.0,1.0,0.0,11.0,
João Cancelo,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,LB,90.0,77.0,98.0,78.6,1321.0,408.0,39.0,45.0,86.7,32.0,38.0,84.2,6.0,14.0,42.9,1.0,0.0,1.0,6.0,3.0,0.0,5.0,
João Cancelo,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,LB,90.0,64.0,78.0,82.1,1165.0,506.0,37.0,43.0,86.0,17.0,20.0,85.0,9.0,11.0,81.8,0.0,0.1,2.0,5.0,4.0,0.0,6.0,
João Cancelo,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,Y,RB,90.0,89.0,111.0,80.2,1706.0,528.0,39.0,44.0,88.6,31.0,37.0,83.8,17.0,24.0,70.8,0.0,0.0,1.0,9.0,4.0,1.0,9.0,
João Cancelo,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,LB,90.0,67.0,74.0,90.5,1208.0,357.0,32.0,33.0,97.0,22.0,26.0,84.6,12.0,13.0,92.3,0.0,0.1,1.0,4.0,1.0,1.0,1.0,
João Cancelo,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,"LB,WB",77.0,63.0,75.0,84.0,1111.0,330.0,25.0,27.0,92.6,35.0,36.0,97.2,3.0,11.0,27.3,0.0,0.0,0.0,5.0,2.0,0.0,10.0,
João Cancelo,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,Y,LB,90.0,95.0,109.0,87.2,1619.0,500.0,50.0,55.0,90.9,34.0,38.0,89.5,10.0,12.0,83.3,1.0,0.3,1.0,12.0,3.0,1.0,10.0,
João Cancelo,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,Y,LB,90.0,100.0,111.0,90.1,1927.0,525.0,43.0,44.0,97.7,44.0,49.0,89.8,13.0,16.0,81.3,1.0,0.5,2.0,14.0,2.0,0.0,8.0,
João Cancelo,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,Y,LB,90.0,78.0,93.0,83.9,1549.0,537.0,29.0,32.0,90.6,38.0,41.0,92.7,11.0,18.0,61.1,0.0,0.1,2.0,9.0,2.0,0.0,7.0,
João Cancelo,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,Y,RB,90.0,75.0,83.0,90.4,1426.0,456.0,29.0,29.0,100.0,38.0,42.0,90.5,8.0,12.0,66.7,0.0,0.0,1.0,9.0,3.0,0.0,10.0,
Ederson,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,GK,90.0,20.0,22.0,90.9,579.0,358.0,3.0,3.0,100.0,6.0,6.0,100.0,11.0,13.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ederson,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,GK,90.0,12.0,12.0,100.0,334.0,241.0,3.0,3.0,100.0,5.0,5.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ederson,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,GK,90.0,31.0,37.0,83.8,731.0,485.0,8.0,8.0,100.0,15.0,15.0,100.0,8.0,13.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
Ederson,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,GK,90.0,22.0,24.0,91.7,582.0,451.0,2.0,2.0,100.0,14.0,14.0,100.0,6.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ederson,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,GK,90.0,39.0,39.0,100.0,859.0,558.0,10.0,10.0,100.0,24.0,24.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ederson,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,GK,90.0,25.0,31.0,80.6,766.0,478.0,3.0,3.0,100.0,12.0,12.0,100.0,10.0,16.0,62.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
