player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Cancelo, João",POR,DF,27.0,13.9,1059.0,1249.0,84.8,19258.0,6222.0,483.0,523.0,92.4,449.0,509.0,88.2,121.0,188.0,64.4,3.0,2.0,1.0,15.0,116.0,37.0,5.0,109.0,https://fbref.com/en/players/bd6351cd/matchlogs/2021-2022/passing/Joao-Cancelo-Match-Logs
Ederson,BRA,GK,28.0,13.0,335.0,374.0,89.6,8636.0,4920.0,64.0,64.0,100.0,174.0,174.0,100.0,95.0,133.0,71.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,https://fbref.com/en/players/3bb7b8b4/matchlogs/2021-2022/passing/Ederson-Match-Logs
"Silva, Bernardo",POR,MF,27.0,12.4,648.0,737.0,87.9,10311.0,1564.0,360.0,386.0,93.3,222.0,249.0,89.2,49.0,68.0,72.1,1.0,1.7,-0.7,16.0,39.0,19.0,3.0,35.0,https://fbref.com/en/players/3eb22ec9/matchlogs/2021-2022/passing/Bernardo-Silva-Match-Logs
"Dias, Rúben",POR,DF,24.0,12.2,867.0,931.0,93.1,18626.0,5205.0,241.0,256.0,94.1,483.0,498.0,97.0,140.0,168.0,83.3,1.0,1.1,-0.1,7.0,72.0,2.0,0.0,49.0,https://fbref.com/en/players/31c69ef1/matchlogs/2021-2022/passing/Ruben-Dias-Match-Logs
Rodri,ESP,MF,25.0,12.0,924.0,992.0,93.1,19095.0,3690.0,319.0,332.0,96.1,441.0,466.0,94.6,158.0,180.0,87.8,0.0,0.3,-0.3,7.0,94.0,13.0,0.0,68.0,https://fbref.com/en/players/6434f10d/matchlogs/2021-2022/passing/Rodri-Match-Logs
"Walker, Kyle",ENG,DF,31.0,10.5,789.0,895.0,88.2,15565.0,4317.0,309.0,331.0,93.4,371.0,406.0,91.4,106.0,145.0,73.1,0.0,0.5,-0.5,4.0,97.0,8.0,2.0,44.0,https://fbref.com/en/players/86dd77d1/matchlogs/2021-2022/passing/Kyle-Walker-Match-Logs
"Jesus, Gabriel",BRA,FW,24.0,10.5,364.0,434.0,83.9,5466.0,1076.0,190.0,212.0,89.6,147.0,173.0,85.0,15.0,23.0,65.2,6.0,2.4,3.6,18.0,9.0,22.0,5.0,36.0,https://fbref.com/en/players/b66315ae/matchlogs/2021-2022/passing/Gabriel-Jesus-Match-Logs
"Laporte, Aymeric",ESP,DF,27.0,9.1,751.0,793.0,94.7,16458.0,4996.0,195.0,204.0,95.6,407.0,420.0,96.9,141.0,159.0,88.7,0.0,0.1,-0.1,3.0,93.0,3.0,0.0,56.0,https://fbref.com/en/players/119b9a8e/matchlogs/2021-2022/passing/Aymeric-Laporte-Match-Logs
"Gündoğan, İlkay",GER,MF,31.0,8.6,440.0,516.0,85.3,7587.0,1599.0,229.0,241.0,95.0,156.0,182.0,85.7,50.0,79.0,63.3,1.0,2.1,-1.1,18.0,27.0,12.0,0.0,32.0,https://fbref.com/en/players/819b3158/matchlogs/2021-2022/passing/Ilkay-Gundogan-Match-Logs
"Grealish, Jack",ENG,"FW,MF",26.0,8.2,331.0,392.0,84.4,4726.0,978.0,196.0,217.0,90.3,117.0,131.0,89.3,10.0,17.0,58.8,2.0,2.9,-0.9,28.0,6.0,20.0,3.0,33.0,https://fbref.com/en/players/b0b4fd3e/matchlogs/2021-2022/passing/Jack-Grealish-Match-Logs
"Foden, Phil",ENG,FW,21.0,6.8,270.0,342.0,78.9,4234.0,967.0,163.0,179.0,91.1,82.0,100.0,82.0,22.0,49.0,44.9,1.0,2.0,-1.0,11.0,12.0,13.0,5.0,19.0,https://fbref.com/en/players/ed1e53f3/matchlogs/2021-2022/passing/Phil-Foden-Match-Logs
"Sterling, Raheem",ENG,FW,26.0,7.2,208.0,255.0,81.6,3063.0,689.0,126.0,140.0,90.0,68.0,80.0,85.0,9.0,14.0,64.3,1.0,1.3,-0.3,13.0,6.0,19.0,2.0,26.0,https://fbref.com/en/players/b400bde0/matchlogs/2021-2022/passing/Raheem-Sterling-Match-Logs
"De Bruyne, Kevin",BEL,MF,30.0,5.0,252.0,336.0,75.0,4892.0,1183.0,111.0,129.0,86.0,98.0,124.0,79.0,40.0,69.0,58.0,0.0,1.8,-1.8,17.0,28.0,10.0,0.0,34.0,https://fbref.com/en/players/e46012d4/matchlogs/2021-2022/passing/Kevin-De-Bruyne-Match-Logs
"Mahrez, Riyad",ALG,FW,30.0,5.3,274.0,326.0,84.0,4532.0,1027.0,153.0,170.0,90.0,91.0,104.0,87.5,26.0,45.0,57.8,1.0,1.4,-0.4,15.0,8.0,16.0,3.0,21.0,https://fbref.com/en/players/892d5bb1/matchlogs/2021-2022/passing/Riyad-Mahrez-Match-Logs
"Aké, Nathan",NED,DF,26.0,4.2,271.0,294.0,92.2,5085.0,1434.0,103.0,110.0,93.6,141.0,150.0,94.0,25.0,31.0,80.6,0.0,0.0,0.0,0.0,17.0,3.0,0.0,9.0,https://fbref.com/en/players/eaeca114/matchlogs/2021-2022/passing/Nathan-Ake-Match-Logs
"Torres, Ferrán",ESP,FW,21.0,3.4,55.0,72.0,76.4,834.0,75.0,29.0,36.0,80.6,18.0,21.0,85.7,5.0,6.0,83.3,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,https://fbref.com/en/players/9e1035f8/matchlogs/2021-2022/passing/Ferran-Torres-Match-Logs
"Stones, John",ENG,DF,27.0,3.4,239.0,251.0,95.2,4853.0,1421.0,85.0,89.0,95.5,121.0,122.0,99.2,32.0,39.0,82.1,0.0,0.0,0.0,0.0,17.0,1.0,0.0,14.0,https://fbref.com/en/players/5eecec3d/matchlogs/2021-2022/passing/John-Stones-Match-Logs
Fernandinho,BRA,MF,36.0,3.1,181.0,208.0,87.0,3324.0,841.0,66.0,76.0,86.8,96.0,102.0,94.1,16.0,26.0,61.5,0.0,0.5,-0.5,4.0,19.0,4.0,0.0,17.0,https://fbref.com/en/players/101da2b5/matchlogs/2021-2022/passing/Fernandinho-Match-Logs
"Zinchenko, Oleksandr",UKR,DF,24.0,1.6,129.0,142.0,90.8,2112.0,629.0,70.0,74.0,94.6,47.0,50.0,94.0,10.0,14.0,71.4,0.0,0.1,-0.1,1.0,20.0,1.0,0.0,12.0,https://fbref.com/en/players/51cf8561/matchlogs/2021-2022/passing/Oleksandr-Zinchenko-Match-Logs
"Palmer, Cole",ENG,"FW,MF",19.0,1.2,40.0,48.0,83.3,533.0,87.0,28.0,30.0,93.3,9.0,12.0,75.0,3.0,5.0,60.0,0.0,0.2,-0.2,2.0,1.0,4.0,0.0,5.0,https://fbref.com/en/players/dc7f8a28/matchlogs/2021-2022/passing/Cole-Palmer-Match-Logs
"Steffen, Zack",USA,GK,26.0,1.0,33.0,38.0,86.8,638.0,313.0,18.0,18.0,100.0,10.0,10.0,100.0,5.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/42130443/matchlogs/2021-2022/passing/Zack-Steffen-Match-Logs
"Mendy, Benjamin",FRA,DF,27.0,0.9,73.0,87.0,83.9,1355.0,452.0,26.0,30.0,86.7,38.0,38.0,100.0,8.0,14.0,57.1,0.0,0.3,-0.3,2.0,6.0,1.0,1.0,8.0,https://fbref.com/en/players/5271c8f1/matchlogs/2021-2022/passing/Benjamin-Mendy-Match-Logs
"Mcatee, James",ENG,FW,19.0,0.0,3.0,4.0,75.0,55.0,5.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/96593e89/matchlogs/2021-2022/passing/James-Mcatee-Match-Logs
