name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
João Cancelo,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,RB,90.0,87.0,3.0,18.0,51.0,28.0,3.0,81.0,3.0,5.0,60.0,3.0,0.0,64.0,251.0,154.0,10.0,7.0,0.0,1.0,0.0,59.0,59.0,100.0,3.0,
João Cancelo,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,LB,90.0,90.0,0.0,4.0,50.0,43.0,4.0,83.0,1.0,1.0,100.0,1.0,0.0,65.0,313.0,139.0,10.0,2.0,1.0,1.0,2.0,68.0,66.0,97.1,3.0,
João Cancelo,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,"RB,LB",90.0,118.0,1.0,13.0,73.0,32.0,4.0,111.0,2.0,2.0,100.0,2.0,1.0,94.0,281.0,160.0,10.0,0.0,3.0,1.0,0.0,99.0,96.0,97.0,3.0,
João Cancelo,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,LB,90.0,80.0,1.0,18.0,46.0,22.0,0.0,73.0,2.0,2.0,100.0,2.0,1.0,57.0,321.0,151.0,7.0,3.0,0.0,0.0,0.0,59.0,56.0,94.9,1.0,
João Cancelo,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,LB,90.0,95.0,3.0,17.0,62.0,23.0,2.0,85.0,1.0,2.0,50.0,1.0,0.0,70.0,325.0,166.0,8.0,2.0,1.0,1.0,1.0,61.0,60.0,98.4,0.0,
João Cancelo,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,LB,90.0,112.0,4.0,20.0,63.0,40.0,3.0,101.0,3.0,4.0,75.0,4.0,0.0,87.0,443.0,250.0,16.0,5.0,1.0,1.0,1.0,82.0,80.0,97.6,1.0,
João Cancelo,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,LB,90.0,91.0,3.0,30.0,40.0,23.0,0.0,76.0,2.0,4.0,50.0,2.0,0.0,50.0,252.0,160.0,6.0,0.0,0.0,0.0,2.0,58.0,52.0,89.7,1.0,
João Cancelo,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,Y,RB,90.0,123.0,2.0,29.0,54.0,46.0,7.0,114.0,2.0,3.0,66.7,2.0,0.0,85.0,454.0,202.0,12.0,3.0,4.0,2.0,0.0,95.0,90.0,94.7,6.0,
João Cancelo,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,LB,90.0,89.0,2.0,20.0,40.0,35.0,0.0,78.0,0.0,4.0,0.0,0.0,0.0,70.0,327.0,160.0,9.0,4.0,0.0,2.0,0.0,69.0,66.0,95.7,1.0,
João Cancelo,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,"LB,WB",77.0,87.0,2.0,14.0,52.0,28.0,2.0,75.0,0.0,0.0,,0.0,0.0,64.0,274.0,159.0,9.0,3.0,1.0,1.0,1.0,70.0,65.0,92.9,0.0,
