player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Cancelo, João",POR,DF,27.0,13.9,1410.0,30.0,256.0,772.0,477.0,35.0,1287.0,19.0,34.0,55.9,21.0,2.0,1026.0,4700.0,2454.0,134.0,47.0,14.0,11.0,10.0,1056.0,1021.0,96.7,25.0,https://fbref.com/en/players/bd6351cd/matchlogs/2021-2022/possession/Joao-Cancelo-Match-Logs
Ederson,BRA,GK,28.0,13.0,391.0,337.0,385.0,6.0,0.0,0.0,326.0,0.0,0.0,,0.0,0.0,232.0,934.0,589.0,0.0,0.0,0.0,0.0,0.0,232.0,230.0,99.1,0.0,https://fbref.com/en/players/3bb7b8b4/matchlogs/2021-2022/possession/Ederson-Match-Logs
"Silva, Bernardo",POR,MF,27.0,12.4,879.0,20.0,124.0,432.0,393.0,74.0,850.0,26.0,42.0,61.9,31.0,1.0,664.0,3962.0,2282.0,133.0,38.0,17.0,16.0,14.0,780.0,675.0,86.5,81.0,https://fbref.com/en/players/3eb22ec9/matchlogs/2021-2022/possession/Bernardo-Silva-Match-Logs
"Dias, Rúben",POR,DF,24.0,12.2,1034.0,92.0,398.0,663.0,39.0,14.0,1007.0,2.0,4.0,50.0,2.0,0.0,729.0,4120.0,2517.0,99.0,5.0,0.0,2.0,1.0,815.0,802.0,98.4,4.0,https://fbref.com/en/players/31c69ef1/matchlogs/2021-2022/possession/Ruben-Dias-Match-Logs
Rodri,ESP,MF,25.0,12.0,1096.0,40.0,213.0,706.0,246.0,15.0,1086.0,4.0,7.0,57.1,4.0,0.0,776.0,3039.0,1437.0,65.0,16.0,0.0,2.0,9.0,881.0,849.0,96.4,23.0,https://fbref.com/en/players/6434f10d/matchlogs/2021-2022/possession/Rodri-Match-Logs
"Walker, Kyle",ENG,DF,31.0,10.5,958.0,31.0,209.0,620.0,189.0,8.0,874.0,5.0,9.0,55.6,6.0,0.0,690.0,2924.0,1248.0,46.0,19.0,4.0,7.0,4.0,759.0,728.0,95.9,11.0,https://fbref.com/en/players/86dd77d1/matchlogs/2021-2022/possession/Kyle-Walker-Match-Logs
"Jesus, Gabriel",BRA,FW,24.0,10.5,567.0,8.0,51.0,220.0,329.0,74.0,558.0,16.0,30.0,53.3,20.0,2.0,446.0,2211.0,1114.0,82.0,12.0,15.0,27.0,21.0,578.0,442.0,76.5,74.0,https://fbref.com/en/players/b66315ae/matchlogs/2021-2022/possession/Gabriel-Jesus-Match-Logs
"Laporte, Aymeric",ESP,DF,27.0,9.1,857.0,84.0,337.0,549.0,49.0,16.0,837.0,1.0,2.0,50.0,1.0,0.0,615.0,3824.0,2652.0,95.0,13.0,1.0,1.0,0.0,696.0,687.0,98.7,2.0,https://fbref.com/en/players/119b9a8e/matchlogs/2021-2022/possession/Aymeric-Laporte-Match-Logs
"Gündoğan, İlkay",GER,MF,31.0,8.6,595.0,11.0,57.0,298.0,274.0,37.0,544.0,10.0,14.0,71.4,10.0,1.0,403.0,1885.0,921.0,51.0,17.0,4.0,8.0,10.0,532.0,464.0,87.2,55.0,https://fbref.com/en/players/819b3158/matchlogs/2021-2022/possession/Ilkay-Gundogan-Match-Logs
"Grealish, Jack",ENG,"FW,MF",26.0,8.2,485.0,4.0,27.0,180.0,320.0,85.0,478.0,13.0,25.0,52.0,14.0,0.0,430.0,3103.0,2062.0,131.0,25.0,45.0,10.0,13.0,486.0,410.0,84.4,81.0,https://fbref.com/en/players/b0b4fd3e/matchlogs/2021-2022/possession/Jack-Grealish-Match-Logs
