name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,bench_explain
João Cancelo,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,RB,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,87.0,4.0,2.0,3.0,3.0,0.1,0.1,0.6,4.0,0.0,61.0,72.0,84.7,9.0,64.0,10.0,3.0,5.0,
João Cancelo,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,LB,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,82.0,85.4,8.0,65.0,10.0,1.0,1.0,
João Cancelo,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,"RB,LB",90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.0,11.0,3.0,0.0,1.0,0.5,0.5,0.0,3.0,1.0,96.0,112.0,85.7,7.0,94.0,10.0,2.0,2.0,
João Cancelo,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,LB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,80.0,11.0,3.0,5.0,1.0,0.1,0.1,0.1,2.0,1.0,58.0,70.0,82.9,8.0,57.0,7.0,2.0,2.0,
João Cancelo,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,LB,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,95.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,81.0,81.5,11.0,70.0,8.0,1.0,2.0,
João Cancelo,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,LB,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,112.0,11.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,77.0,98.0,78.6,5.0,87.0,16.0,3.0,4.0,
João Cancelo,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,LB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,13.0,2.0,5.0,4.0,0.0,0.0,0.1,2.0,0.0,64.0,78.0,82.1,6.0,50.0,6.0,2.0,4.0,
João Cancelo,2021-10-16,Sat,8,Home,W 2–0,Manchester City,Burnley,Y,RB,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,123.0,14.0,1.0,2.0,1.0,0.3,0.3,0.0,5.0,0.0,89.0,111.0,80.2,9.0,85.0,12.0,2.0,3.0,
João Cancelo,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,LB,90.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,89.0,4.0,2.0,4.0,1.0,0.2,0.2,0.1,5.0,0.0,67.0,74.0,90.5,1.0,70.0,9.0,0.0,4.0,
João Cancelo,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,"LB,WB",77.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,87.0,12.0,2.0,2.0,0.0,0.1,0.1,0.0,0.0,0.0,63.0,75.0,84.0,10.0,64.0,9.0,0.0,0.0,
João Cancelo,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,Y,LB,90.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,122.0,14.0,6.0,1.0,1.0,0.1,0.1,0.3,2.0,1.0,95.0,109.0,87.2,10.0,95.0,13.0,2.0,2.0,
João Cancelo,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,Y,LB,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,120.0,5.0,2.0,1.0,2.0,0.0,0.0,0.5,3.0,1.0,100.0,111.0,90.1,8.0,91.0,7.0,0.0,2.0,
João Cancelo,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,Y,LB,90.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,107.0,13.0,2.0,2.0,2.0,0.1,0.1,0.1,4.0,0.0,78.0,93.0,83.9,7.0,73.0,11.0,1.0,2.0,
João Cancelo,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,Y,RB,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,89.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,75.0,83.0,90.4,10.0,61.0,6.0,0.0,1.0,
Ederson,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,22.0,90.9,0.0,10.0,0.0,0.0,0.0,
Ederson,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,100.0,0.0,6.0,0.0,0.0,0.0,
Ederson,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,37.0,83.8,1.0,25.0,0.0,0.0,0.0,
Ederson,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,91.7,0.0,10.0,0.0,0.0,0.0,
Ederson,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,100.0,0.0,28.0,0.0,0.0,0.0,
Ederson,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,80.6,0.0,22.0,0.0,0.0,0.0,
Ederson,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,36.0,80.6,0.0,24.0,0.0,0.0,0.0,
Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,37.0,83.8,0.0,17.0,0.0,0.0,0.0,
Ederson,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,90.0,0.0,20.0,0.0,0.0,0.0,
Ederson,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,95.8,0.0,16.0,0.0,0.0,0.0,
Ederson,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,100.0,0.0,14.0,0.0,0.0,0.0,
Ederson,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,40.0,92.5,0.0,28.0,0.0,0.0,0.0,
Ederson,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,20.0,85.0,0.0,12.0,0.0,0.0,0.0,
Bernardo Silva,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Bernardo Silva,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,55.0,83.6,3.0,55.0,7.0,3.0,6.0,
Bernardo Silva,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,CM,57.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,7.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,26.0,30.0,86.7,1.0,23.0,4.0,0.0,0.0,
