player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Cancelo, João",POR,DF,27.0,14.0,14.0,"1,247",13.9,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.22,0.22,0.0,0.22,1.7,1.7,2.0,3.7,0.12,0.15,0.26,0.12,0.26,https://fbref.com/en/players/bd6351cd/matchlogs/2021-2022/summary/Joao-Cancelo-Match-Logs
Ederson,BRA,GK,28.0,13.0,13.0,"1,170",13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/3bb7b8b4/matchlogs/2021-2022/summary/Ederson-Match-Logs
"Silva, Bernardo",POR,MF,27.0,13.0,13.0,"1,117",12.4,5.0,1.0,5.0,0.0,0.0,3.0,0.0,0.4,0.08,0.48,0.4,0.48,2.5,2.5,1.7,4.2,0.2,0.14,0.34,0.2,0.34,https://fbref.com/en/players/3eb22ec9/matchlogs/2021-2022/summary/Bernardo-Silva-Match-Logs
"Dias, Rúben",POR,DF,24.0,13.0,12.0,"1,099",12.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.08,0.16,0.08,0.16,0.3,0.3,1.1,1.4,0.03,0.09,0.11,0.03,0.11,https://fbref.com/en/players/31c69ef1/matchlogs/2021-2022/summary/Ruben-Dias-Match-Logs
Rodri,ESP,MF,25.0,12.0,12.0,"1,080",12.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,0.8,0.8,0.3,1.2,0.07,0.03,0.1,0.07,0.1,https://fbref.com/en/players/6434f10d/matchlogs/2021-2022/summary/Rodri-Match-Logs
"Walker, Kyle",ENG,DF,31.0,11.0,11.0,945,10.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.02,0.05,0.07,0.02,0.07,https://fbref.com/en/players/86dd77d1/matchlogs/2021-2022/summary/Kyle-Walker-Match-Logs
"Jesus, Gabriel",BRA,FW,24.0,12.0,11.0,942,10.5,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.19,0.57,0.76,0.19,0.76,4.1,4.1,2.4,6.5,0.39,0.23,0.62,0.39,0.62,https://fbref.com/en/players/b66315ae/matchlogs/2021-2022/summary/Gabriel-Jesus-Match-Logs
"Laporte, Aymeric",ESP,DF,27.0,10.0,10.0,820,9.1,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.11,0.0,0.11,0.11,0.11,1.3,1.3,0.1,1.3,0.14,0.01,0.15,0.14,0.15,https://fbref.com/en/players/119b9a8e/matchlogs/2021-2022/summary/Aymeric-Laporte-Match-Logs
"Gündoğan, İlkay",GER,MF,31.0,9.0,9.0,772,8.6,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.35,0.12,0.47,0.35,0.47,3.6,3.6,2.1,5.7,0.42,0.25,0.66,0.42,0.66,https://fbref.com/en/players/819b3158/matchlogs/2021-2022/summary/Ilkay-Gundogan-Match-Logs
"Grealish, Jack",ENG,"FW,MF",26.0,10.0,9.0,742,8.2,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.12,0.24,0.36,0.12,0.36,2.0,2.0,2.9,4.9,0.24,0.35,0.59,0.24,0.59,https://fbref.com/en/players/b0b4fd3e/matchlogs/2021-2022/summary/Jack-Grealish-Match-Logs
"Foden, Phil",ENG,FW,21.0,8.0,7.0,612,6.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.44,0.15,0.59,0.44,0.59,3.1,3.1,2.0,5.2,0.46,0.3,0.76,0.46,0.76,https://fbref.com/en/players/ed1e53f3/matchlogs/2021-2022/summary/Phil-Foden-Match-Logs
"Sterling, Raheem",ENG,FW,26.0,12.0,6.0,647,7.2,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.28,0.14,0.42,0.28,0.42,2.6,2.6,1.3,3.9,0.37,0.18,0.54,0.37,0.54,https://fbref.com/en/players/b400bde0/matchlogs/2021-2022/summary/Raheem-Sterling-Match-Logs
"De Bruyne, Kevin",BEL,MF,30.0,8.0,5.0,453,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,1.5,1.5,1.8,3.2,0.3,0.35,0.64,0.3,0.64,https://fbref.com/en/players/e46012d4/matchlogs/2021-2022/summary/Kevin-De-Bruyne-Match-Logs
