date,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession
2021-08-15,Premier League,1,Sun,Away,L,0.0,1.0,Tottenham,1.9,1.3,64.0
2021-08-21,Premier League,2,Sat,Home,W,5.0,0.0,Norwich City,2.7,0.1,67.0
2021-08-28,Premier League,3,Sat,Home,W,5.0,0.0,Arsenal,3.8,0.1,80.0
2021-09-11,Premier League,4,Sat,Away,W,1.0,0.0,Leicester City,2.9,0.8,61.0
2021-09-18,Premier League,5,Sat,Home,D,0.0,0.0,Southampton,1.1,0.4,63.0
2021-09-25,Premier League,6,Sat,Away,W,1.0,0.0,Chelsea,1.7,0.3,60.0
2021-10-03,Premier League,7,Sun,Away,D,2.0,2.0,Liverpool,1.2,1.0,51.0
2021-10-16,Premier League,8,Sat,Home,W,2.0,0.0,Burnley,1.9,1.0,69.0
2021-10-23,Premier League,9,Sat,Away,W,4.0,1.0,Brighton,3.9,1.3,52.0
2021-10-30,Premier League,10,Sat,Home,L,0.0,2.0,Crystal Palace,1.1,1.1,68.0
2021-11-06,Premier League,11,Sat,Away,W,2.0,0.0,Manchester Utd,2.0,0.6,67.0
2021-11-21,Premier League,12,Sun,Home,W,3.0,0.0,Everton,2.3,0.3,76.0
2021-11-28,Premier League,13,Sun,Home,W,2.0,1.0,West Ham,2.1,0.2,67.0
2021-12-01,Premier League,14,Wed,Away,W,2.0,1.0,Aston Villa,0.9,0.9,64.0
