player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Gea, David",ESP,GK,31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7ba6d84e/matchlogs/2021-2022/defense/David-de-Gea-Match-Logs
"Wan-Bissaka, Aaron",ENG,DF,24.0,13.0,27.0,17.0,14.0,9.0,4.0,3.0,8.0,37.5,5.0,141.0,40.0,28.4,66.0,46.0,29.0,36.0,10.0,1.0,26.0,23.0,50.0,33.0,0.0,https://fbref.com/en/players/9e525177/matchlogs/2021-2022/defense/Aaron-Wan-Bissaka-Match-Logs
"Fernandes, Bruno",POR,MF,27.0,12.4,24.0,19.0,11.0,9.0,4.0,8.0,29.0,27.6,21.0,229.0,62.0,27.1,41.0,120.0,68.0,6.0,0.0,0.0,6.0,12.0,36.0,19.0,2.0,https://fbref.com/en/players/507c7bdf/matchlogs/2021-2022/defense/Bruno-Fernandes-Match-Logs
"Shaw, Luke",ENG,DF,26.0,11.1,13.0,8.0,7.0,4.0,2.0,6.0,15.0,40.0,9.0,108.0,33.0,30.6,47.0,41.0,20.0,23.0,5.0,0.0,18.0,9.0,22.0,13.0,0.0,https://fbref.com/en/players/9c94165b/matchlogs/2021-2022/defense/Luke-Shaw-Match-Logs
"Maguire, Harry",ENG,DF,28.0,10.5,14.0,7.0,10.0,4.0,0.0,5.0,10.0,50.0,5.0,55.0,20.0,36.4,40.0,14.0,1.0,18.0,15.0,0.0,3.0,17.0,31.0,62.0,0.0,https://fbref.com/en/players/d8931174/matchlogs/2021-2022/defense/Harry-Maguire-Match-Logs
Fred,BRA,MF,28.0,9.4,26.0,21.0,10.0,12.0,4.0,8.0,33.0,24.2,25.0,246.0,63.0,25.6,74.0,141.0,31.0,20.0,5.0,0.0,15.0,18.0,44.0,14.0,0.0,https://fbref.com/en/players/b853e0ad/matchlogs/2021-2022/defense/Fred-Match-Logs
"Greenwood, Mason",ENG,FW,20.0,8.8,7.0,2.0,3.0,0.0,4.0,2.0,5.0,40.0,3.0,88.0,22.0,25.0,18.0,33.0,37.0,4.0,0.0,0.0,4.0,4.0,11.0,3.0,0.0,https://fbref.com/en/players/58eee997/matchlogs/2021-2022/defense/Mason-Greenwood-Match-Logs
"Lindelöf, Victor",SWE,DF,27.0,9.3,3.0,1.0,2.0,1.0,0.0,2.0,4.0,50.0,2.0,42.0,14.0,33.3,23.0,14.0,5.0,18.0,7.0,0.0,11.0,19.0,22.0,54.0,0.0,https://fbref.com/en/players/f5deef4c/matchlogs/2021-2022/defense/Victor-Lindelof-Match-Logs
"McTominay, Scott",SCO,MF,24.0,8.4,18.0,8.0,12.0,4.0,2.0,8.0,24.0,33.3,16.0,135.0,28.0,20.7,51.0,74.0,10.0,15.0,4.0,0.0,11.0,13.0,31.0,26.0,0.0,https://fbref.com/en/players/d93c2511/matchlogs/2021-2022/defense/Scott-McTominay-Match-Logs
"Ronaldo, Cristiano",POR,FW,36.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,44.0,8.0,18.2,3.0,22.0,19.0,4.0,0.0,0.0,4.0,2.0,2.0,8.0,0.0,https://fbref.com/en/players/dea698d9/matchlogs/2021-2022/defense/Cristiano-Ronaldo-Match-Logs
"Pogba, Paul",FRA,"MF,FW",28.0,7.0,10.0,3.0,5.0,4.0,1.0,3.0,9.0,33.3,6.0,136.0,40.0,29.4,29.0,68.0,39.0,8.0,1.0,0.0,7.0,12.0,22.0,12.0,0.0,https://fbref.com/en/players/867239d3/matchlogs/2021-2022/defense/Paul-Pogba-Match-Logs
"Varane, Raphaël",FRA,DF,28.0,6.0,7.0,5.0,3.0,2.0,2.0,2.0,5.0,40.0,3.0,44.0,16.0,36.4,32.0,10.0,2.0,13.0,4.0,0.0,9.0,13.0,20.0,37.0,0.0,https://fbref.com/en/players/9f8e9423/matchlogs/2021-2022/defense/Raphael-Varane-Match-Logs
"Sancho, Jadon",ENG,FW,21.0,5.5,2.0,1.0,0.0,2.0,0.0,1.0,4.0,25.0,3.0,90.0,24.0,26.7,24.0,44.0,22.0,6.0,2.0,0.0,4.0,5.0,7.0,2.0,1.0,https://fbref.com/en/players/dbf053da/matchlogs/2021-2022/defense/Jadon-Sancho-Match-Logs
"Matić, Nemanja",SRB,MF,33.0,5.3,13.0,10.0,7.0,5.0,1.0,4.0,8.0,50.0,4.0,70.0,25.0,35.7,28.0,39.0,3.0,12.0,3.0,0.0,9.0,6.0,19.0,9.0,1.0,https://fbref.com/en/players/eb7822d7/matchlogs/2021-2022/defense/Nemanja-Matic-Match-Logs
"Rashford, Marcus",ENG,FW,24.0,2.8,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,42.0,9.0,21.4,8.0,23.0,11.0,3.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,https://fbref.com/en/players/a1d5bd30/matchlogs/2021-2022/defense/Marcus-Rashford-Match-Logs
"Cavani, Edinson",URU,FW,34.0,2.4,2.0,1.0,0.0,1.0,1.0,2.0,4.0,50.0,2.0,30.0,12.0,40.0,6.0,11.0,13.0,4.0,0.0,0.0,4.0,6.0,8.0,1.0,0.0,https://fbref.com/en/players/527f063d/matchlogs/2021-2022/defense/Edinson-Cavani-Match-Logs
