name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
David de Gea,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,GK,90.0,30.0,35.0,85.7,832.0,535.0,7.0,7.0,100.0,11.0,12.0,91.7,11.0,15.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,GK,90.0,17.0,18.0,94.4,350.0,197.0,5.0,5.0,100.0,11.0,11.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,GK,90.0,17.0,20.0,85.0,515.0,231.0,2.0,2.0,100.0,9.0,9.0,100.0,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,GK,90.0,12.0,13.0,92.3,324.0,278.0,2.0,2.0,100.0,8.0,9.0,88.9,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
David de Gea,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,GK,90.0,22.0,22.0,100.0,597.0,396.0,1.0,1.0,100.0,13.0,13.0,100.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,GK,90.0,17.0,23.0,73.9,525.0,272.0,2.0,3.0,66.7,8.0,8.0,100.0,7.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,GK,90.0,18.0,19.0,94.7,507.0,271.0,3.0,3.0,100.0,8.0,8.0,100.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,GK,90.0,22.0,32.0,68.8,641.0,376.0,3.0,3.0,100.0,11.0,11.0,100.0,8.0,18.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,GK,90.0,16.0,21.0,76.2,425.0,224.0,5.0,5.0,100.0,4.0,4.0,100.0,7.0,12.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,GK,90.0,18.0,26.0,69.2,496.0,240.0,5.0,5.0,100.0,6.0,7.0,85.7,7.0,14.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
