player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Gea, David",ESP,GK,31.0,13.0,230.0,304.0,75.7,6408.0,3721.0,41.0,42.0,97.6,109.0,112.0,97.3,79.0,147.0,53.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/7ba6d84e/matchlogs/2021-2022/passing/David-de-Gea-Match-Logs
"Wan-Bissaka, Aaron",ENG,DF,24.0,13.0,612.0,723.0,84.6,9248.0,2953.0,363.0,397.0,91.4,200.0,229.0,87.3,34.0,65.0,52.3,0.0,0.5,-0.5,8.0,21.0,9.0,5.0,31.0,https://fbref.com/en/players/9e525177/matchlogs/2021-2022/passing/Aaron-Wan-Bissaka-Match-Logs
"Fernandes, Bruno",POR,MF,27.0,12.4,498.0,673.0,74.0,9755.0,2624.0,232.0,271.0,85.6,176.0,223.0,78.9,84.0,150.0,56.0,3.0,3.6,-0.6,38.0,45.0,33.0,5.0,66.0,https://fbref.com/en/players/507c7bdf/matchlogs/2021-2022/passing/Bruno-Fernandes-Match-Logs
"Shaw, Luke",ENG,DF,26.0,11.1,591.0,729.0,81.1,9539.0,3587.0,320.0,352.0,90.9,208.0,244.0,85.2,51.0,100.0,51.0,1.0,1.3,-0.3,23.0,39.0,9.0,4.0,48.0,https://fbref.com/en/players/9c94165b/matchlogs/2021-2022/passing/Luke-Shaw-Match-Logs
"Maguire, Harry",ENG,DF,28.0,10.5,478.0,536.0,89.2,10327.0,3184.0,149.0,156.0,95.5,232.0,254.0,91.3,96.0,120.0,80.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,19.0,https://fbref.com/en/players/d8931174/matchlogs/2021-2022/passing/Harry-Maguire-Match-Logs
Fred,BRA,MF,28.0,9.4,435.0,518.0,84.0,8010.0,2073.0,184.0,211.0,87.2,194.0,221.0,87.8,49.0,66.0,74.2,0.0,0.3,-0.3,6.0,41.0,2.0,1.0,41.0,https://fbref.com/en/players/b853e0ad/matchlogs/2021-2022/passing/Fred-Match-Logs
"Greenwood, Mason",ENG,FW,20.0,8.8,241.0,311.0,77.5,4455.0,964.0,113.0,133.0,85.0,99.0,118.0,83.9,25.0,44.0,56.8,0.0,1.2,-1.2,11.0,16.0,9.0,1.0,27.0,https://fbref.com/en/players/58eee997/matchlogs/2021-2022/passing/Mason-Greenwood-Match-Logs
"Lindelöf, Victor",SWE,DF,27.0,9.3,419.0,473.0,88.6,8976.0,2526.0,132.0,143.0,92.3,219.0,233.0,94.0,66.0,91.0,72.5,2.0,0.4,1.6,2.0,19.0,3.0,0.0,18.0,https://fbref.com/en/players/f5deef4c/matchlogs/2021-2022/passing/Victor-Lindelof-Match-Logs
"McTominay, Scott",SCO,MF,24.0,8.4,309.0,355.0,87.0,5795.0,1531.0,127.0,141.0,90.1,137.0,156.0,87.8,40.0,46.0,87.0,0.0,0.8,-0.8,7.0,30.0,4.0,1.0,29.0,https://fbref.com/en/players/d93c2511/matchlogs/2021-2022/passing/Scott-McTominay-Match-Logs
"Ronaldo, Cristiano",POR,FW,36.0,8.5,217.0,256.0,84.8,3149.0,478.0,131.0,146.0,89.7,73.0,86.0,84.9,8.0,10.0,80.0,2.0,1.4,0.6,8.0,9.0,3.0,0.0,16.0,https://fbref.com/en/players/dea698d9/matchlogs/2021-2022/passing/Cristiano-Ronaldo-Match-Logs
"Pogba, Paul",FRA,"MF,FW",28.0,7.0,377.0,448.0,84.2,8042.0,2080.0,141.0,159.0,88.7,154.0,171.0,90.1,76.0,96.0,79.2,7.0,1.4,5.6,14.0,67.0,16.0,2.0,56.0,https://fbref.com/en/players/867239d3/matchlogs/2021-2022/passing/Paul-Pogba-Match-Logs
"Varane, Raphaël",FRA,DF,28.0,6.0,314.0,341.0,92.1,7148.0,2122.0,70.0,71.0,98.6,179.0,188.0,95.2,63.0,78.0,80.8,1.0,0.1,0.9,2.0,30.0,0.0,0.0,15.0,https://fbref.com/en/players/9f8e9423/matchlogs/2021-2022/passing/Raphael-Varane-Match-Logs
