name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
David de Gea,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,GK,90.0,36.0,34.0,36.0,0.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,18.0,68.0,31.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,0.0,
David de Gea,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,GK,90.0,22.0,22.0,22.0,0.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,9.0,37.0,26.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
David de Gea,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,GK,90.0,24.0,22.0,24.0,0.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.0,5.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,
David de Gea,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,GK,90.0,14.0,14.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,
David de Gea,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,GK,90.0,25.0,23.0,25.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,12.0,70.0,42.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,100.0,0.0,
David de Gea,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,GK,90.0,25.0,25.0,25.0,0.0,0.0,0.0,18.0,0.0,0.0,,0.0,0.0,12.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
David de Gea,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,GK,90.0,20.0,17.0,20.0,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,0.0,6.0,46.0,28.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,
David de Gea,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,GK,90.0,36.0,36.0,36.0,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,10.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,
David de Gea,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,GK,90.0,24.0,24.0,24.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,8.0,47.0,33.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,
David de Gea,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,GK,90.0,26.0,23.0,26.0,0.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,13.0,48.0,26.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,
