player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Gea, David",ESP,GK,31.0,13.0,342.0,327.0,342.0,0.0,0.0,0.0,213.0,0.0,0.0,,0.0,0.0,120.0,488.0,247.0,0.0,0.0,0.0,1.0,0.0,122.0,122.0,100.0,0.0,https://fbref.com/en/players/7ba6d84e/matchlogs/2021-2022/possession/David-de-Gea-Match-Logs
"Wan-Bissaka, Aaron",ENG,DF,24.0,13.0,873.0,53.0,299.0,410.0,227.0,14.0,772.0,23.0,38.0,60.5,24.0,4.0,578.0,2705.0,1670.0,66.0,26.0,4.0,6.0,16.0,606.0,551.0,90.9,24.0,https://fbref.com/en/players/9e525177/matchlogs/2021-2022/possession/Aaron-Wan-Bissaka-Match-Logs
"Fernandes, Bruno",POR,MF,27.0,12.4,810.0,28.0,141.0,361.0,355.0,42.0,751.0,7.0,15.0,46.7,10.0,2.0,502.0,2263.0,1243.0,67.0,23.0,5.0,9.0,15.0,728.0,592.0,81.3,79.0,https://fbref.com/en/players/507c7bdf/matchlogs/2021-2022/possession/Bruno-Fernandes-Match-Logs
"Shaw, Luke",ENG,DF,26.0,11.1,827.0,35.0,195.0,385.0,310.0,9.0,681.0,5.0,11.0,45.5,6.0,0.0,505.0,2721.0,1631.0,63.0,30.0,1.0,6.0,10.0,585.0,523.0,89.4,25.0,https://fbref.com/en/players/9c94165b/matchlogs/2021-2022/possession/Luke-Shaw-Match-Logs
"Maguire, Harry",ENG,DF,28.0,10.5,659.0,106.0,358.0,311.0,35.0,14.0,640.0,2.0,3.0,66.7,2.0,0.0,393.0,2322.0,1318.0,34.0,11.0,0.0,4.0,4.0,441.0,431.0,97.7,0.0,https://fbref.com/en/players/d8931174/matchlogs/2021-2022/possession/Harry-Maguire-Match-Logs
Fred,BRA,MF,28.0,9.4,635.0,28.0,153.0,391.0,113.0,6.0,622.0,3.0,9.0,33.3,3.0,0.0,387.0,1350.0,653.0,29.0,4.0,1.0,14.0,14.0,445.0,419.0,94.2,8.0,https://fbref.com/en/players/b853e0ad/matchlogs/2021-2022/possession/Fred-Match-Logs
"Greenwood, Mason",ENG,FW,20.0,8.8,406.0,3.0,35.0,172.0,227.0,39.0,395.0,15.0,25.0,60.0,15.0,3.0,311.0,2079.0,1248.0,67.0,16.0,19.0,16.0,11.0,425.0,322.0,75.8,57.0,https://fbref.com/en/players/58eee997/matchlogs/2021-2022/possession/Mason-Greenwood-Match-Logs
"Lindelöf, Victor",SWE,DF,27.0,9.3,565.0,105.0,356.0,225.0,18.0,1.0,553.0,0.0,0.0,,0.0,0.0,324.0,1906.0,1039.0,15.0,4.0,0.0,2.0,2.0,361.0,358.0,99.2,0.0,https://fbref.com/en/players/f5deef4c/matchlogs/2021-2022/possession/Victor-Lindelof-Match-Logs
"McTominay, Scott",SCO,MF,24.0,8.4,466.0,29.0,132.0,264.0,102.0,12.0,457.0,13.0,17.0,76.5,13.0,0.0,298.0,1440.0,683.0,26.0,17.0,1.0,8.0,12.0,332.0,302.0,91.0,17.0,https://fbref.com/en/players/d93c2511/matchlogs/2021-2022/possession/Scott-McTominay-Match-Logs
"Ronaldo, Cristiano",POR,FW,36.0,8.5,346.0,8.0,24.0,162.0,177.0,56.0,333.0,4.0,13.0,30.8,6.0,0.0,223.0,1074.0,635.0,48.0,11.0,11.0,10.0,10.0,433.0,275.0,63.5,70.0,https://fbref.com/en/players/dea698d9/matchlogs/2021-2022/possession/Cristiano-Ronaldo-Match-Logs
"Pogba, Paul",FRA,"MF,FW",28.0,7.0,551.0,11.0,81.0,336.0,171.0,24.0,546.0,20.0,27.0,74.1,21.0,0.0,409.0,1753.0,1075.0,53.0,9.0,4.0,11.0,16.0,479.0,429.0,89.6,28.0,https://fbref.com/en/players/867239d3/matchlogs/2021-2022/possession/Paul-Pogba-Match-Logs
"Varane, Raphaël",FRA,DF,28.0,6.0,410.0,52.0,205.0,221.0,17.0,5.0,398.0,0.0,2.0,0.0,0.0,0.0,254.0,1980.0,1161.0,26.0,6.0,0.0,0.0,0.0,283.0,274.0,96.8,0.0,https://fbref.com/en/players/9f8e9423/matchlogs/2021-2022/possession/Raphael-Varane-Match-Logs
"Sancho, Jadon",ENG,FW,21.0,5.5,317.0,7.0,50.0,131.0,169.0,20.0,312.0,10.0,18.0,55.6,11.0,2.0,251.0,1515.0,997.0,52.0,16.0,10.0,7.0,12.0,326.0,263.0,80.7,40.0,https://fbref.com/en/players/dbf053da/matchlogs/2021-2022/possession/Jadon-Sancho-Match-Logs
"Matić, Nemanja",SRB,MF,33.0,5.3,425.0,23.0,137.0,261.0,67.0,3.0,415.0,5.0,6.0,83.3,5.0,0.0,285.0,1674.0,1070.0,41.0,8.0,0.0,7.0,8.0,308.0,299.0,97.1,3.0,https://fbref.com/en/players/eb7822d7/matchlogs/2021-2022/possession/Nemanja-Matic-Match-Logs
"Rashford, Marcus",ENG,FW,24.0,2.8,120.0,4.0,19.0,58.0,53.0,13.0,120.0,5.0,10.0,50.0,7.0,2.0,88.0,442.0,295.0,16.0,6.0,4.0,3.0,7.0,150.0,97.0,64.7,19.0,https://fbref.com/en/players/a1d5bd30/matchlogs/2021-2022/possession/Marcus-Rashford-Match-Logs
"Cavani, Edinson",URU,FW,34.0,2.4,85.0,4.0,12.0,31.0,46.0,12.0,85.0,0.0,0.0,,0.0,0.0,44.0,102.0,17.0,1.0,1.0,1.0,1.0,2.0,99.0,65.0,65.7,14.0,https://fbref.com/en/players/527f063d/matchlogs/2021-2022/possession/Edinson-Cavani-Match-Logs
"Martial, Anthony",FRA,FW,25.0,2.2,97.0,1.0,6.0,38.0,58.0,16.0,96.0,5.0,7.0,71.4,5.0,0.0,76.0,440.0,281.0,15.0,4.0,2.0,4.0,2.0,125.0,84.0,67.2,28.0,https://fbref.com/en/players/8b788c01/matchlogs/2021-2022/possession/Anthony-Martial-Match-Logs
