name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,bench_explain
David de Gea,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,85.7,0.0,18.0,0.0,0.0,0.0,
David de Gea,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,94.4,0.0,9.0,0.0,0.0,0.0,
David de Gea,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,0.0,5.0,0.0,0.0,0.0,
David de Gea,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,13.0,92.3,0.0,2.0,0.0,0.0,0.0,
David de Gea,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,100.0,0.0,12.0,0.0,0.0,0.0,
David de Gea,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,23.0,73.9,0.0,12.0,0.0,0.0,0.0,
David de Gea,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,94.7,0.0,6.0,0.0,0.0,0.0,
David de Gea,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,32.0,68.8,0.0,10.0,0.0,0.0,0.0,
David de Gea,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,76.2,0.0,8.0,0.0,0.0,0.0,
David de Gea,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,69.2,0.0,13.0,0.0,0.0,0.0,
David de Gea,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,45.0,0.0,6.0,0.0,0.0,0.0,
David de Gea,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,66.7,0.0,11.0,0.0,0.0,0.0,
David de Gea,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0,50.0,0.0,8.0,0.0,0.0,0.0,
Aaron Wan-Bissaka,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,50.0,84.0,3.0,34.0,4.0,4.0,6.0,
Aaron Wan-Bissaka,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,8.0,3.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,50.0,55.0,90.9,2.0,46.0,5.0,0.0,1.0,
Aaron Wan-Bissaka,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,"RB,CB",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,57.0,61.0,93.4,4.0,50.0,6.0,0.0,0.0,
Aaron Wan-Bissaka,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,8.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,45.0,53.0,84.9,2.0,41.0,2.0,0.0,0.0,
Aaron Wan-Bissaka,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,RB,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,83.0,15.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,65.0,70.0,92.9,7.0,67.0,10.0,5.0,6.0,
Aaron Wan-Bissaka,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,11.0,2.0,3.0,2.0,0.0,0.0,0.1,4.0,0.0,58.0,74.0,78.4,5.0,49.0,5.0,1.0,1.0,
