player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Gea, David",ESP,GK,31.0,13.0,13.0,"1,170",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7ba6d84e/matchlogs/2021-2022/summary/David-de-Gea-Match-Logs
"Wan-Bissaka, Aaron",ENG,DF,24.0,13.0,13.0,"1,170",13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.0,0.04,0.05,0.0,0.05,https://fbref.com/en/players/9e525177/matchlogs/2021-2022/summary/Aaron-Wan-Bissaka-Match-Logs
"Fernandes, Bruno",POR,MF,27.0,13.0,13.0,"1,118",12.4,4.0,3.0,4.0,0.0,1.0,4.0,0.0,0.32,0.24,0.56,0.32,0.56,3.0,2.2,3.6,5.8,0.24,0.29,0.53,0.18,0.47,https://fbref.com/en/players/507c7bdf/matchlogs/2021-2022/summary/Bruno-Fernandes-Match-Logs
"Shaw, Luke",ENG,DF,26.0,12.0,12.0,999,11.1,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,0.1,0.1,1.3,1.4,0.01,0.12,0.13,0.01,0.13,https://fbref.com/en/players/9c94165b/matchlogs/2021-2022/summary/Luke-Shaw-Match-Logs
"Maguire, Harry",ENG,DF,28.0,11.0,11.0,944,10.5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.06,0.0,0.06,0.06,0.06,https://fbref.com/en/players/d8931174/matchlogs/2021-2022/summary/Harry-Maguire-Match-Logs
Fred,BRA,MF,28.0,10.0,10.0,850,9.4,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.3,0.6,0.04,0.03,0.07,0.04,0.07,https://fbref.com/en/players/b853e0ad/matchlogs/2021-2022/summary/Fred-Match-Logs
"Greenwood, Mason",ENG,FW,20.0,10.0,10.0,795,8.8,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.45,0.0,0.45,0.45,0.45,2.5,2.5,1.2,3.7,0.28,0.14,0.42,0.28,0.42,https://fbref.com/en/players/58eee997/matchlogs/2021-2022/summary/Mason-Greenwood-Match-Logs
"Lindelöf, Victor",SWE,DF,27.0,10.0,9.0,834,9.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.22,0.0,0.22,0.0,0.0,0.4,0.4,0.0,0.05,0.05,0.0,0.05,https://fbref.com/en/players/f5deef4c/matchlogs/2021-2022/summary/Victor-Lindelof-Match-Logs
"McTominay, Scott",SCO,MF,24.0,11.0,9.0,760,8.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,0.04,0.1,0.14,0.04,0.14,https://fbref.com/en/players/d93c2511/matchlogs/2021-2022/summary/Scott-McTominay-Match-Logs
"Ronaldo, Cristiano",POR,FW,36.0,10.0,8.0,761,8.5,4.0,2.0,4.0,0.0,0.0,3.0,0.0,0.47,0.24,0.71,0.47,0.71,4.2,4.2,1.4,5.6,0.5,0.16,0.66,0.5,0.66,https://fbref.com/en/players/dea698d9/matchlogs/2021-2022/summary/Cristiano-Ronaldo-Match-Logs
"Pogba, Paul",FRA,"MF,FW",28.0,9.0,7.0,631,7.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.6,1.6,1.4,3.0,0.23,0.19,0.42,0.23,0.42,https://fbref.com/en/players/867239d3/matchlogs/2021-2022/summary/Paul-Pogba-Match-Logs
"Varane, Raphaël",FRA,DF,28.0,6.0,6.0,540,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.2,0.2,0.1,0.3,0.04,0.02,0.06,0.04,0.06,https://fbref.com/en/players/9f8e9423/matchlogs/2021-2022/summary/Raphael-Varane-Match-Logs
"Sancho, Jadon",ENG,FW,21.0,10.0,5.0,497,5.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,1.0,1.0,0.7,1.7,0.18,0.12,0.31,0.18,0.31,https://fbref.com/en/players/dbf053da/matchlogs/2021-2022/summary/Jadon-Sancho-Match-Logs
"Matić, Nemanja",SRB,MF,33.0,8.0,5.0,474,5.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.0,0.38,0.1,0.1,0.6,0.7,0.02,0.1,0.13,0.02,0.13,https://fbref.com/en/players/eb7822d7/matchlogs/2021-2022/summary/Nemanja-Matic-Match-Logs
"Rashford, Marcus",ENG,FW,24.0,6.0,3.0,252,2.8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.71,0.0,0.71,0.71,0.71,0.9,0.9,0.0,0.9,0.33,0.0,0.33,0.33,0.33,https://fbref.com/en/players/a1d5bd30/matchlogs/2021-2022/summary/Marcus-Rashford-Match-Logs
"Cavani, Edinson",URU,FW,34.0,5.0,2.0,213,2.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,1.4,1.4,0.0,1.4,0.6,0.01,0.61,0.6,0.61,https://fbref.com/en/players/527f063d/matchlogs/2021-2022/summary/Edinson-Cavani-Match-Logs
"Martial, Anthony",FRA,FW,25.0,6.0,2.0,200,2.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,0.4,0.4,0.1,0.5,0.16,0.07,0.23,0.16,0.23,https://fbref.com/en/players/8b788c01/matchlogs/2021-2022/summary/Anthony-Martial-Match-Logs
"Bailly, Eric",CIV,DF,27.0,2.0,2.0,135,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/a1232f4e/matchlogs/2021-2022/summary/Eric-Bailly-Match-Logs
"James, Daniel",WAL,FW,24.0,2.0,2.0,126,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.17,0.01,0.19,0.17,0.19,https://fbref.com/en/players/c931d9f9/matchlogs/2021-2022/summary/Daniel-James-Match-Logs
"Telles, Alex",BRA,DF,28.0,2.0,1.0,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e73c9bb2/matchlogs/2021-2022/summary/Alex-Telles-Match-Logs
"Dalot, Diogo",POR,DF,22.0,4.0,0.0,93,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,https://fbref.com/en/players/d9565625/matchlogs/2021-2022/summary/Diogo-Dalot-Match-Logs
"Lingard, Jesse",ENG,FW,28.0,7.0,0.0,83,0.9,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.17,0.0,2.17,2.17,2.17,0.3,0.3,0.1,0.4,0.3,0.1,0.4,0.3,0.4,https://fbref.com/en/players/810e3c74/matchlogs/2021-2022/summary/Jesse-Lingard-Match-Logs
"Beek, Donny van",NED,MF,24.0,4.0,0.0,64,0.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.41,0.0,1.41,1.41,1.41,0.7,0.7,0.5,1.1,0.93,0.68,1.61,0.93,1.61,https://fbref.com/en/players/50dc94ce/matchlogs/2021-2022/summary/Donny-van-de-Beek-Match-Logs
"Heaton, Tom",ENG,GK,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/a6de6361/matchlogs/2021-2022/summary/Tom-Heaton-Match-Logs
"Henderson, Dean",ENG,GK,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/e5a76dfe/matchlogs/2021-2022/summary/Dean-Henderson-Match-Logs
"Jones, Phil",ENG,"DF,MF",29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/def899bd/matchlogs/2021-2022/summary/Phil-Jones-Match-Logs
"Mata, Juan",ESP,"FW,MF",33.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/29733c72/matchlogs/2021-2022/summary/Juan-Mata-Match-Logs
"Pereira, Andreas",BRA,MF,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/6639e500/matchlogs/2021-2022/summary/Andreas-Pereira-Match-Logs
"Williams, Brandon",ENG,DF,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/5e74d6c8/matchlogs/2021-2022/summary/Brandon-Williams-Match-Logs
