player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Lloris, Hugo",FRA,GK,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8f62b6ee/matchlogs/2021-2022/defense/Hugo-Lloris-Match-Logs
"Højbjerg, Pierre",DEN,MF,26.0,12.0,35.0,23.0,9.0,23.0,3.0,14.0,32.0,43.8,18.0,256.0,75.0,29.3,94.0,130.0,32.0,22.0,4.0,0.0,18.0,27.0,62.0,21.0,0.0,https://fbref.com/en/players/8b04d6c1/matchlogs/2021-2022/defense/Pierre-Hojbjerg-Match-Logs
"Dier, Eric",ENG,DF,27.0,11.1,4.0,3.0,3.0,0.0,1.0,1.0,4.0,25.0,3.0,45.0,16.0,35.6,25.0,19.0,1.0,20.0,14.0,1.0,6.0,20.0,24.0,65.0,0.0,https://fbref.com/en/players/ac861941/matchlogs/2021-2022/defense/Eric-Dier-Match-Logs
"Heung-min, Son",KOR,"FW,MF",29.0,10.7,5.0,5.0,2.0,2.0,1.0,1.0,12.0,8.3,11.0,124.0,33.0,26.6,14.0,68.0,42.0,9.0,1.0,0.0,8.0,6.0,11.0,2.0,0.0,https://fbref.com/en/players/92e7e919/matchlogs/2021-2022/defense/Son-Heung-min-Match-Logs
"Reguilón, Sergio",ESP,DF,24.0,10.6,20.0,10.0,10.0,8.0,2.0,9.0,18.0,50.0,9.0,150.0,38.0,25.3,64.0,60.0,26.0,20.0,5.0,0.0,15.0,31.0,51.0,29.0,0.0,https://fbref.com/en/players/3353737a/matchlogs/2021-2022/defense/Sergio-Reguilon-Match-Logs
"Kane, Harry",ENG,FW,28.0,10.2,8.0,4.0,0.0,4.0,4.0,2.0,9.0,22.2,7.0,123.0,33.0,26.8,1.0,51.0,71.0,4.0,3.0,0.0,1.0,1.0,9.0,11.0,0.0,https://fbref.com/en/players/21a66f6a/matchlogs/2021-2022/defense/Harry-Kane-Match-Logs
"Moura, Lucas",BRA,"FW,MF",29.0,9.3,14.0,7.0,2.0,8.0,4.0,1.0,18.0,5.6,17.0,131.0,36.0,27.5,37.0,61.0,33.0,6.0,0.0,0.0,6.0,8.0,22.0,15.0,0.0,https://fbref.com/en/players/2b622f01/matchlogs/2021-2022/defense/Lucas-Moura-Match-Logs
"Skipp, Oliver",ENG,MF,21.0,9.5,23.0,12.0,12.0,10.0,1.0,11.0,25.0,44.0,14.0,170.0,45.0,26.5,87.0,69.0,14.0,18.0,8.0,0.0,10.0,16.0,39.0,6.0,0.0,https://fbref.com/en/players/6250083a/matchlogs/2021-2022/defense/Oliver-Skipp-Match-Logs
Emerson,BRA,DF,22.0,8.5,43.0,18.0,32.0,9.0,2.0,14.0,25.0,56.0,11.0,205.0,54.0,26.3,107.0,75.0,23.0,18.0,2.0,0.0,16.0,20.0,63.0,22.0,0.0,https://fbref.com/en/players/df8b52a5/matchlogs/2021-2022/defense/Emerson-Match-Logs
"Romero, Cristian",ARG,DF,23.0,5.9,16.0,12.0,5.0,10.0,1.0,5.0,10.0,50.0,5.0,78.0,34.0,43.6,53.0,24.0,1.0,17.0,9.0,0.0,8.0,20.0,36.0,23.0,0.0,https://fbref.com/en/players/a3d94a58/matchlogs/2021-2022/defense/Cristian-Romero-Match-Logs
