name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,sca,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,bench_explain
Hugo Lloris,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y*,GK,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y*,GK,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y*,GK,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,CM,89.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,CM,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,DM,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,CM,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,"DM,CM",90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,DM,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,DM,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,DM,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,DM,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,DM,90.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Højbjerg,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,DM,90.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
