name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,shots_on_target_against,goals_against_gk,saves,save_pct,clean_sheets,psxg_gk,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
Hugo Lloris,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y*,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.3,0.0,0.0,0.0,0.0,13.0,23.0,56.5,17.0,1.0,88.2,51.9,10.0,80.0,54.7,11.0,0.0,0.0,0.0,14.5
Hugo Lloris,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y*,GK,90.0,6.0,0.0,6.0,100.0,1.0,1.1,0.0,0.0,0.0,0.0,8.0,18.0,44.4,13.0,7.0,46.2,39.7,16.0,75.0,56.0,18.0,0.0,0.0,0.0,13.5
Hugo Lloris,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y*,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,37.5,12.0,2.0,58.3,42.1,4.0,25.0,29.0,7.0,0.0,0.0,1.0,10.7
Hugo Lloris,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y*,GK,90.0,3.0,3.0,1.0,33.3,0.0,2.6,1.0,1.0,0.0,0.0,8.0,24.0,33.3,19.0,1.0,78.9,55.5,13.0,69.2,47.7,15.0,0.0,0.0,0.0,7.2
Hugo Lloris,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y*,GK,90.0,9.0,3.0,6.0,66.7,0.0,3.3,0.0,0.0,0.0,0.0,3.0,10.0,30.0,20.0,2.0,45.0,38.0,6.0,16.7,22.2,9.0,0.0,0.0,0.0,6.0
Hugo Lloris,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y*,GK,90.0,7.0,3.0,4.0,57.1,0.0,2.6,0.0,0.0,0.0,0.0,9.0,15.0,60.0,21.0,2.0,57.1,38.7,7.0,42.9,34.7,3.0,0.0,0.0,0.0,16.5
Hugo Lloris,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y*,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.9,0.0,0.0,0.0,0.0,7.0,16.0,43.8,18.0,4.0,55.6,47.1,10.0,60.0,42.7,15.0,0.0,0.0,2.0,14.3
Hugo Lloris,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y*,GK,90.0,1.0,2.0,0.0,-100.0,0.0,0.7,0.0,0.0,0.0,0.0,4.0,8.0,50.0,18.0,7.0,11.1,23.8,11.0,54.5,39.0,7.0,2.0,28.6,0.0,16.8
Hugo Lloris,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y*,GK,90.0,4.0,1.0,3.0,75.0,0.0,1.5,0.0,0.0,0.0,0.0,5.0,13.0,38.5,15.0,3.0,46.7,38.3,7.0,85.7,52.1,10.0,1.0,10.0,0.0,18.2
Hugo Lloris,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y*,GK,90.0,4.0,3.0,1.0,25.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,5.0,20.0,19.0,2.0,26.3,27.2,4.0,0.0,26.8,4.0,0.0,0.0,1.0,21.7
Hugo Lloris,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y*,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,4.0,6.0,66.7,21.0,6.0,19.0,26.9,9.0,22.2,28.9,5.0,0.0,0.0,1.0,14.8
Hugo Lloris,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y*,GK,90.0,7.0,1.0,6.0,85.7,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,18.0,4.0,33.3,32.4,7.0,28.6,19.7,6.0,0.0,0.0,0.0,12.8
