name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
Hugo Lloris,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y*,GK,90.0,17.0,27.0,63.0,847.0,675.0,3.0,3.0,100.0,1.0,1.0,100.0,13.0,23.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y*,GK,90.0,19.0,29.0,65.5,728.0,527.0,3.0,3.0,100.0,6.0,6.0,100.0,10.0,20.0,50.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,
Hugo Lloris,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y*,GK,90.0,11.0,16.0,68.8,300.0,204.0,5.0,5.0,100.0,3.0,3.0,100.0,3.0,8.0,37.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y*,GK,90.0,16.0,32.0,50.0,616.0,420.0,4.0,4.0,100.0,3.0,3.0,100.0,9.0,25.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Hugo Lloris,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y*,GK,90.0,18.0,26.0,69.2,455.0,244.0,5.0,5.0,100.0,7.0,7.0,100.0,5.0,13.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y*,GK,90.0,22.0,28.0,78.6,754.0,425.0,2.0,2.0,100.0,9.0,9.0,100.0,11.0,17.0,64.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y*,GK,90.0,19.0,28.0,67.9,718.0,461.0,3.0,3.0,100.0,5.0,5.0,100.0,11.0,20.0,55.0,0.0,0.4,1.0,2.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y*,GK,90.0,24.0,29.0,82.8,585.0,374.0,7.0,7.0,100.0,12.0,12.0,100.0,5.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y*,GK,90.0,14.0,22.0,63.6,451.0,288.0,2.0,2.0,100.0,6.0,6.0,100.0,6.0,14.0,42.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Hugo Lloris,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y*,GK,90.0,19.0,23.0,82.6,409.0,182.0,7.0,7.0,100.0,6.0,6.0,100.0,5.0,9.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
