player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Lloris, Hugo",FRA,GK,34.0,12.0,228.0,315.0,72.4,7064.0,4516.0,54.0,54.0,100.0,76.0,76.0,100.0,93.0,180.0,51.7,0.0,0.5,-0.5,3.0,8.0,0.0,0.0,0.0,https://fbref.com/en/players/8f62b6ee/matchlogs/2021-2022/passing/Hugo-Lloris-Match-Logs
"Højbjerg, Pierre",DEN,MF,26.0,12.0,734.0,828.0,88.6,13590.0,3392.0,317.0,340.0,93.2,325.0,353.0,92.1,85.0,122.0,69.7,1.0,0.6,0.4,7.0,63.0,9.0,0.0,52.0,https://fbref.com/en/players/8b04d6c1/matchlogs/2021-2022/passing/Pierre-Hojbjerg-Match-Logs
"Dier, Eric",ENG,DF,27.0,11.1,535.0,610.0,87.7,11622.0,4012.0,148.0,153.0,96.7,305.0,323.0,94.4,81.0,128.0,63.3,0.0,1.3,-1.3,5.0,29.0,3.0,0.0,26.0,https://fbref.com/en/players/ac861941/matchlogs/2021-2022/passing/Eric-Dier-Match-Logs
"Heung-min, Son",KOR,"FW,MF",29.0,10.7,323.0,424.0,76.2,4937.0,1083.0,182.0,203.0,89.7,102.0,115.0,88.7,29.0,84.0,34.5,1.0,1.2,-0.2,18.0,9.0,12.0,1.0,22.0,https://fbref.com/en/players/92e7e919/matchlogs/2021-2022/passing/Son-Heung-min-Match-Logs
"Reguilón, Sergio",ESP,DF,24.0,10.6,363.0,483.0,75.2,6370.0,2312.0,172.0,203.0,84.7,154.0,196.0,78.6,33.0,66.0,50.0,2.0,1.3,0.7,12.0,21.0,15.0,11.0,27.0,https://fbref.com/en/players/3353737a/matchlogs/2021-2022/passing/Sergio-Reguilon-Match-Logs
"Kane, Harry",ENG,FW,28.0,10.2,204.0,268.0,76.1,3301.0,705.0,116.0,133.0,87.2,58.0,81.0,71.6,21.0,30.0,70.0,1.0,1.8,-0.8,7.0,19.0,10.0,1.0,22.0,https://fbref.com/en/players/21a66f6a/matchlogs/2021-2022/passing/Harry-Kane-Match-Logs
"Moura, Lucas",BRA,"FW,MF",29.0,9.3,280.0,373.0,75.1,4124.0,1231.0,162.0,190.0,85.3,97.0,133.0,72.9,13.0,28.0,46.4,1.0,1.0,0.0,14.0,32.0,13.0,0.0,43.0,https://fbref.com/en/players/2b622f01/matchlogs/2021-2022/passing/Lucas-Moura-Match-Logs
"Skipp, Oliver",ENG,MF,21.0,9.5,448.0,496.0,90.3,8239.0,1983.0,172.0,182.0,94.5,233.0,250.0,93.2,39.0,53.0,73.6,0.0,0.1,-0.1,2.0,50.0,2.0,0.0,43.0,https://fbref.com/en/players/6250083a/matchlogs/2021-2022/passing/Oliver-Skipp-Match-Logs
Emerson,BRA,DF,22.0,8.5,375.0,485.0,77.3,6007.0,1924.0,205.0,233.0,88.0,137.0,177.0,77.4,25.0,46.0,54.3,0.0,0.2,-0.2,5.0,14.0,3.0,1.0,20.0,https://fbref.com/en/players/df8b52a5/matchlogs/2021-2022/passing/Emerson-Match-Logs
"Romero, Cristian",ARG,DF,23.0,5.9,275.0,322.0,85.4,5771.0,2002.0,88.0,94.0,93.6,146.0,158.0,92.4,39.0,64.0,60.9,0.0,0.0,0.0,0.0,17.0,1.0,0.0,17.0,https://fbref.com/en/players/a3d94a58/matchlogs/2021-2022/passing/Cristian-Romero-Match-Logs
"Alli, Dele",ENG,MF,25.0,5.7,133.0,165.0,80.6,2125.0,539.0,76.0,87.0,87.4,43.0,50.0,86.0,11.0,19.0,57.9,0.0,0.0,0.0,0.0,11.0,4.0,0.0,16.0,https://fbref.com/en/players/cea4ee8f/matchlogs/2021-2022/passing/Dele-Alli-Match-Logs
"Tanganga, Japhet",ENG,DF,22.0,4.8,155.0,205.0,75.6,2774.0,971.0,79.0,92.0,85.9,57.0,75.0,76.0,16.0,32.0,50.0,0.0,0.4,-0.4,2.0,5.0,3.0,1.0,12.0,https://fbref.com/en/players/e9971f2d/matchlogs/2021-2022/passing/Japhet-Tanganga-Match-Logs
"Ndombele, Tanguy",FRA,MF,24.0,4.5,209.0,242.0,86.4,3262.0,640.0,114.0,123.0,92.7,72.0,84.0,85.7,16.0,21.0,76.2,0.0,0.2,-0.2,3.0,17.0,3.0,0.0,14.0,https://fbref.com/en/players/5cdddffa/matchlogs/2021-2022/passing/Tanguy-Ndombele-Match-Logs
