name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Hugo Lloris,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y*,GK,90.0,30.0,30.0,30.0,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,8.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,
Hugo Lloris,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y*,GK,90.0,30.0,30.0,30.0,0.0,0.0,0.0,14.0,0.0,0.0,,0.0,0.0,7.0,39.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,
Hugo Lloris,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y*,GK,90.0,17.0,12.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.0,5.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,
Hugo Lloris,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y*,GK,90.0,35.0,34.0,35.0,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,13.0,90.0,60.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,
Hugo Lloris,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y*,GK,90.0,31.0,29.0,31.0,0.0,0.0,0.0,22.0,0.0,0.0,,0.0,0.0,10.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,
Hugo Lloris,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y*,GK,90.0,30.0,28.0,30.0,0.0,0.0,0.0,21.0,0.0,0.0,,0.0,0.0,16.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,
Hugo Lloris,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y*,GK,90.0,30.0,29.0,30.0,0.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,9.0,51.0,27.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,
Hugo Lloris,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y*,GK,90.0,29.0,29.0,29.0,0.0,0.0,0.0,18.0,0.0,0.0,,0.0,0.0,13.0,42.0,26.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,
Hugo Lloris,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y*,GK,90.0,28.0,23.0,28.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,8.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,
Hugo Lloris,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y*,GK,90.0,24.0,21.0,24.0,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,14.0,82.0,41.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,
Hugo Lloris,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y*,GK,90.0,33.0,30.0,33.0,0.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,13.0,47.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,
Hugo Lloris,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y*,GK,90.0,28.0,25.0,28.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,7.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,
Pierre Højbjerg,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,CM,89.0,49.0,1.0,12.0,29.0,11.0,2.0,47.0,0.0,0.0,,0.0,0.0,30.0,162.0,102.0,4.0,1.0,0.0,3.0,0.0,30.0,28.0,93.3,1.0,
Pierre Højbjerg,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,CM,90.0,57.0,4.0,21.0,31.0,9.0,1.0,55.0,2.0,3.0,66.7,2.0,1.0,39.0,150.0,71.0,3.0,1.0,0.0,0.0,0.0,41.0,38.0,92.7,1.0,
Pierre Højbjerg,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,DM,90.0,99.0,2.0,14.0,62.0,29.0,1.0,93.0,2.0,2.0,100.0,2.0,0.0,72.0,333.0,194.0,8.0,3.0,0.0,1.0,0.0,72.0,68.0,94.4,1.0,
Pierre Højbjerg,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,CM,90.0,52.0,4.0,7.0,38.0,9.0,1.0,51.0,1.0,3.0,33.3,1.0,0.0,36.0,137.0,66.0,3.0,0.0,0.0,1.0,0.0,35.0,32.0,91.4,1.0,
Pierre Højbjerg,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,"DM,CM",90.0,82.0,3.0,24.0,53.0,9.0,0.0,80.0,0.0,0.0,,0.0,0.0,52.0,181.0,84.0,2.0,1.0,0.0,0.0,1.0,55.0,55.0,100.0,2.0,
Pierre Højbjerg,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,DM,90.0,82.0,3.0,14.0,60.0,13.0,0.0,76.0,0.0,2.0,0.0,1.0,0.0,56.0,315.0,178.0,4.0,2.0,0.0,2.0,0.0,59.0,56.0,94.9,3.0,
Pierre Højbjerg,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,DM,90.0,75.0,7.0,13.0,53.0,10.0,0.0,73.0,4.0,4.0,100.0,4.0,0.0,51.0,213.0,100.0,4.0,1.0,0.0,0.0,1.0,61.0,55.0,90.2,2.0,
Pierre Højbjerg,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,DM,90.0,108.0,3.0,26.0,74.0,21.0,0.0,107.0,0.0,1.0,0.0,0.0,0.0,67.0,453.0,241.0,8.0,4.0,0.0,0.0,1.0,84.0,80.0,95.2,2.0,
Pierre Højbjerg,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,DM,90.0,106.0,2.0,19.0,82.0,12.0,0.0,104.0,1.0,1.0,100.0,1.0,0.0,71.0,367.0,183.0,4.0,1.0,0.0,0.0,0.0,87.0,83.0,95.4,0.0,
Pierre Højbjerg,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,DM,90.0,93.0,4.0,26.0,54.0,17.0,1.0,92.0,2.0,6.0,33.3,2.0,0.0,75.0,249.0,131.0,2.0,0.0,0.0,0.0,0.0,73.0,70.0,95.9,3.0,
Pierre Højbjerg,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,DM,90.0,83.0,1.0,24.0,56.0,8.0,0.0,79.0,4.0,4.0,100.0,4.0,1.0,67.0,184.0,110.0,2.0,1.0,0.0,0.0,3.0,67.0,63.0,94.0,2.0,
Pierre Højbjerg,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,DM,90.0,69.0,1.0,24.0,43.0,7.0,1.0,65.0,0.0,2.0,0.0,0.0,0.0,47.0,187.0,69.0,2.0,1.0,0.0,1.0,1.0,47.0,45.0,95.7,2.0,
Eric Dier,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,CB,90.0,32.0,7.0,22.0,12.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,16.0,52.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,0.0,
Eric Dier,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,CB,90.0,50.0,14.0,38.0,10.0,2.0,1.0,46.0,0.0,1.0,0.0,0.0,0.0,23.0,68.0,30.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,96.6,0.0,
Eric Dier,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,CB,90.0,63.0,9.0,25.0,38.0,3.0,1.0,62.0,0.0,0.0,,0.0,0.0,46.0,210.0,120.0,4.0,1.0,0.0,0.0,0.0,51.0,51.0,100.0,0.0,
Eric Dier,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,CB,11.0,5.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,
Eric Dier,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,CB,90.0,75.0,25.0,54.0,22.0,2.0,1.0,73.0,0.0,0.0,,0.0,0.0,45.0,212.0,96.0,1.0,0.0,0.0,0.0,0.0,49.0,49.0,100.0,0.0,
Eric Dier,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,CB,90.0,68.0,8.0,33.0,39.0,1.0,1.0,66.0,0.0,0.0,,0.0,0.0,41.0,238.0,94.0,1.0,0.0,0.0,1.0,0.0,52.0,51.0,98.1,1.0,
Eric Dier,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,CB,90.0,60.0,21.0,44.0,16.0,1.0,0.0,60.0,0.0,0.0,,0.0,0.0,27.0,113.0,41.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,96.6,0.0,
Eric Dier,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,CB,90.0,66.0,17.0,41.0,25.0,2.0,2.0,65.0,0.0,0.0,,0.0,0.0,45.0,313.0,161.0,2.0,0.0,0.0,0.0,0.0,54.0,53.0,98.1,1.0,
Eric Dier,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,CB,90.0,110.0,11.0,55.0,66.0,1.0,0.0,108.0,0.0,0.0,,0.0,0.0,70.0,319.0,202.0,2.0,0.0,0.0,0.0,0.0,90.0,90.0,100.0,0.0,
Eric Dier,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,CB,90.0,64.0,11.0,40.0,22.0,3.0,2.0,61.0,0.0,0.0,,0.0,0.0,47.0,170.0,101.0,3.0,0.0,0.0,1.0,0.0,52.0,50.0,96.2,0.0,
Eric Dier,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,CB,90.0,57.0,11.0,40.0,22.0,0.0,0.0,56.0,0.0,0.0,,0.0,0.0,37.0,281.0,187.0,3.0,0.0,0.0,0.0,0.0,43.0,41.0,95.3,0.0,
