player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Lloris, Hugo",FRA,GK,34.0,12.0,345.0,320.0,345.0,0.0,0.0,0.0,221.0,0.0,0.0,,0.0,0.0,123.0,530.0,286.0,0.0,0.0,0.0,0.0,0.0,109.0,108.0,99.1,0.0,https://fbref.com/en/players/8f62b6ee/matchlogs/2021-2022/possession/Hugo-Lloris-Match-Logs
"Højbjerg, Pierre",DEN,MF,26.0,12.0,955.0,35.0,224.0,635.0,155.0,7.0,922.0,16.0,28.0,57.1,17.0,2.0,663.0,2931.0,1529.0,46.0,16.0,0.0,8.0,7.0,711.0,673.0,94.7,20.0,https://fbref.com/en/players/8b04d6c1/matchlogs/2021-2022/possession/Pierre-Hojbjerg-Match-Logs
"Dier, Eric",ENG,DF,27.0,11.1,722.0,154.0,443.0,303.0,16.0,8.0,705.0,0.0,1.0,0.0,0.0,0.0,444.0,2324.0,1298.0,18.0,1.0,0.0,2.0,0.0,522.0,514.0,98.5,2.0,https://fbref.com/en/players/ac861941/matchlogs/2021-2022/possession/Eric-Dier-Match-Logs
"Heung-min, Son",KOR,"FW,MF",29.0,10.7,537.0,3.0,38.0,225.0,312.0,48.0,462.0,19.0,33.0,57.6,22.0,1.0,381.0,2168.0,1130.0,56.0,24.0,12.0,21.0,26.0,524.0,373.0,71.2,84.0,https://fbref.com/en/players/92e7e919/matchlogs/2021-2022/possession/Son-Heung-min-Match-Logs
"Reguilón, Sergio",ESP,DF,24.0,10.6,627.0,43.0,181.0,282.0,198.0,17.0,543.0,8.0,28.0,28.6,8.0,1.0,370.0,1699.0,920.0,38.0,16.0,3.0,13.0,7.0,400.0,350.0,87.5,27.0,https://fbref.com/en/players/3353737a/matchlogs/2021-2022/possession/Sergio-Reguilon-Match-Logs
"Kane, Harry",ENG,FW,28.0,10.2,389.0,12.0,35.0,211.0,169.0,46.0,367.0,13.0,27.0,48.1,14.0,1.0,258.0,1312.0,563.0,27.0,15.0,7.0,24.0,15.0,515.0,289.0,56.1,59.0,https://fbref.com/en/players/21a66f6a/matchlogs/2021-2022/possession/Harry-Kane-Match-Logs
"Moura, Lucas",BRA,"FW,MF",29.0,9.3,525.0,12.0,59.0,334.0,185.0,22.0,520.0,25.0,41.0,61.0,27.0,0.0,380.0,1938.0,1145.0,73.0,28.0,6.0,30.0,22.0,479.0,381.0,79.5,38.0,https://fbref.com/en/players/2b622f01/matchlogs/2021-2022/possession/Lucas-Moura-Match-Logs
"Skipp, Oliver",ENG,MF,21.0,9.5,580.0,22.0,135.0,422.0,45.0,2.0,569.0,2.0,3.0,66.7,2.0,0.0,392.0,1670.0,815.0,37.0,8.0,2.0,5.0,7.0,437.0,414.0,94.7,3.0,https://fbref.com/en/players/6250083a/matchlogs/2021-2022/possession/Oliver-Skipp-Match-Logs
Emerson,BRA,DF,22.0,8.5,608.0,28.0,219.0,247.0,173.0,11.0,513.0,8.0,9.0,88.9,8.0,0.0,314.0,1414.0,844.0,40.0,11.0,2.0,5.0,11.0,351.0,311.0,88.6,14.0,https://fbref.com/en/players/df8b52a5/matchlogs/2021-2022/possession/Emerson-Match-Logs
"Romero, Cristian",ARG,DF,23.0,5.9,390.0,55.0,214.0,190.0,12.0,3.0,383.0,0.0,0.0,,0.0,0.0,249.0,1331.0,681.0,10.0,3.0,0.0,3.0,1.0,254.0,248.0,97.6,2.0,https://fbref.com/en/players/a3d94a58/matchlogs/2021-2022/possession/Cristian-Romero-Match-Logs
"Alli, Dele",ENG,MF,25.0,5.7,251.0,17.0,59.0,130.0,75.0,17.0,244.0,3.0,13.0,23.1,5.0,1.0,158.0,662.0,332.0,15.0,5.0,0.0,8.0,13.0,198.0,150.0,75.8,20.0,https://fbref.com/en/players/cea4ee8f/matchlogs/2021-2022/possession/Dele-Alli-Match-Logs
"Tanganga, Japhet",ENG,DF,22.0,4.8,271.0,29.0,101.0,116.0,71.0,7.0,233.0,1.0,4.0,25.0,1.0,0.0,135.0,586.0,384.0,12.0,6.0,2.0,3.0,6.0,162.0,149.0,92.0,9.0,https://fbref.com/en/players/e9971f2d/matchlogs/2021-2022/possession/Japhet-Tanganga-Match-Logs
"Ndombele, Tanguy",FRA,MF,24.0,4.5,318.0,0.0,33.0,201.0,108.0,13.0,310.0,13.0,21.0,61.9,13.0,1.0,247.0,1187.0,709.0,46.0,14.0,7.0,14.0,17.0,283.0,253.0,89.4,30.0,https://fbref.com/en/players/5cdddffa/matchlogs/2021-2022/possession/Tanguy-Ndombele-Match-Logs
"Sánchez, Davinson",COL,DF,25.0,4.3,244.0,45.0,129.0,117.0,9.0,4.0,241.0,0.0,1.0,0.0,0.0,0.0,150.0,740.0,375.0,12.0,2.0,0.0,0.0,1.0,174.0,169.0,97.1,0.0,https://fbref.com/en/players/da7b447d/matchlogs/2021-2022/possession/Davinson-Sanchez-Match-Logs
"Davies, Ben",WAL,DF,28.0,3.3,180.0,10.0,65.0,87.0,36.0,4.0,172.0,0.0,0.0,,0.0,0.0,122.0,556.0,291.0,15.0,2.0,0.0,0.0,0.0,139.0,129.0,92.8,5.0,https://fbref.com/en/players/44781702/matchlogs/2021-2022/possession/Ben-Davies-Match-Logs
"Bergwijn, Steven",NED,FW,24.0,3.0,115.0,3.0,18.0,40.0,73.0,13.0,114.0,3.0,7.0,42.9,4.0,0.0,89.0,647.0,428.0,16.0,6.0,4.0,3.0,7.0,123.0,82.0,66.7,19.0,https://fbref.com/en/players/a29b1131/matchlogs/2021-2022/possession/Steven-Bergwijn-Match-Logs
"Lo Celso, Giovani",ARG,"MF,FW",25.0,2.4,173.0,1.0,21.0,86.0,76.0,9.0,161.0,4.0,6.0,66.7,6.0,0.0,124.0,664.0,336.0,19.0,6.0,1.0,7.0,10.0,150.0,126.0,84.0,21.0,https://fbref.com/en/players/d7553721/matchlogs/2021-2022/possession/Giovani-Lo-Celso-Match-Logs
"Winks, Harry",ENG,MF,25.0,1.7,90.0,5.0,21.0,56.0,16.0,0.0,86.0,1.0,1.0,100.0,1.0,0.0,59.0,341.0,124.0,5.0,1.0,0.0,0.0,2.0,54.0,53.0,98.1,2.0,https://fbref.com/en/players/2f7acede/matchlogs/2021-2022/possession/Harry-Winks-Match-Logs
"Rodon, Joe",WAL,DF,24.0,0.9,31.0,10.0,18.0,14.0,1.0,0.0,31.0,0.0,0.0,,0.0,0.0,16.0,49.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,88.2,0.0,https://fbref.com/en/players/8d62d31a/matchlogs/2021-2022/possession/Joe-Rodon-Match-Logs
Bryan,ESP,"FW,MF",20.0,0.7,48.0,2.0,9.0,11.0,30.0,2.0,47.0,2.0,3.0,66.7,2.0,0.0,37.0,252.0,154.0,7.0,0.0,0.0,4.0,1.0,36.0,30.0,83.3,7.0,https://fbref.com/en/players/7b5ab7f2/matchlogs/2021-2022/possession/Bryan-Match-Logs
"Doherty, Matt",IRL,DF,29.0,0.3,30.0,2.0,13.0,9.0,8.0,1.0,25.0,2.0,3.0,66.7,2.0,0.0,13.0,23.0,14.0,1.0,0.0,0.0,1.0,0.0,11.0,11.0,100.0,4.0,https://fbref.com/en/players/d557d734/matchlogs/2021-2022/possession/Matt-Doherty-Match-Logs
"Sessegnon, Ryan",ENG,DF,21.0,0.1,10.0,0.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,,0.0,0.0,3.0,21.0,18.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,https://fbref.com/en/players/6aa3e78b/matchlogs/2021-2022/possession/Ryan-Sessegnon-Match-Logs
