player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Lloris, Hugo",FRA,GK,34.0,12.0,12.0,"1,080",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.04,0.04,0.0,0.04,https://fbref.com/en/players/8f62b6ee/matchlogs/2021-2022/summary/Hugo-Lloris-Match-Logs
"Højbjerg, Pierre",DEN,MF,26.0,12.0,12.0,"1,079",12.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.17,0.08,0.25,0.17,0.25,0.5,0.5,0.6,1.1,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/8b04d6c1/matchlogs/2021-2022/summary/Pierre-Hojbjerg-Match-Logs
"Dier, Eric",ENG,DF,27.0,12.0,12.0,"1,001",11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.3,1.6,0.03,0.11,0.15,0.03,0.15,https://fbref.com/en/players/ac861941/matchlogs/2021-2022/summary/Eric-Dier-Match-Logs
"Heung-min, Son",KOR,"FW,MF",29.0,11.0,11.0,962,10.7,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.37,0.09,0.47,0.37,0.47,3.2,3.2,1.2,4.4,0.3,0.11,0.41,0.3,0.41,https://fbref.com/en/players/92e7e919/matchlogs/2021-2022/summary/Son-Heung-min-Match-Logs
"Reguilón, Sergio",ESP,DF,24.0,11.0,11.0,951,10.6,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.09,0.19,0.28,0.09,0.28,1.0,1.0,1.3,2.3,0.1,0.12,0.22,0.1,0.22,https://fbref.com/en/players/3353737a/matchlogs/2021-2022/summary/Sergio-Reguilon-Match-Logs
"Kane, Harry",ENG,FW,28.0,11.0,10.0,919,10.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.1,0.2,2.8,2.8,1.8,4.6,0.27,0.18,0.45,0.27,0.45,https://fbref.com/en/players/21a66f6a/matchlogs/2021-2022/summary/Harry-Kane-Match-Logs
"Moura, Lucas",BRA,"FW,MF",29.0,11.0,10.0,836,9.3,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,1.3,1.3,1.0,2.3,0.14,0.11,0.25,0.14,0.25,https://fbref.com/en/players/2b622f01/matchlogs/2021-2022/summary/Lucas-Moura-Match-Logs
"Skipp, Oliver",ENG,MF,21.0,11.0,9.0,859,9.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/6250083a/matchlogs/2021-2022/summary/Oliver-Skipp-Match-Logs
Emerson,BRA,DF,22.0,9.0,8.0,765,8.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.5,0.03,0.03,0.06,0.03,0.06,https://fbref.com/en/players/df8b52a5/matchlogs/2021-2022/summary/Emerson-Match-Logs
"Romero, Cristian",ARG,DF,23.0,7.0,6.0,533,5.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/a3d94a58/matchlogs/2021-2022/summary/Cristian-Romero-Match-Logs
"Alli, Dele",ENG,MF,25.0,8.0,6.0,516,5.7,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.17,0.0,0.17,0.0,0.0,1.1,0.3,0.0,0.3,0.18,0.0,0.18,0.05,0.05,https://fbref.com/en/players/cea4ee8f/matchlogs/2021-2022/summary/Dele-Alli-Match-Logs
"Tanganga, Japhet",ENG,DF,22.0,6.0,6.0,431,4.8,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.03,0.08,0.1,0.03,0.1,https://fbref.com/en/players/e9971f2d/matchlogs/2021-2022/summary/Japhet-Tanganga-Match-Logs
"Ndombele, Tanguy",FRA,MF,24.0,7.0,5.0,409,4.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.22,0.0,0.22,0.22,0.22,0.5,0.5,0.2,0.7,0.11,0.05,0.16,0.11,0.16,https://fbref.com/en/players/5cdddffa/matchlogs/2021-2022/summary/Tanguy-Ndombele-Match-Logs
"Sánchez, Davinson",COL,DF,25.0,6.0,4.0,391,4.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.05,0.01,0.06,0.05,0.06,https://fbref.com/en/players/da7b447d/matchlogs/2021-2022/summary/Davinson-Sanchez-Match-Logs
"Davies, Ben",WAL,DF,28.0,4.0,3.0,301,3.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.15,0.01,0.16,0.15,0.16,https://fbref.com/en/players/44781702/matchlogs/2021-2022/summary/Ben-Davies-Match-Logs
"Bergwijn, Steven",NED,FW,24.0,5.0,3.0,270,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.8,0.8,0.4,1.2,0.25,0.14,0.39,0.25,0.39,https://fbref.com/en/players/a29b1131/matchlogs/2021-2022/summary/Steven-Bergwijn-Match-Logs
"Lo Celso, Giovani",ARG,"MF,FW",25.0,7.0,2.0,213,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.4,0.31,0.27,0.58,0.31,0.58,https://fbref.com/en/players/d7553721/matchlogs/2021-2022/summary/Giovani-Lo-Celso-Match-Logs
"Winks, Harry",ENG,MF,25.0,3.0,2.0,150,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2f7acede/matchlogs/2021-2022/summary/Harry-Winks-Match-Logs
"Rodon, Joe",WAL,DF,24.0,1.0,0.0,79,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8d62d31a/matchlogs/2021-2022/summary/Joe-Rodon-Match-Logs
Bryan,ESP,"FW,MF",20.0,5.0,0.0,62,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7b5ab7f2/matchlogs/2021-2022/summary/Bryan-Match-Logs
"Doherty, Matt",IRL,DF,29.0,2.0,0.0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/d557d734/matchlogs/2021-2022/summary/Matt-Doherty-Match-Logs
"Sessegnon, Ryan",ENG,DF,21.0,1.0,0.0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,https://fbref.com/en/players/6aa3e78b/matchlogs/2021-2022/summary/Ryan-Sessegnon-Match-Logs
"Gollini, Pierluigi",ITA,GK,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/f0f7f62f/matchlogs/2021-2022/summary/Pierluigi-Gollini-Match-Logs
"Markanday, Dilan",ENG,"FW,MF",20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/4f242e0e/matchlogs/2021-2022/summary/Dilan-Markanday-Match-Logs
"Omole, Tobi",ENG,DF,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/296904e8/matchlogs/2021-2022/summary/Tobi-Omole-Match-Logs
"Scarlett, Dane",ENG,FW,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/21945a9e/matchlogs/2021-2022/summary/Dane-Scarlett-Match-Logs
"Sissoko, Moussa",FRA,MF,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/2acd49b9/matchlogs/2021-2022/summary/Moussa-Sissoko-Match-Logs
