date,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession
2021-08-15,Premier League,1,Sun,Home,W,1.0,0.0,Manchester City,1.3,1.9,36.0
2021-08-22,Premier League,2,Sun,Away,W,1.0,0.0,Wolves,1.5,1.4,43.0
2021-08-29,Premier League,3,Sun,Home,W,1.0,0.0,Watford,0.9,0.6,56.0
2021-09-11,Premier League,4,Sat,Away,L,0.0,3.0,Crystal Palace,0.1,2.4,38.0
2021-09-19,Premier League,5,Sun,Home,L,0.0,3.0,Chelsea,0.7,1.9,47.0
2021-09-26,Premier League,6,Sun,Away,L,1.0,3.0,Arsenal,1.0,0.8,54.0
2021-10-03,Premier League,7,Sun,Home,W,2.0,1.0,Aston Villa,1.7,1.1,58.0
2021-10-17,Premier League,8,Sun,Away,W,3.0,2.0,Newcastle Utd,1.6,0.5,63.0
2021-10-24,Premier League,9,Sun,Away,L,0.0,1.0,West Ham,0.7,1.2,61.0
2021-10-30,Premier League,10,Sat,Home,L,0.0,3.0,Manchester Utd,0.7,1.2,58.0
2021-11-07,Premier League,11,Sun,Away,D,0.0,0.0,Everton,0.8,0.5,56.0
2021-11-21,Premier League,12,Sun,Home,W,2.0,1.0,Leeds United,2.0,1.1,43.0
