player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
"Fabiański, Łukasz",POL,GK,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/9328b835/matchlogs/2021-2022/defense/Lukasz-Fabianski-Match-Logs
"Rice, Declan",ENG,MF,22.0,14.0,35.0,25.0,20.0,12.0,3.0,10.0,21.0,47.6,11.0,201.0,61.0,30.3,87.0,99.0,15.0,26.0,10.0,1.0,16.0,41.0,76.0,15.0,0.0,https://fbref.com/en/players/1c7012b8/matchlogs/2021-2022/defense/Declan-Rice-Match-Logs
"Souček, Tomáš",CZE,MF,26.0,13.9,36.0,20.0,18.0,14.0,4.0,12.0,32.0,37.5,20.0,200.0,58.0,29.0,76.0,98.0,26.0,23.0,1.0,0.0,22.0,18.0,54.0,50.0,1.0,https://fbref.com/en/players/6613c819/matchlogs/2021-2022/defense/Tomas-Soucek-Match-Logs
"Fornals, Pablo",ESP,"FW,MF",25.0,13.3,26.0,16.0,11.0,9.0,6.0,14.0,47.0,29.8,33.0,288.0,79.0,27.4,89.0,129.0,70.0,26.0,1.0,0.0,25.0,20.0,46.0,8.0,0.0,https://fbref.com/en/players/82927de4/matchlogs/2021-2022/defense/Pablo-Fornals-Match-Logs
"Benrahma, Saïd",ALG,"MF,FW",26.0,12.4,19.0,11.0,9.0,7.0,3.0,11.0,24.0,45.8,13.0,199.0,43.0,21.6,51.0,108.0,40.0,11.0,1.0,0.0,10.0,4.0,23.0,4.0,0.0,https://fbref.com/en/players/5a04fd92/matchlogs/2021-2022/defense/Said-Benrahma-Match-Logs
"Antonio, Michail",JAM,FW,31.0,12.9,15.0,13.0,3.0,5.0,7.0,3.0,6.0,50.0,3.0,169.0,59.0,34.9,14.0,65.0,90.0,8.0,0.0,0.0,8.0,6.0,21.0,4.0,0.0,https://fbref.com/en/players/ac05f970/matchlogs/2021-2022/defense/Michail-Antonio-Match-Logs
"Cresswell, Aaron",ENG,DF,31.0,12.7,15.0,8.0,9.0,4.0,2.0,5.0,10.0,50.0,5.0,85.0,31.0,36.5,47.0,31.0,7.0,18.0,7.0,0.0,11.0,12.0,27.0,32.0,0.0,https://fbref.com/en/players/4f974391/matchlogs/2021-2022/defense/Aaron-Cresswell-Match-Logs
"Bowen, Jarrod",ENG,FW,24.0,12.6,20.0,12.0,11.0,6.0,3.0,5.0,18.0,27.8,13.0,216.0,50.0,23.1,72.0,88.0,56.0,24.0,2.0,0.0,22.0,16.0,36.0,2.0,0.0,https://fbref.com/en/players/79c84d1c/matchlogs/2021-2022/defense/Jarrod-Bowen-Match-Logs
"Ogbonna, Angelo",ITA,DF,33.0,10.2,13.0,8.0,8.0,5.0,0.0,2.0,7.0,28.6,5.0,50.0,16.0,32.0,32.0,15.0,3.0,7.0,4.0,0.0,3.0,13.0,26.0,38.0,0.0,https://fbref.com/en/players/74b2cd7e/matchlogs/2021-2022/defense/Angelo-Ogbonna-Match-Logs
"Zouma, Kurt",FRA,DF,27.0,10.0,4.0,2.0,4.0,0.0,0.0,2.0,4.0,50.0,2.0,39.0,13.0,33.3,24.0,8.0,7.0,12.0,10.0,0.0,2.0,15.0,19.0,51.0,0.0,https://fbref.com/en/players/ce4246f5/matchlogs/2021-2022/defense/Kurt-Zouma-Match-Logs
"Coufal, Vladimír",CZE,DF,29.0,8.4,17.0,9.0,9.0,6.0,2.0,5.0,9.0,55.6,4.0,106.0,32.0,30.2,52.0,40.0,14.0,17.0,2.0,0.0,15.0,8.0,25.0,23.0,0.0,https://fbref.com/en/players/fdf3cb77/matchlogs/2021-2022/defense/Vladimir-Coufal-Match-Logs
"Dawson, Craig",ENG,DF,31.0,7.9,5.0,3.0,4.0,1.0,0.0,1.0,3.0,33.3,2.0,53.0,17.0,32.1,34.0,17.0,2.0,14.0,10.0,0.0,4.0,7.0,12.0,42.0,1.0,https://fbref.com/en/players/3e9e06cb/matchlogs/2021-2022/defense/Craig-Dawson-Match-Logs
"Johnson, Ben",ENG,DF,21.0,7.0,19.0,12.0,10.0,7.0,2.0,8.0,12.0,66.7,4.0,78.0,34.0,43.6,39.0,24.0,15.0,22.0,4.0,1.0,18.0,13.0,32.0,21.0,0.0,https://fbref.com/en/players/9319781b/matchlogs/2021-2022/defense/Ben-Johnson-Match-Logs
