player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
"Fabiański, Łukasz",POL,GK,36.0,14.0,237.0,350.0,67.7,8685.0,5521.0,22.0,22.0,100.0,90.0,91.0,98.9,125.0,235.0,53.2,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,https://fbref.com/en/players/9328b835/matchlogs/2021-2022/passing/Lukasz-Fabianski-Match-Logs
"Rice, Declan",ENG,MF,22.0,14.0,715.0,792.0,90.3,14309.0,3558.0,263.0,285.0,92.3,326.0,355.0,91.8,117.0,137.0,85.4,3.0,1.4,1.6,13.0,83.0,14.0,4.0,55.0,https://fbref.com/en/players/1c7012b8/matchlogs/2021-2022/passing/Declan-Rice-Match-Logs
"Souček, Tomáš",CZE,MF,26.0,13.9,468.0,562.0,83.3,8991.0,1794.0,193.0,227.0,85.0,200.0,238.0,84.0,67.0,82.0,81.7,1.0,0.3,0.7,5.0,35.0,7.0,1.0,40.0,https://fbref.com/en/players/6613c819/matchlogs/2021-2022/passing/Tomas-Soucek-Match-Logs
"Fornals, Pablo",ESP,"FW,MF",25.0,13.3,395.0,521.0,75.8,7326.0,2525.0,177.0,204.0,86.8,161.0,197.0,81.7,49.0,85.0,57.6,2.0,2.1,-0.1,20.0,46.0,17.0,3.0,70.0,https://fbref.com/en/players/82927de4/matchlogs/2021-2022/passing/Pablo-Fornals-Match-Logs
"Benrahma, Saïd",ALG,"MF,FW",26.0,12.4,331.0,434.0,76.3,5382.0,1257.0,187.0,214.0,87.4,109.0,141.0,77.3,28.0,55.0,50.9,3.0,1.4,1.6,16.0,21.0,18.0,6.0,36.0,https://fbref.com/en/players/5a04fd92/matchlogs/2021-2022/passing/Said-Benrahma-Match-Logs
"Antonio, Michail",JAM,FW,31.0,12.9,193.0,294.0,65.6,3095.0,550.0,111.0,147.0,75.5,55.0,82.0,67.1,20.0,34.0,58.8,3.0,3.1,-0.1,25.0,8.0,12.0,4.0,16.0,https://fbref.com/en/players/ac05f970/matchlogs/2021-2022/passing/Michail-Antonio-Match-Logs
"Cresswell, Aaron",ENG,DF,31.0,12.7,691.0,870.0,79.4,12767.0,5514.0,290.0,315.0,92.1,308.0,353.0,87.3,82.0,171.0,48.0,1.0,1.4,-0.4,17.0,57.0,13.0,4.0,83.0,https://fbref.com/en/players/4f974391/matchlogs/2021-2022/passing/Aaron-Cresswell-Match-Logs
"Bowen, Jarrod",ENG,FW,24.0,12.6,226.0,322.0,70.2,4542.0,1233.0,104.0,126.0,82.5,70.0,91.0,76.9,47.0,83.0,56.6,4.0,2.4,1.6,21.0,8.0,13.0,4.0,20.0,https://fbref.com/en/players/79c84d1c/matchlogs/2021-2022/passing/Jarrod-Bowen-Match-Logs
"Ogbonna, Angelo",ITA,DF,33.0,10.2,392.0,452.0,86.7,8588.0,2244.0,98.0,103.0,95.1,226.0,240.0,94.2,65.0,103.0,63.1,0.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,https://fbref.com/en/players/74b2cd7e/matchlogs/2021-2022/passing/Angelo-Ogbonna-Match-Logs
"Zouma, Kurt",FRA,DF,27.0,10.0,314.0,365.0,86.0,6671.0,2066.0,85.0,91.0,93.4,190.0,208.0,91.3,39.0,66.0,59.1,0.0,0.0,0.0,0.0,9.0,2.0,0.0,18.0,https://fbref.com/en/players/ce4246f5/matchlogs/2021-2022/passing/Kurt-Zouma-Match-Logs
