name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Łukasz Fabiański,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,GK,90.0,32.0,30.0,32.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,13.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,
Łukasz Fabiański,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,GK,90.0,19.0,16.0,19.0,0.0,0.0,0.0,15.0,0.0,0.0,,0.0,0.0,9.0,40.0,21.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,
Łukasz Fabiański,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,GK,90.0,16.0,15.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.0,8.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,0.0,
Łukasz Fabiański,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,GK,90.0,26.0,25.0,26.0,0.0,0.0,0.0,18.0,0.0,0.0,,0.0,0.0,12.0,51.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,
Łukasz Fabiański,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,GK,90.0,30.0,29.0,30.0,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,
Łukasz Fabiański,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,GK,90.0,30.0,27.0,30.0,0.0,0.0,0.0,22.0,0.0,0.0,,0.0,0.0,12.0,63.0,36.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,
Łukasz Fabiański,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,GK,90.0,25.0,22.0,25.0,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,14.0,65.0,47.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
Łukasz Fabiański,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,GK,90.0,29.0,29.0,29.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,13.0,62.0,39.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
Łukasz Fabiański,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,GK,90.0,32.0,32.0,32.0,0.0,0.0,0.0,29.0,0.0,0.0,,0.0,0.0,10.0,66.0,20.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,
Łukasz Fabiański,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,GK,90.0,27.0,25.0,27.0,0.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,14.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,
Łukasz Fabiański,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,GK,90.0,28.0,28.0,28.0,0.0,0.0,0.0,18.0,0.0,0.0,,0.0,0.0,12.0,49.0,21.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,
Łukasz Fabiański,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,GK,90.0,31.0,28.0,31.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,9.0,53.0,38.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,
Łukasz Fabiański,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,GK,90.0,35.0,30.0,35.0,0.0,0.0,0.0,21.0,0.0,0.0,,0.0,0.0,11.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,
Łukasz Fabiański,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,GK,90.0,16.0,15.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,3.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,
Declan Rice,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y*,"DM,CM",90.0,55.0,2.0,15.0,33.0,18.0,1.0,55.0,0.0,0.0,,0.0,0.0,43.0,439.0,299.0,7.0,6.0,0.0,0.0,0.0,38.0,37.0,97.4,2.0,
Declan Rice,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y*,DM,90.0,79.0,3.0,20.0,54.0,14.0,0.0,79.0,1.0,2.0,50.0,1.0,0.0,57.0,417.0,222.0,10.0,2.0,0.0,0.0,1.0,60.0,57.0,95.0,1.0,
Declan Rice,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y*,DM,90.0,67.0,2.0,14.0,40.0,17.0,5.0,67.0,0.0,0.0,,0.0,0.0,48.0,283.0,147.0,10.0,3.0,1.0,0.0,3.0,53.0,50.0,94.3,2.0,
Declan Rice,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y*,DM,90.0,96.0,6.0,25.0,62.0,17.0,0.0,96.0,1.0,1.0,100.0,1.0,0.0,73.0,427.0,215.0,8.0,2.0,0.0,1.0,0.0,77.0,74.0,96.1,0.0,
Declan Rice,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y*,DM,90.0,67.0,3.0,27.0,45.0,8.0,0.0,66.0,0.0,0.0,,0.0,0.0,49.0,526.0,285.0,8.0,5.0,0.0,0.0,0.0,54.0,51.0,94.4,0.0,
Declan Rice,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y*,DM,90.0,41.0,4.0,14.0,28.0,7.0,0.0,41.0,2.0,3.0,66.7,3.0,0.0,31.0,431.0,226.0,7.0,2.0,0.0,0.0,2.0,28.0,24.0,85.7,0.0,
Declan Rice,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y*,DM,90.0,67.0,7.0,18.0,42.0,11.0,2.0,67.0,0.0,0.0,,0.0,0.0,38.0,180.0,47.0,2.0,2.0,0.0,1.0,1.0,39.0,38.0,97.4,1.0,
Declan Rice,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y*,DM,90.0,87.0,5.0,24.0,65.0,14.0,1.0,87.0,2.0,5.0,40.0,3.0,0.0,66.0,561.0,338.0,9.0,5.0,0.0,0.0,0.0,61.0,60.0,98.4,3.0,
Declan Rice,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y*,DM,90.0,57.0,2.0,24.0,34.0,4.0,0.0,57.0,2.0,3.0,66.7,3.0,1.0,32.0,244.0,113.0,6.0,2.0,0.0,2.0,0.0,31.0,31.0,100.0,1.0,
Declan Rice,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y*,DM,90.0,91.0,2.0,21.0,61.0,16.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,70.0,370.0,212.0,7.0,3.0,0.0,1.0,0.0,67.0,65.0,97.0,0.0,
Declan Rice,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y*,DM,90.0,48.0,5.0,17.0,30.0,7.0,0.0,46.0,0.0,0.0,,0.0,0.0,27.0,205.0,97.0,2.0,1.0,0.0,0.0,1.0,28.0,26.0,92.9,0.0,
Declan Rice,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y*,DM,90.0,69.0,2.0,16.0,48.0,12.0,0.0,66.0,2.0,2.0,100.0,2.0,0.0,49.0,349.0,161.0,6.0,2.0,0.0,0.0,1.0,56.0,53.0,94.6,0.0,
Declan Rice,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y*,DM,90.0,53.0,5.0,19.0,27.0,12.0,5.0,52.0,2.0,2.0,100.0,2.0,0.0,38.0,249.0,110.0,6.0,0.0,0.0,4.0,0.0,33.0,33.0,100.0,1.0,
Declan Rice,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y*,DM,90.0,51.0,5.0,16.0,25.0,16.0,2.0,51.0,2.0,2.0,100.0,2.0,0.0,31.0,208.0,134.0,6.0,4.0,1.0,0.0,1.0,27.0,26.0,96.3,1.0,
Tomáš Souček,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,"DM,CM",90.0,52.0,6.0,11.0,27.0,19.0,4.0,52.0,1.0,1.0,100.0,1.0,0.0,29.0,170.0,125.0,5.0,2.0,0.0,1.0,1.0,38.0,31.0,81.6,3.0,
Tomáš Souček,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,DM,90.0,70.0,1.0,11.0,47.0,19.0,3.0,70.0,0.0,1.0,0.0,0.0,0.0,49.0,159.0,78.0,5.0,5.0,1.0,0.0,1.0,57.0,53.0,93.0,2.0,
Tomáš Souček,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,DM,90.0,43.0,4.0,12.0,23.0,11.0,2.0,42.0,0.0,0.0,,0.0,0.0,18.0,117.0,30.0,1.0,0.0,0.0,1.0,0.0,27.0,21.0,77.8,1.0,
Tomáš Souček,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,DM,90.0,77.0,3.0,11.0,45.0,25.0,2.0,77.0,0.0,0.0,,0.0,0.0,48.0,218.0,97.0,6.0,2.0,0.0,2.0,0.0,67.0,61.0,91.0,1.0,
Tomáš Souček,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,DM,90.0,63.0,8.0,24.0,29.0,11.0,3.0,62.0,0.0,0.0,,0.0,0.0,31.0,103.0,32.0,1.0,1.0,0.0,0.0,0.0,36.0,34.0,94.4,1.0,
Tomáš Souček,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,DM,90.0,40.0,3.0,16.0,18.0,9.0,1.0,40.0,0.0,0.0,,0.0,0.0,21.0,83.0,51.0,2.0,2.0,0.0,0.0,0.0,34.0,25.0,73.5,1.0,
Tomáš Souček,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,DM,90.0,48.0,2.0,11.0,30.0,9.0,4.0,48.0,0.0,1.0,0.0,0.0,0.0,26.0,122.0,66.0,2.0,1.0,0.0,1.0,1.0,34.0,25.0,73.5,3.0,
Tomáš Souček,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,DM,78.0,60.0,2.0,11.0,38.0,12.0,3.0,60.0,1.0,2.0,50.0,1.0,0.0,44.0,178.0,75.0,2.0,1.0,0.0,2.0,0.0,50.0,42.0,84.0,4.0,
Tomáš Souček,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,DM,90.0,54.0,5.0,21.0,22.0,14.0,5.0,53.0,0.0,0.0,,0.0,0.0,25.0,77.0,40.0,1.0,0.0,0.0,1.0,0.0,39.0,33.0,84.6,1.0,
Tomáš Souček,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,DM,90.0,61.0,6.0,18.0,33.0,15.0,2.0,61.0,0.0,0.0,,0.0,0.0,32.0,187.0,136.0,5.0,2.0,1.0,2.0,0.0,42.0,35.0,83.3,0.0,
Tomáš Souček,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,DM,90.0,47.0,7.0,23.0,22.0,4.0,2.0,46.0,0.0,0.0,,0.0,0.0,15.0,61.0,18.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,81.8,2.0,
