player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
"Fabiański, Łukasz",POL,GK,36.0,14.0,376.0,351.0,376.0,0.0,0.0,0.0,249.0,0.0,0.0,,0.0,0.0,143.0,639.0,323.0,0.0,0.0,0.0,0.0,0.0,142.0,141.0,99.3,0.0,https://fbref.com/en/players/9328b835/matchlogs/2021-2022/possession/Lukasz-Fabianski-Match-Logs
"Rice, Declan",ENG,MF,22.0,14.0,928.0,53.0,270.0,594.0,173.0,17.0,920.0,14.0,21.0,66.7,17.0,1.0,652.0,4889.0,2606.0,94.0,39.0,2.0,9.0,10.0,652.0,625.0,95.9,12.0,https://fbref.com/en/players/1c7012b8/matchlogs/2021-2022/possession/Declan-Rice-Match-Logs
"Souček, Tomáš",CZE,MF,26.0,13.9,742.0,63.0,206.0,404.0,174.0,37.0,738.0,3.0,7.0,42.9,4.0,1.0,396.0,1761.0,896.0,35.0,17.0,2.0,10.0,5.0,545.0,451.0,82.8,23.0,https://fbref.com/en/players/6613c819/matchlogs/2021-2022/possession/Tomas-Soucek-Match-Logs
"Fornals, Pablo",ESP,"FW,MF",25.0,13.3,680.0,18.0,109.0,322.0,284.0,36.0,654.0,9.0,25.0,36.0,9.0,3.0,463.0,2329.0,1257.0,63.0,18.0,5.0,18.0,14.0,594.0,469.0,79.0,64.0,https://fbref.com/en/players/82927de4/matchlogs/2021-2022/possession/Pablo-Fornals-Match-Logs
"Benrahma, Saïd",ALG,"MF,FW",26.0,12.4,581.0,10.0,74.0,258.0,291.0,44.0,565.0,17.0,37.0,45.9,20.0,2.0,444.0,2497.0,1298.0,58.0,19.0,12.0,23.0,21.0,558.0,425.0,76.2,89.0,https://fbref.com/en/players/5a04fd92/matchlogs/2021-2022/possession/Said-Benrahma-Match-Logs
"Antonio, Michail",JAM,FW,31.0,12.9,488.0,6.0,40.0,185.0,299.0,82.0,479.0,15.0,34.0,44.1,17.0,3.0,379.0,1946.0,1201.0,63.0,20.0,18.0,53.0,34.0,674.0,371.0,55.0,106.0,https://fbref.com/en/players/ac05f970/matchlogs/2021-2022/possession/Michail-Antonio-Match-Logs
"Cresswell, Aaron",ENG,DF,31.0,12.7,971.0,54.0,271.0,475.0,288.0,8.0,814.0,0.0,4.0,0.0,0.0,0.0,576.0,2764.0,1391.0,52.0,28.0,0.0,3.0,5.0,632.0,612.0,96.8,11.0,https://fbref.com/en/players/4f974391/matchlogs/2021-2022/possession/Aaron-Cresswell-Match-Logs
"Bowen, Jarrod",ENG,FW,24.0,12.6,501.0,13.0,80.0,185.0,271.0,62.0,459.0,13.0,28.0,46.4,14.0,1.0,333.0,1992.0,915.0,47.0,12.0,10.0,23.0,34.0,459.0,305.0,66.4,79.0,https://fbref.com/en/players/79c84d1c/matchlogs/2021-2022/possession/Jarrod-Bowen-Match-Logs
"Ogbonna, Angelo",ITA,DF,33.0,10.2,528.0,69.0,293.0,251.0,14.0,8.0,523.0,0.0,0.0,,0.0,0.0,353.0,1947.0,714.0,6.0,1.0,0.0,0.0,1.0,375.0,363.0,96.8,1.0,https://fbref.com/en/players/74b2cd7e/matchlogs/2021-2022/possession/Angelo-Ogbonna-Match-Logs
"Zouma, Kurt",FRA,DF,27.0,10.0,458.0,87.0,251.0,210.0,22.0,9.0,445.0,0.0,0.0,,0.0,0.0,258.0,1471.0,755.0,15.0,4.0,0.0,2.0,0.0,271.0,266.0,98.2,3.0,https://fbref.com/en/players/ce4246f5/matchlogs/2021-2022/possession/Kurt-Zouma-Match-Logs
"Coufal, Vladimír",CZE,DF,29.0,8.4,545.0,36.0,165.0,216.0,203.0,9.0,457.0,7.0,8.0,87.5,7.0,0.0,297.0,1679.0,880.0,32.0,16.0,2.0,6.0,2.0,317.0,296.0,93.4,19.0,https://fbref.com/en/players/fdf3cb77/matchlogs/2021-2022/possession/Vladimir-Coufal-Match-Logs
