name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,bench_explain
Łukasz Fabiański,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,61.3,0.0,13.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,83.3,0.0,9.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,56.3,0.0,8.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,88.0,0.0,12.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,64.0,0.0,3.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,29.0,72.4,0.0,12.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,50.0,0.0,14.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,75.0,0.0,13.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,77.4,0.0,10.0,0.0,0.0,0.0,
Łukasz Fabiański,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,72.0,0.0,14.0,0.0,0.0,0.0,
