player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
"Fabiański, Łukasz",POL,GK,36.0,14.0,14.0,"1,260",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/9328b835/matchlogs/2021-2022/summary/Lukasz-Fabianski-Match-Logs
"Rice, Declan",ENG,MF,22.0,14.0,14.0,"1,260",14.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.07,0.21,0.29,0.07,0.29,0.4,0.4,1.4,1.8,0.03,0.1,0.13,0.03,0.13,https://fbref.com/en/players/1c7012b8/matchlogs/2021-2022/summary/Declan-Rice-Match-Logs
"Souček, Tomáš",CZE,MF,26.0,14.0,14.0,"1,248",13.9,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.14,0.07,0.22,0.14,0.22,2.2,1.8,0.3,2.1,0.16,0.02,0.18,0.13,0.15,https://fbref.com/en/players/6613c819/matchlogs/2021-2022/summary/Tomas-Soucek-Match-Logs
"Fornals, Pablo",ESP,"FW,MF",25.0,14.0,14.0,"1,196",13.3,4.0,2.0,4.0,0.0,0.0,3.0,0.0,0.3,0.15,0.45,0.3,0.45,2.8,2.8,2.1,4.9,0.21,0.16,0.37,0.21,0.37,https://fbref.com/en/players/82927de4/matchlogs/2021-2022/summary/Pablo-Fornals-Match-Logs
"Benrahma, Saïd",ALG,"MF,FW",26.0,14.0,14.0,"1,114",12.4,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.24,0.24,0.48,0.24,0.48,2.1,2.1,1.4,3.5,0.17,0.11,0.28,0.17,0.28,https://fbref.com/en/players/5a04fd92/matchlogs/2021-2022/summary/Said-Benrahma-Match-Logs
"Antonio, Michail",JAM,FW,31.0,13.0,13.0,"1,165",12.9,6.0,3.0,6.0,0.0,1.0,5.0,1.0,0.46,0.23,0.7,0.46,0.7,5.3,5.1,3.1,8.2,0.41,0.24,0.65,0.39,0.63,https://fbref.com/en/players/ac05f970/matchlogs/2021-2022/summary/Michail-Antonio-Match-Logs
"Cresswell, Aaron",ENG,DF,31.0,13.0,13.0,"1,140",12.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,0.4,0.4,1.4,1.8,0.03,0.11,0.14,0.03,0.14,https://fbref.com/en/players/4f974391/matchlogs/2021-2022/summary/Aaron-Cresswell-Match-Logs
"Bowen, Jarrod",ENG,FW,24.0,14.0,13.0,"1,134",12.6,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.16,0.32,0.48,0.16,0.48,4.0,4.0,2.4,6.3,0.31,0.19,0.5,0.31,0.5,https://fbref.com/en/players/79c84d1c/matchlogs/2021-2022/summary/Jarrod-Bowen-Match-Logs
"Ogbonna, Angelo",ITA,DF,33.0,11.0,11.0,921,10.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/74b2cd7e/matchlogs/2021-2022/summary/Angelo-Ogbonna-Match-Logs
"Zouma, Kurt",FRA,DF,27.0,10.0,10.0,900,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/ce4246f5/matchlogs/2021-2022/summary/Kurt-Zouma-Match-Logs
